Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,NYK,BOS,1,-23,34.62,13,7,7,2,0,1,0,0,2,0,0,1,0,16,-33
2024-10-25,NYK,IND,0,25,33.48,12,8,3,2,3,4,1,1,5,1,0,1,4,21,13
2024-10-28,NYK,CLE,0,-6,40.17,15,9,4,1,0,0,4,6,3,2,1,2,4,19,-14
2024-10-30,NYK,MIA,1,9,39.85,16,6,11,4,1,2,1,3,6,2,2,1,2,17,10
2024-11-01,NYK,DET,1,30,34.67,13,6,6,3,0,0,0,7,3,3,1,0,0,15,31
2024-11-04,NYK,HOU,1,-12,40.35,14,6,8,3,0,1,1,3,0,1,0,4,0,15,-21
2024-11-06,NYK,ATL,1,-5,38.63,10,4,7,2,0,0,0,2,5,1,0,2,2,10,-15
2024-11-08,NYK,MIL,0,22,36.53,18,7,11,3,0,0,1,3,3,1,1,1,1,17,21
2024-11-10,NYK,IND,1,-11,41.53,11,4,6,0,0,0,3,7,4,0,1,2,4,8,-11
2024-11-12,NYK,PHI,1,12,35.37,13,7,2,0,0,0,1,4,3,2,1,1,1,14,5
2024-11-13,NYK,CHI,0,-1,42.97,15,8,4,1,3,3,0,6,5,1,0,3,0,20,2
2024-11-15,NYK,BRK,0,2,41.18,17,9,7,4,0,0,2,5,4,1,1,1,0,22,7
2024-11-17,NYK,BRK,0,10,44.95,18,9,10,3,0,0,2,6,1,1,1,1,2,21,16
2024-11-18,NYK,WAS,0,28,34.7,14,7,4,0,0,0,2,3,5,0,0,2,1,14,32
2024-11-20,NYK,PHO,1,16,40.07,14,7,5,2,0,0,0,3,5,1,0,0,0,16,19
2024-11-23,NYK,UTA,1,-15,32.6,15,3,7,1,0,0,0,3,0,1,1,2,0,7,-1
2024-11-25,NYK,DEN,1,27,36.18,16,6,8,2,0,0,0,2,6,0,0,0,1,14,18
2024-11-27,NYK,DAL,1,-15,39.25,19,8,10,4,0,0,2,5,0,0,0,2,1,20,-11
2024-11-29,NYK,CHO,1,1,36.67,10,3,4,1,1,2,1,2,2,2,0,3,2,8,-14
2024-12-01,NYK,NOP,0,33,35.5,19,12,12,7,0,0,0,4,1,0,1,1,1,31,40
2024-12-03,NYK,ORL,0,15,35.53,13,8,6,2,1,1,0,2,5,2,0,2,3,19,33
2024-12-05,NYK,CHO,0,24,46.5,15,7,7,2,3,5,0,3,7,1,0,2,1,19,26
2024-12-07,NYK,DET,0,-9,37.82,17,8,9,3,1,2,1,3,3,2,1,1,0,20,1
2024-12-09,NYK,TOR,1,5,41.25,14,9,8,5,0,0,0,3,3,1,0,1,1,23,9
2024-12-11,NYK,ATL,0,-8,37.68,17,9,5,1,0,0,2,4,2,0,1,2,2,19,-17
2024-12-15,NYK,ORL,1,9,40.82,11,7,3,1,2,2,0,1,1,1,1,1,2,17,2
2024-12-19,NYK,MIN,1,26,35.6,18,12,8,4,1,1,2,6,6,1,0,3,2,29,35
2024-12-21,NYK,NOP,1,11,45.02,16,7,6,3,1,2,0,0,2,2,0,3,0,18,20
2024-12-23,NYK,TOR,0,14,40.68,10,5,8,4,0,0,0,1,4,1,0,2,0,14,1
2024-12-25,NYK,SAS,0,3,43.25,25,17,9,6,1,1,1,1,4,2,2,0,2,41,8
2024-12-27,NYK,ORL,1,23,43.52,12,6,1,0,5,6,0,2,3,2,0,2,2,17,21
2024-12-28,NYK,WAS,1,4,46.65,14,8,9,3,2,2,1,3,3,3,0,3,5,21,4
2024-12-30,NYK,WAS,1,20,35.8,15,6,6,1,0,0,2,6,6,2,0,1,1,13,7
2025-01-01,NYK,UTA,0,16,44.48,17,12,5,2,1,2,0,1,0,0,1,0,2,27,13
2025-01-03,NYK,OKC,1,-10,40.98,19,10,11,4,0,0,1,3,2,1,1,2,1,24,-10
2025-01-04,NYK,CHI,1,-13,33.27,18,8,5,0,2,3,3,3,1,0,1,1,2,18,-21
2025-01-06,NYK,ORL,0,-9,42.38,20,10,7,1,3,4,0,5,2,0,0,2,2,24,-8
2025-01-08,NYK,TOR,0,14,35.78,18,4,11,2,0,0,1,3,3,1,0,1,0,10,26
2025-01-10,NYK,OKC,0,-25,31.82,9,0,7,0,0,0,0,1,2,0,0,0,1,0,-23
2025-01-12,NYK,MIL,0,34,37.3,5,2,4,1,1,2,1,2,6,0,2,1,1,6,17
2025-01-13,NYK,DET,0,-5,37.02,13,9,8,6,3,3,1,2,1,0,1,1,3,27,-3
