Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,16.03,4,2,3,1,2,2,1,6,2,0,0,1,2,7,0
2024-10-25,ORL,BRK,0,15,15.1,8,7,2,1,3,4,0,3,0,1,1,3,5,18,2
2024-10-26,ORL,MEM,1,-13,12.38,8,4,3,1,0,0,2,3,0,0,1,0,4,9,-11
2024-10-28,ORL,IND,0,4,16.03,10,5,2,1,3,4,2,4,1,0,0,2,3,14,-7
2024-10-30,ORL,CHI,1,-3,16.12,4,1,2,1,4,4,0,6,1,0,0,2,1,7,5
2024-11-01,ORL,CLE,1,-11,27.57,9,5,2,0,4,7,0,5,0,2,0,2,0,14,-14
2024-11-03,ORL,DAL,1,-23,20.5,10,3,4,0,4,4,0,6,0,0,0,1,4,10,-23
2024-11-04,ORL,OKC,1,-16,21.27,5,2,2,0,5,6,0,7,1,2,1,4,2,9,-16
2024-11-06,ORL,IND,1,-7,14.6,8,4,1,0,6,7,0,1,1,1,0,1,1,14,-3
2024-11-08,ORL,NOP,0,27,18.25,11,8,1,1,0,0,0,4,2,0,0,3,0,17,17
