Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-27,ATL,OKC,1,-24,3.05,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-4
2024-11-04,ATL,BOS,0,-30,8.35,2,0,1,0,0,0,0,2,0,0,0,1,0,0,3
2025-01-27,ATL,MIN,1,-8,18.82,9,2,6,0,0,0,1,4,1,2,0,0,1,4,9
2025-01-28,ATL,HOU,0,-4,22.15,11,5,4,1,0,0,2,7,0,0,1,0,1,11,-7
2025-01-30,ATL,CLE,1,-22,15.53,7,4,2,0,0,1,0,2,1,3,1,0,2,8,-4
2025-02-07,ATL,MIL,0,5,22.9,11,6,5,1,2,2,2,12,0,2,4,0,1,15,22
2025-02-10,ATL,ORL,1,6,14.87,6,2,4,2,3,4,0,1,2,2,1,1,1,9,8
2025-02-12,ATL,NYK,1,-1,15.82,6,0,4,0,2,2,2,3,1,1,1,0,1,2,-19
2025-02-20,ATL,ORL,0,-6,14.63,2,1,1,0,0,0,0,2,0,0,1,0,3,2,-4
2025-02-23,ATL,DET,0,-5,12.07,4,1,2,0,0,0,1,2,0,0,0,1,2,2,5
2025-02-24,ATL,MIA,0,12,15.8,6,4,3,1,0,0,0,3,3,0,1,2,1,9,7
2025-02-26,ATL,MIA,1,-22,11.97,3,2,1,1,0,0,1,1,0,0,0,1,3,5,-7
2025-02-28,ATL,OKC,0,-16,9.52,2,1,0,0,0,0,0,1,0,0,2,0,1,2,-14
2025-03-04,ATL,MIL,0,-6,25.23,7,5,6,4,1,2,2,5,1,2,1,0,3,15,-9
2025-03-06,ATL,IND,0,6,22.88,7,2,4,0,0,0,0,5,0,3,1,0,3,4,6
2025-03-08,ATL,IND,0,2,22.02,5,2,1,0,2,2,0,0,2,1,2,2,5,6,-6
2025-03-10,ATL,PHI,0,9,21.3,8,4,4,2,4,4,3,7,2,1,2,0,0,14,14
2025-03-12,ATL,CHO,0,13,14.45,3,2,2,1,1,2,1,3,1,2,2,0,1,6,7
