Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,IND,DET,1,6,36.05,14,7,8,3,3,3,0,9,4,0,4,4,4,20,20
2024-10-25,IND,NYK,1,-25,23.22,9,5,3,0,3,5,1,7,1,0,3,2,4,13,-23
2024-10-27,IND,PHI,0,-4,37.27,11,4,5,2,4,8,0,4,2,4,1,6,5,14,-2
2024-10-28,IND,ORL,1,-4,25.87,10,5,3,1,2,3,1,5,0,0,0,1,5,13,-10
2024-11-01,IND,NOP,1,-7,29.92,12,5,5,2,0,0,0,4,2,0,1,4,4,12,-19
2024-11-04,IND,DAL,1,7,32.92,17,10,8,5,5,5,1,11,0,1,1,2,2,30,9
2024-11-06,IND,ORL,0,7,36.43,17,6,6,1,4,5,1,10,2,1,2,3,3,17,1
2024-11-08,IND,CHO,1,-20,31.88,13,5,3,1,1,4,4,10,1,1,2,3,2,12,-23
2024-11-10,IND,NYK,0,11,39.1,15,8,8,5,5,6,0,6,1,1,2,2,4,26,14
2024-11-13,IND,ORL,1,-4,33.83,11,4,5,2,1,2,0,2,1,2,2,1,4,11,-3
2024-11-15,IND,MIA,0,-13,28.35,7,3,4,1,2,3,0,5,2,1,1,1,1,9,-29
2024-11-17,IND,MIA,0,9,40.18,23,14,8,5,1,1,3,9,1,0,2,1,1,34,11
2024-11-20,IND,HOU,1,-17,28.63,7,3,1,0,4,5,0,9,2,0,5,4,3,10,-13
2024-11-22,IND,MIL,1,-12,32.83,11,6,5,3,0,0,1,8,1,1,2,4,4,15,-18
