Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,DAL,SAS,0,11,21.23,6,1,2,0,0,0,0,1,3,0,0,0,1,2,-7
2024-10-26,DAL,PHO,1,-12,15.95,5,1,2,0,0,0,1,2,3,1,0,0,2,2,0
2024-10-28,DAL,UTA,0,8,14.6,4,2,2,0,0,0,1,6,2,1,0,1,0,4,8
2024-10-29,DAL,MIN,1,6,16.2,3,0,0,0,4,4,0,3,3,2,0,0,1,4,5
2024-10-31,DAL,HOU,0,-6,21.63,3,2,1,0,0,0,0,2,3,0,1,1,2,4,9
2024-11-03,DAL,ORL,0,23,21.27,5,2,2,0,0,0,0,5,5,2,0,1,1,4,9
2024-11-04,DAL,IND,0,-7,33.72,9,8,2,2,2,2,1,5,6,1,0,0,2,20,5
2024-11-06,DAL,CHI,0,20,21.38,7,4,1,0,0,0,1,2,2,2,0,2,0,8,18
2024-11-08,DAL,PHO,0,-1,29.33,12,7,6,2,2,2,2,5,0,0,0,3,2,18,-7
2024-11-10,DAL,DEN,1,-2,36.37,9,5,2,0,1,1,3,8,0,1,1,0,1,11,7
2024-11-12,DAL,GSW,1,-3,22.08,6,2,3,0,2,2,2,3,2,1,0,2,2,6,-10
2024-11-14,DAL,UTA,1,-2,33.92,14,9,2,0,1,1,2,2,4,3,0,3,2,19,6
2024-11-16,DAL,SAS,0,17,18.28,9,2,2,0,2,2,1,3,4,1,0,0,3,6,2
2024-11-17,DAL,OKC,1,2,26.97,6,4,1,0,5,5,2,4,3,0,0,4,1,13,-8
2024-11-19,DAL,NOP,0,41,20.33,8,5,2,0,5,6,0,0,3,3,0,1,4,15,27
2024-11-22,DAL,DEN,1,3,26.38,15,11,4,3,1,2,0,1,1,1,0,2,2,26,8
2024-11-24,DAL,MIA,1,-5,30.42,16,8,5,3,1,3,2,5,1,0,0,2,2,20,-18
2024-11-25,DAL,ATL,1,10,28.27,12,9,3,2,2,2,1,6,1,0,0,4,0,22,3
2024-11-27,DAL,NYK,0,15,30.18,17,10,6,2,2,2,3,3,1,0,0,2,2,24,7
2024-11-30,DAL,UTA,1,12,13.37,5,1,3,1,0,0,1,1,1,0,0,1,1,3,8
2024-12-10,DAL,OKC,1,-14,29.02,11,7,4,2,3,4,0,4,2,1,0,2,1,19,-14
2024-12-19,DAL,LAC,0,-23,24.05,12,4,4,1,0,0,1,5,1,1,0,1,1,9,-15
2024-12-21,DAL,LAC,0,16,21.32,8,4,3,2,2,2,0,3,2,1,0,1,0,12,6
2024-12-23,DAL,POR,0,24,15.6,6,2,1,0,0,0,0,1,2,0,0,0,1,4,-5
2024-12-25,DAL,MIN,0,-6,13.72,3,1,0,0,2,2,0,2,0,0,0,1,1,4,-7
2024-12-27,DAL,PHO,1,9,18.65,3,2,0,0,0,0,0,3,2,0,0,1,1,4,10
2025-01-06,DAL,MEM,1,-15,32.73,15,5,6,2,4,5,1,6,3,2,0,2,2,16,-8
2025-01-07,DAL,LAL,0,21,28.97,11,2,6,1,2,2,3,5,2,1,0,1,1,7,-13
2025-01-09,DAL,POR,0,6,26.25,9,5,1,0,1,1,0,2,4,0,0,2,2,11,-6
2025-01-12,DAL,DEN,0,-11,30.63,12,7,5,2,0,0,0,6,2,3,0,1,2,16,16
2025-01-14,DAL,DEN,0,-19,21.77,8,5,2,0,1,1,0,2,4,0,0,1,1,11,-7
2025-01-15,DAL,NOP,1,-3,30.27,7,3,2,1,0,0,0,2,10,2,0,2,3,7,-14
2025-01-17,DAL,OKC,0,8,33.75,8,5,5,3,1,1,1,10,1,3,1,3,1,14,6
2025-01-20,DAL,CHO,1,-5,32.05,10,3,6,1,1,2,1,5,4,1,0,3,2,8,-2
2025-01-29,DAL,NOP,1,1,15.05,5,2,3,1,0,0,0,0,2,0,0,1,0,5,5
2025-01-31,DAL,DET,1,-15,22.05,9,3,4,1,0,0,1,3,1,0,1,0,1,7,-11
2025-02-02,DAL,CLE,1,-43,21.92,10,5,1,0,2,2,1,6,2,0,0,1,1,12,-19
2025-02-04,DAL,PHI,1,-2,25.55,13,6,3,0,7,9,1,4,5,3,0,0,1,19,-8
2025-02-06,DAL,BOS,1,7,28.53,15,9,6,2,0,0,1,2,3,1,0,2,3,20,-4
2025-02-08,DAL,HOU,0,11,25.0,10,7,3,2,0,0,0,4,0,1,1,0,2,16,4
2025-02-10,DAL,SAC,0,-1,27.1,4,3,1,1,2,4,0,6,5,1,0,1,4,9,5
2025-02-12,DAL,GSW,0,4,30.32,10,5,4,0,0,0,4,8,1,1,1,3,4,10,-12
2025-02-13,DAL,MIA,0,5,32.58,7,4,3,2,2,2,4,9,4,1,0,1,2,12,0
2025-02-21,DAL,NOP,0,8,24.23,8,5,3,1,4,5,0,10,1,0,0,1,0,15,6
2025-02-23,DAL,GSW,1,-24,21.07,8,3,4,1,2,2,1,5,2,0,0,2,1,9,-28
