Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,LAC,PHO,0,-3,23.62,2,0,2,0,2,2,0,2,2,1,0,1,3,2,1
2024-10-26,LAC,DEN,1,5,21.5,0,0,0,0,1,2,1,4,3,0,1,0,3,1,17
2024-10-27,LAC,GSW,1,8,15.47,4,2,3,1,0,0,2,4,2,0,0,1,3,5,13
2024-10-30,LAC,POR,0,-1,13.02,4,2,3,1,0,0,0,2,4,2,0,0,1,5,-3
2024-10-31,LAC,PHO,0,-6,21.5,4,1,3,1,0,0,1,5,3,0,4,1,2,3,-4
2024-11-02,LAC,OKC,0,-13,19.55,5,1,4,1,1,2,0,2,2,0,1,0,0,4,-7
2024-11-04,LAC,SAS,0,9,20.1,5,1,3,1,0,0,0,1,2,0,0,0,2,3,12
2024-11-06,LAC,PHI,0,12,20.25,6,3,3,1,0,0,1,2,0,3,0,0,1,7,11
2024-11-08,LAC,SAC,1,9,11.38,0,0,0,0,0,0,1,4,0,0,0,1,4,0,13
2024-11-09,LAC,TOR,0,2,16.82,5,3,3,1,0,0,1,3,2,0,2,0,0,7,16
2024-11-11,LAC,OKC,1,-6,12.0,2,1,2,1,0,0,1,3,1,0,1,2,0,3,1
