Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,DEN,OKC,0,-15,35.2,13,6,3,1,3,4,4,12,13,2,1,3,3,16,-9
2024-10-26,DEN,LAC,0,-5,36.77,26,14,12,7,6,8,3,9,4,2,1,5,2,41,7
2024-10-28,DEN,TOR,1,2,43.68,27,18,5,3,1,2,3,10,4,1,2,3,2,40,9
2024-10-29,DEN,BRK,1,5,40.52,16,9,0,0,11,13,6,18,16,0,1,1,3,29,8
2024-11-01,DEN,MIN,1,-3,39.7,16,8,3,2,8,10,2,9,13,3,1,3,1,26,6
2024-11-02,DEN,UTA,0,26,29.7,18,10,4,3,4,4,5,16,9,1,0,5,1,27,31
2024-11-04,DEN,TOR,0,2,38.2,22,10,5,1,7,8,5,14,13,1,2,7,2,28,-1
2024-11-06,DEN,OKC,0,2,39.48,20,9,3,1,4,6,7,20,16,2,2,5,2,23,8
2024-11-08,DEN,MIA,0,13,40.0,13,11,1,1,7,7,2,11,14,2,0,5,2,30,26
2024-11-10,DEN,DAL,0,2,38.02,21,13,3,3,8,8,8,18,15,3,0,4,2,37,13
2024-11-22,DEN,DAL,0,-3,39.47,22,13,2,2,5,7,6,17,10,0,0,3,0,33,4
2024-11-23,DEN,LAL,1,25,36.62,20,12,7,3,7,8,2,13,8,2,1,6,3,34,39
2024-11-25,DEN,NYK,0,-27,31.83,20,9,7,2,2,2,3,7,7,1,0,0,1,22,-20
2024-11-27,DEN,UTA,1,19,33.62,19,13,3,2,2,3,3,10,7,1,1,1,1,30,20
2024-12-01,DEN,LAC,1,-4,39.07,24,12,7,2,2,4,3,14,11,1,1,5,3,28,-7
2024-12-03,DEN,GSW,0,4,40.03,24,14,4,3,7,9,2,10,6,5,1,4,1,38,23
2024-12-05,DEN,CLE,1,-12,38.67,26,13,3,0,1,1,3,20,11,3,0,3,3,27,-8
2024-12-07,DEN,WAS,1,-9,38.65,39,22,6,3,9,13,7,16,8,1,0,5,5,56,-1
2024-12-08,DEN,ATL,1,30,35.05,29,17,6,3,11,13,3,14,8,3,0,3,2,48,25
2024-12-13,DEN,LAC,0,22,29.95,9,6,2,2,2,4,0,7,2,2,0,5,2,16,14
2024-12-16,DEN,SAC,1,1,38.3,19,8,6,1,3,4,2,14,13,2,1,5,0,20,4
2024-12-19,DEN,POR,1,-2,36.62,18,13,6,4,4,4,0,6,8,1,0,3,4,34,-5
2024-12-22,DEN,NOP,1,3,42.57,20,11,3,2,3,5,2,13,10,1,1,3,5,27,6
2024-12-23,DEN,PHO,0,27,29.75,17,12,6,4,4,5,0,2,7,0,0,1,1,32,19
2024-12-25,DEN,PHO,1,-10,37.8,19,10,7,2,3,4,5,15,2,2,0,2,1,25,-3
2024-12-27,DEN,CLE,0,-14,35.75,19,12,3,0,3,4,3,14,13,3,0,1,1,27,-15
2024-12-28,DEN,DET,0,13,37.23,17,11,5,4,11,14,1,9,8,0,0,2,4,37,25
2024-12-30,DEN,UTA,1,11,38.3,33,14,9,3,5,6,7,22,11,4,0,2,0,36,20
2025-01-01,DEN,ATL,0,19,29.52,16,8,1,1,6,6,3,17,15,0,1,2,2,23,31
2025-01-03,DEN,SAS,0,-3,36.65,36,15,10,3,8,9,4,18,9,2,0,2,3,41,7
2025-01-04,DEN,SAS,1,11,43.32,35,19,8,3,5,6,4,9,10,2,2,2,3,46,7
2025-01-10,DEN,BRK,0,19,38.18,21,14,1,1,6,8,5,12,15,4,0,1,1,35,33
2025-01-12,DEN,DAL,1,11,38.63,13,6,2,0,7,9,4,18,9,3,0,4,4,19,-2
2025-01-14,DEN,DAL,1,19,28.93,7,4,2,1,1,2,2,14,10,2,0,1,3,10,23
2025-01-17,DEN,MIA,1,20,30.62,12,9,2,1,5,5,2,12,10,1,0,2,1,24,6
2025-01-19,DEN,ORL,1,13,30.12,9,7,0,0,6,7,1,14,10,3,3,2,0,20,20
2025-01-21,DEN,PHI,0,35,30.35,15,10,3,2,5,5,5,13,10,4,1,2,1,27,21
2025-01-23,DEN,SAC,0,9,37.38,19,12,3,2,9,10,3,22,17,1,2,1,5,35,11
2025-01-25,DEN,MIN,1,-29,32.4,13,9,4,2,0,1,1,3,11,0,0,7,0,20,-24
2025-01-27,DEN,CHI,1,-8,39.72,21,15,4,1,2,2,2,12,14,1,1,4,1,33,1
2025-01-29,DEN,NYK,1,-10,33.43,15,6,7,3,2,2,0,6,6,2,1,2,3,17,-3
2025-01-31,DEN,PHI,1,3,37.47,16,11,3,2,4,5,2,9,13,2,0,6,3,28,0
2025-02-01,DEN,CHO,1,3,36.55,17,9,7,2,8,9,1,13,17,4,1,4,2,28,-2
2025-02-03,DEN,NOP,0,12,36.07,13,9,3,1,8,10,1,14,10,1,2,1,2,27,11
2025-02-05,DEN,NOP,0,25,35.7,28,15,13,5,3,3,2,8,10,1,1,1,3,38,24
2025-02-06,DEN,ORL,0,22,31.12,16,11,4,2,4,6,0,10,12,2,0,3,2,28,22
2025-02-08,DEN,PHO,1,17,28.63,13,11,2,1,3,3,4,11,9,0,0,2,4,26,19
2025-02-10,DEN,POR,0,29,30.77,22,15,7,2,8,8,1,7,8,3,1,5,2,40,22
2025-02-12,DEN,POR,0,11,36.05,20,11,3,0,4,4,3,15,10,2,0,4,4,26,6
2025-02-20,DEN,CHO,0,14,36.92,22,11,14,6,1,2,4,17,9,1,1,2,1,29,14
2025-02-22,DEN,LAL,0,-23,35.17,7,2,1,0,8,10,4,13,10,1,0,6,3,12,-11
2025-02-24,DEN,IND,1,9,38.53,14,9,1,0,0,0,0,9,19,3,1,4,1,18,17
2025-02-27,DEN,MIL,1,-9,37.53,16,13,2,1,5,7,1,14,10,1,0,5,4,32,
