Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIA,ORL,0,-19,24.02,14,7,7,1,0,1,1,5,1,1,1,1,4,15,0
2024-10-26,MIA,CHO,1,8,29.85,7,3,5,2,2,2,0,4,6,2,0,1,3,10,9
2024-10-28,MIA,DET,0,8,13.5,5,2,4,2,0,0,2,4,1,0,0,2,2,6,-13
2024-10-30,MIA,NYK,0,-9,27.0,7,4,4,2,0,2,1,6,1,0,0,0,1,10,-13
2024-11-02,MIA,WAS,1,20,22.98,7,1,5,1,0,0,0,6,1,3,0,1,0,3,7
2024-11-04,MIA,SAC,0,-1,12.07,4,1,1,0,2,2,1,1,0,0,0,0,2,4,-9
2024-11-06,MIA,PHO,1,-3,5.27,2,1,0,0,2,2,0,1,0,0,0,0,0,4,2
2024-11-08,MIA,DEN,1,-13,19.97,7,4,2,1,2,2,2,4,2,3,0,1,0,11,-7
2024-11-10,MIA,MIN,1,1,23.07,11,6,4,2,1,1,0,7,1,1,0,1,3,15,10
2024-11-12,MIA,DET,1,-2,2.5,1,1,0,0,0,0,0,1,0,0,0,1,1,2,-1
2024-11-15,MIA,IND,1,13,29.63,8,5,4,1,0,0,1,6,1,1,0,0,2,11,1
2024-11-17,MIA,IND,1,-9,31.03,9,3,6,2,6,6,0,3,2,1,0,0,2,14,5
2024-11-18,MIA,PHI,0,17,8.1,3,1,1,0,1,2,0,3,1,1,0,0,0,3,-2
2024-11-24,MIA,DAL,0,5,5.53,2,0,1,0,0,0,0,1,1,0,0,0,0,0,-5
2024-12-12,MIA,TOR,0,10,24.07,5,4,2,2,4,7,0,4,1,1,1,0,1,14,25
2024-12-20,MIA,OKC,0,-7,19.4,7,2,4,1,2,3,0,1,0,0,0,2,2,7,-3
2024-12-21,MIA,ORL,1,-7,19.27,3,0,2,0,4,4,0,1,0,1,0,0,4,4,0
2024-12-23,MIA,BRK,0,15,31.93,8,5,5,4,4,4,0,4,4,0,0,1,1,18,21
2024-12-26,MIA,ORL,1,1,23.67,8,3,4,2,0,0,0,4,5,3,0,2,0,8,5
2024-12-28,MIA,ATL,1,-10,18.37,3,0,2,0,4,5,1,2,1,0,0,1,2,4,-11
2024-12-29,MIA,HOU,1,4,30.97,9,5,5,3,5,5,2,7,6,0,0,0,1,18,18
2025-01-01,MIA,NOP,0,11,33.5,6,3,4,2,0,0,0,7,6,0,0,4,1,8,0
2025-01-02,MIA,IND,0,-13,25.1,7,3,2,0,2,2,0,2,5,1,0,1,1,8,-11
2025-01-04,MIA,UTA,0,-36,23.53,14,7,5,3,0,0,0,1,3,2,2,0,1,17,-20
2025-01-06,MIA,SAC,1,-5,20.5,8,3,4,0,6,6,1,3,0,1,1,0,1,12,0
2025-01-07,MIA,GSW,1,16,34.22,17,8,8,2,2,3,1,6,4,1,0,2,0,20,25
2025-01-09,MIA,UTA,1,5,27.3,14,4,8,2,1,2,3,6,5,0,1,1,1,11,10
2025-01-11,MIA,POR,1,21,31.9,12,8,7,4,1,1,1,8,5,1,1,1,4,21,20
2025-01-13,MIA,LAC,1,-11,27.9,10,1,7,1,2,2,2,6,3,1,1,3,1,5,-16
2025-01-15,MIA,LAL,1,-9,32.32,7,4,3,2,2,2,1,4,8,0,1,2,4,12,3
2025-01-17,MIA,DEN,0,-20,30.85,12,6,7,2,2,2,0,4,4,0,0,4,2,16,-18
2025-01-19,MIA,SAS,0,21,23.87,8,5,6,4,0,0,0,2,5,2,0,2,0,14,8
2025-01-21,MIA,POR,0,-9,35.22,14,5,8,2,0,0,1,4,8,0,0,1,2,12,-4
2025-01-23,MIA,MIL,1,-29,21.87,6,2,6,2,2,2,0,2,2,0,0,1,3,8,-26
2025-01-25,MIA,BRK,1,9,30.85,7,5,4,3,4,4,1,6,4,2,2,4,4,17,4
2025-01-27,MIA,ORL,0,6,46.58,12,5,8,3,2,2,0,7,2,2,0,3,3,15,-4
2025-01-29,MIA,CLE,0,-20,28.95,11,5,5,1,0,0,2,3,5,0,0,1,0,11,-7
2025-02-01,MIA,SAS,1,2,24.55,10,5,7,3,1,2,0,7,4,3,0,2,3,14,3
2025-02-04,MIA,CHI,1,-9,35.85,10,7,7,5,1,2,0,2,2,0,0,2,1,20,-5
2025-02-05,MIA,PHI,1,7,36.65,9,8,4,3,4,5,0,5,7,0,1,3,3,23,5
2025-02-07,MIA,BRK,1,-16,31.73,8,3,5,2,0,0,0,1,4,2,0,4,3,8,-18
2025-02-10,MIA,BOS,0,-18,26.67,11,4,9,2,0,0,1,8,0,0,0,1,1,10,-21
2025-02-12,MIA,OKC,1,-14,28.68,12,4,8,2,1,2,0,3,4,0,0,2,5,11,3
2025-02-13,MIA,DAL,1,-5,24.85,11,3,4,0,0,0,0,1,1,0,0,2,1,6,-6
2025-02-21,MIA,TOR,1,9,34.7,7,3,4,1,0,0,1,5,5,2,1,0,4,7,6
2025-02-23,MIA,MIL,1,-7,15.35,4,3,2,1,0,0,0,2,0,0,0,0,2,7,10
