Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,NYK,BOS,1,-23,34.17,7,1,4,0,2,2,0,5,3,1,0,0,3,4,-21
2024-10-25,NYK,IND,0,25,34.02,12,6,4,1,1,2,0,4,1,1,0,1,3,14,18
2024-10-28,NYK,CLE,0,-6,36.87,13,7,4,1,0,1,1,2,2,2,1,2,3,15,3
2024-10-30,NYK,MIA,1,9,36.87,6,3,6,3,2,2,0,3,0,2,0,3,2,11,11
2024-11-01,NYK,DET,1,30,32.78,15,8,5,3,2,2,2,4,6,2,0,0,0,21,23
2024-11-04,NYK,HOU,1,-12,39.58,14,7,6,5,2,3,1,6,2,1,2,0,2,21,-5
2024-11-06,NYK,ATL,1,-5,41.37,13,5,8,3,2,2,1,6,3,1,0,0,1,15,-1
2024-11-08,NYK,MIL,0,22,32.12,12,4,8,1,5,6,0,6,5,3,2,2,4,14,19
2024-11-10,NYK,IND,1,-11,36.08,14,9,4,3,4,4,2,4,2,2,0,3,3,25,-2
2024-11-12,NYK,PHI,1,12,40.67,16,11,4,2,0,0,0,6,2,1,1,0,1,24,18
2024-11-13,NYK,CHI,0,-1,35.63,14,5,7,2,2,2,2,9,2,0,2,2,2,14,-20
2024-11-15,NYK,BRK,0,2,38.77,17,10,8,1,4,5,1,8,1,2,0,3,6,25,10
2024-11-17,NYK,BRK,0,10,40.37,17,9,7,3,3,5,3,8,0,0,1,0,4,24,3
2024-11-18,NYK,WAS,0,28,30.13,12,6,4,1,3,4,2,5,2,2,0,0,0,16,22
2024-11-20,NYK,PHO,1,16,35.18,7,4,4,2,4,4,1,7,1,2,0,2,3,14,20
2024-11-23,NYK,UTA,1,-15,36.02,19,10,12,7,0,0,1,3,0,3,2,0,5,27,-7
2024-11-25,NYK,DEN,1,27,37.83,23,16,7,5,3,3,1,5,4,0,1,1,2,40,21
2024-11-27,NYK,DAL,1,-15,39.83,15,3,8,0,2,2,3,5,2,0,0,1,2,8,-15
2024-11-29,NYK,CHO,1,1,39.53,11,3,4,0,2,2,1,4,0,0,2,4,4,8,3
2024-12-01,NYK,NOP,0,33,31.42,10,2,3,0,3,4,1,4,2,3,4,2,1,7,32
2024-12-03,NYK,ORL,0,15,32.45,10,7,7,4,0,0,0,2,2,0,2,0,4,18,21
2024-12-05,NYK,CHO,0,24,39.5,18,10,4,3,2,2,1,6,2,4,2,1,2,25,18
2024-12-07,NYK,DET,0,-9,38.95,15,6,8,2,3,4,1,4,2,4,2,3,4,17,-10
2024-12-09,NYK,TOR,1,5,41.08,14,6,9,2,0,1,0,4,3,2,3,2,2,14,-7
2024-12-11,NYK,ATL,0,-8,39.1,17,5,9,1,2,4,2,6,1,1,3,1,1,13,-2
2024-12-15,NYK,ORL,1,9,36.72,8,3,3,1,0,0,1,5,1,1,0,2,2,7,14
2024-12-19,NYK,MIN,1,26,30.42,8,3,5,1,2,2,1,3,4,2,1,0,1,9,28
2024-12-21,NYK,NOP,1,11,37.27,17,6,8,2,2,2,2,5,3,3,0,2,3,16,17
2024-12-23,NYK,TOR,0,14,33.75,15,13,6,4,1,3,2,7,4,1,0,2,2,31,25
2024-12-25,NYK,SAS,0,3,35.65,10,3,6,2,0,0,3,5,1,1,0,0,2,8,13
