Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ATL,BRK,0,4,28.48,12,11,0,0,6,6,4,8,1,0,3,2,1,28,4
2024-10-25,ATL,CHO,0,5,26.45,6,3,2,1,0,0,0,8,3,1,0,0,3,7,1
2024-10-27,ATL,OKC,1,-24,23.37,9,3,2,1,7,9,2,3,1,1,0,0,2,14,-16
2024-10-30,ATL,WAS,1,-13,24.12,5,1,4,0,0,0,1,3,2,0,1,0,1,2,2
2024-11-01,ATL,SAC,0,-8,19.2,5,4,1,0,3,4,1,4,1,1,1,0,2,11,-4
2024-11-04,ATL,BOS,0,-30,22.87,12,8,3,0,2,2,5,10,0,2,0,1,2,18,-16
2024-11-06,ATL,NYK,0,5,20.13,6,1,1,0,0,0,2,4,5,1,0,0,2,2,5
2024-11-08,ATL,DET,1,-1,16.82,7,4,1,0,0,0,2,5,3,0,1,1,4,8,3
2024-11-09,ATL,CHI,0,-12,22.42,5,2,1,1,3,4,1,7,1,0,0,0,1,8,-10
2024-11-12,ATL,BOS,1,1,30.7,11,7,4,1,0,0,4,6,2,0,0,3,4,15,15
2024-11-15,ATL,WAS,0,12,25.95,9,5,2,0,3,3,4,13,0,2,2,3,2,13,9
2024-11-17,ATL,POR,1,-4,28.1,9,4,1,0,3,4,2,11,3,2,2,2,4,11,-12
2024-11-18,ATL,SAC,1,1,19.53,5,3,1,0,1,1,0,2,0,1,0,0,1,7,-13
2024-11-20,ATL,GSW,1,-23,23.08,6,2,4,2,3,6,2,7,0,0,1,2,3,9,-17
2024-11-22,ATL,CHI,1,-14,21.32,9,3,2,0,1,2,0,6,1,0,0,0,0,7,-8
2024-11-25,ATL,DAL,0,-10,22.02,11,4,2,0,0,0,5,7,1,0,1,0,2,8,-19
2024-11-27,ATL,CLE,1,11,29.47,7,5,0,0,0,0,2,5,4,0,2,2,4,10,8
2024-11-29,ATL,CLE,0,16,21.7,8,6,2,1,2,2,2,7,2,0,0,0,0,15,3
2024-11-30,ATL,CHO,1,3,28.05,10,5,2,0,6,6,6,11,2,1,0,2,3,16,2
2024-12-02,ATL,NOP,0,12,19.23,5,4,0,0,4,5,1,4,1,1,0,1,0,12,4
2024-12-04,ATL,MIL,1,15,24.32,10,5,3,1,2,3,2,6,1,2,1,0,3,13,11
2024-12-06,ATL,LAL,0,2,29.08,11,7,1,0,1,3,3,6,0,0,1,1,6,15,2
2024-12-08,ATL,DEN,0,-30,24.87,10,5,0,0,4,4,7,9,1,1,0,1,2,14,-10
2024-12-11,ATL,NYK,1,8,23.18,10,6,0,0,0,2,5,11,0,1,1,0,3,12,2
2024-12-14,ATL,MIL,1,-8,19.27,5,2,2,2,2,2,0,3,0,0,0,0,0,8,3
2024-12-29,ATL,TOR,1,29,18.1,8,6,1,0,3,5,2,4,0,2,1,0,2,15,15
2025-01-01,ATL,DEN,1,-19,24.38,6,4,3,1,0,0,1,7,2,1,1,0,3,9,-9
2025-01-03,ATL,LAL,1,-17,23.87,12,7,1,0,0,0,7,11,2,0,1,0,4,14,-7
2025-01-04,ATL,LAC,1,-26,24.38,7,2,3,0,0,0,1,8,2,0,1,0,1,4,-7
2025-01-07,ATL,UTA,1,3,22.73,5,1,0,0,0,0,2,9,3,1,4,0,3,2,2
2025-01-09,ATL,PHO,1,-8,22.0,7,4,1,0,0,0,1,5,6,0,1,1,1,8,7
2025-01-14,ATL,PHO,0,5,28.17,14,9,0,0,4,5,10,21,1,1,0,1,0,22,12
2025-01-15,ATL,CHI,1,16,26.95,9,5,1,1,3,5,3,13,7,1,1,2,2,14,8
2025-01-18,ATL,BOS,1,4,31.83,10,6,3,2,5,7,5,13,2,0,4,2,2,19,6
2025-01-20,ATL,NYK,1,-9,28.43,10,7,1,0,0,0,5,9,2,2,0,1,4,14,8
2025-01-22,ATL,DET,0,-10,26.8,7,3,1,0,3,4,5,10,3,1,1,2,3,9,-2
2025-01-23,ATL,TOR,0,-3,30.38,8,6,1,0,7,8,5,12,4,2,1,2,3,19,-6
2025-01-25,ATL,TOR,0,-23,28.92,10,7,2,1,4,5,2,8,5,4,1,2,3,19,-16
2025-01-27,ATL,MIN,1,-8,26.78,9,2,3,1,2,4,0,7,1,1,0,4,4,7,-14
2025-01-28,ATL,HOU,0,-4,28.2,4,3,2,1,0,0,2,6,1,2,1,1,4,7,11
2025-01-30,ATL,CLE,1,-22,28.13,11,6,2,1,1,2,4,7,4,1,0,2,2,14,-5
2025-02-01,ATL,IND,1,-5,29.22,7,6,0,0,0,2,1,11,3,1,0,0,3,12,5
