Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,OKC,DEN,1,15,13.25,4,2,3,2,0,0,0,3,0,0,1,0,1,6,14
2024-10-26,OKC,CHI,1,19,20.43,7,2,4,0,2,3,0,6,1,0,1,0,0,6,6
2024-10-27,OKC,ATL,0,24,8.4,4,2,3,1,0,0,0,1,0,0,0,0,0,5,0
2024-10-30,OKC,SAS,0,12,18.58,5,2,4,1,0,0,1,5,3,2,0,0,2,5,-1
2024-11-01,OKC,POR,1,23,19.32,10,4,5,1,2,2,1,3,2,0,1,0,2,11,0
2024-11-02,OKC,LAC,1,13,8.1,1,1,1,1,0,0,0,0,0,2,0,0,0,3,-11
2024-11-04,OKC,ORL,0,16,8.4,3,0,1,0,0,0,0,4,2,2,0,0,0,0,-2
2024-11-06,OKC,DEN,1,-2,10.47,2,2,1,1,1,2,2,4,0,0,0,0,2,6,5
2024-11-08,OKC,HOU,0,19,5.6,2,0,1,0,0,0,0,2,0,1,0,1,0,0,-2
2024-11-10,OKC,GSW,0,-11,11.08,5,1,2,0,0,0,2,4,2,0,0,0,2,2,4
2024-11-11,OKC,LAC,0,6,8.65,2,1,2,1,0,0,0,1,1,1,0,0,0,3,-2
2024-11-13,OKC,NOP,0,18,15.55,4,1,1,0,0,0,1,1,0,0,1,0,4,2,9
2024-11-15,OKC,PHO,0,16,21.72,8,2,6,1,2,2,1,5,1,1,0,2,4,7,4
2024-11-17,OKC,DAL,0,-2,2.18,1,0,1,0,0,0,1,1,1,0,0,0,1,0,-5
2024-11-19,OKC,SAS,1,-6,3.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2024-11-20,OKC,POR,0,10,10.9,1,0,1,0,0,2,0,1,0,2,0,1,0,0,6
2024-12-23,OKC,WAS,0,18,2.98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
2024-12-28,OKC,CHO,1,12,7.38,2,0,1,0,0,0,0,2,0,0,0,0,1,0,1
2024-12-29,OKC,MEM,0,24,4.5,2,0,1,0,0,0,0,2,1,1,0,1,0,0,-3
2025-01-02,OKC,LAC,0,18,3.17,1,1,0,0,0,0,0,0,0,1,0,0,0,2,-2
2025-01-16,OKC,CLE,0,20,9.23,3,1,2,0,1,2,1,2,0,0,0,0,0,3,-9
2025-01-17,OKC,DAL,1,-8,5.95,4,2,3,2,2,2,1,1,1,0,0,0,0,8,-7
2025-01-19,OKC,BRK,0,26,20.88,8,5,4,2,0,0,0,3,2,0,1,1,1,12,6
2025-01-22,OKC,UTA,0,9,9.05,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2
2025-01-26,OKC,POR,1,10,10.83,2,2,0,0,1,1,0,1,1,0,0,0,2,5,5
2025-01-29,OKC,GSW,1,-7,6.55,0,0,0,0,0,0,1,2,1,0,0,1,0,0,-8
2025-02-01,OKC,SAC,0,34,24.52,4,0,4,0,0,0,0,3,3,0,1,3,2,0,8
2025-02-03,OKC,MIL,0,29,31.03,13,9,5,3,0,0,3,8,5,1,0,4,1,21,1
2025-02-05,OKC,PHO,0,31,8.78,4,2,2,1,0,0,0,0,0,1,0,1,1,5,9
