Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-17,DEN,MEM,1,-15,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-23,DEN,LAL,1,25,2.7,2,1,1,0,0,0,0,0,0,0,0,0,1,2,-2
2024-11-25,DEN,NYK,0,-27,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-11-27,DEN,UTA,1,19,1.62,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-08,DEN,ATL,1,30,2.83,2,1,0,0,0,0,0,1,0,0,0,0,0,2,5
2024-12-23,DEN,PHO,0,27,2.75,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2
2025-01-17,DEN,MIA,1,20,2.43,0,0,0,0,0,0,0,1,1,0,0,1,1,0,-1
2025-01-19,DEN,ORL,1,13,2.15,0,0,0,0,1,2,0,1,0,0,0,0,0,1,-2
2025-01-21,DEN,PHI,0,35,4.17,2,2,0,0,0,0,1,3,1,0,0,0,1,4,7
2025-01-25,DEN,MIN,1,-29,5.38,1,0,1,0,2,2,1,2,0,0,0,0,0,2,-4
2025-02-05,DEN,NOP,0,25,2.12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
2025-02-06,DEN,ORL,0,22,4.83,2,0,1,0,0,0,1,2,0,0,0,0,1,0,-11
2025-02-08,DEN,PHO,1,17,2.72,1,1,0,0,0,0,0,1,0,0,0,0,0,2,-4
2025-02-10,DEN,POR,0,29,4.18,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0
