Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,31.2,24,12,8,4,5,6,4,11,3,1,1,0,2,33,42
2024-10-25,ORL,BRK,0,15,37.22,13,4,2,1,6,11,1,6,9,0,1,0,2,15,3
2024-10-26,ORL,MEM,1,-13,36.92,12,4,4,1,7,13,3,7,3,1,0,3,3,16,-15
2024-10-28,ORL,IND,0,4,39.62,26,16,9,3,15,22,4,13,9,1,2,4,4,50,3
2024-10-30,ORL,CHI,1,-3,37.25,22,12,9,2,5,7,0,7,4,0,0,4,2,31,-4
2025-01-10,ORL,MIL,0,-3,26.53,21,11,8,5,7,10,0,7,3,2,1,3,1,34,6
2025-01-12,ORL,PHI,0,5,27.1,8,5,2,1,9,11,2,8,6,0,1,6,2,20,18
2025-01-15,ORL,MIL,1,-29,25.95,20,8,7,2,4,5,0,5,2,0,1,7,2,22,-25
2025-01-17,ORL,BOS,1,-27,29.32,20,8,2,0,5,7,0,4,4,0,0,2,1,21,-19
2025-01-19,ORL,DEN,0,-13,29.28,16,4,2,0,2,3,3,7,5,2,1,1,1,10,-4
2025-01-21,ORL,TOR,1,-16,31.85,19,10,7,3,3,7,0,12,2,0,1,5,5,26,-7
2025-01-23,ORL,POR,0,-22,33.12,14,1,4,0,6,8,1,9,6,0,2,5,1,8,-8
2025-01-25,ORL,DET,0,8,39.8,22,11,6,3,7,14,1,9,7,0,0,3,2,32,9
2025-01-27,ORL,MIA,1,-6,44.38,21,7,8,2,1,3,0,5,6,1,0,5,3,17,-21
2025-01-30,ORL,POR,1,-29,33.27,23,10,4,0,1,3,1,6,3,1,0,3,1,21,-23
2025-02-01,ORL,UTA,1,-14,33.67,19,4,6,0,1,3,1,6,6,2,1,3,4,9,-17
2025-02-03,ORL,GSW,1,-5,37.43,24,9,6,0,0,1,1,6,3,1,0,2,2,18,-24
2025-02-05,ORL,SAC,1,19,31.27,15,9,3,1,4,5,0,0,9,1,0,2,1,23,25
2025-02-06,ORL,DEN,1,-22,29.68,14,6,3,1,5,8,0,8,4,1,3,1,3,18,-19
2025-02-08,ORL,SAS,0,1,33.7,17,7,4,0,3,4,0,7,6,0,1,5,1,17,-7
2025-02-10,ORL,ATL,0,-6,33.0,22,10,9,4,7,8,0,6,4,0,1,4,3,31,-19
2025-02-12,ORL,CHO,0,16,29.67,20,8,9,4,4,5,2,8,6,0,1,0,2,24,8
2025-02-20,ORL,ATL,1,6,37.2,25,11,10,3,11,16,2,10,5,0,0,3,1,36,10
2025-02-21,ORL,MEM,0,-1,28.98,21,5,6,1,10,13,0,6,2,0,1,1,4,21,-10
2025-02-23,ORL,WAS,0,20,29.58,12,5,2,1,8,9,2,5,5,0,1,3,1,19,18
2025-02-25,ORL,CLE,0,-40,32.3,22,9,7,1,7,9,1,5,4,1,1,2,1,26,-22
2025-02-27,ORL,GSW,0,-6,36.08,27,16,10,4,5,8,0,6,5,2,0,5,4,41,-12
2025-03-02,ORL,TOR,0,-2,39.13,9,5,3,1,12,15,1,4,5,1,0,4,2,23,12
2025-03-04,ORL,TOR,0,-1,39.58,20,14,5,4,9,10,0,8,8,4,1,3,2,41,-6
2025-03-06,ORL,CHI,0,-2,37.65,15,5,5,0,10,11,2,9,3,0,0,3,1,20,-3
2025-03-08,ORL,MIL,1,2,37.02,16,9,7,4,7,10,0,6,2,1,0,2,4,29,-2
2025-03-10,ORL,HOU,1,-13,36.48,23,10,6,2,3,4,2,5,3,1,1,1,1,25,-11
2025-03-13,ORL,NOP,1,20,34.02,22,14,8,4,2,2,1,11,4,4,1,1,3,34,32
