Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-04,PHI,PHO,1,-2,31.6,14,4,7,1,6,7,0,5,4,1,0,6,3,15,3
2024-11-06,PHI,LAC,1,-12,23.6,9,7,3,2,2,2,3,7,2,3,1,4,4,18,-11
2024-11-08,PHI,LAL,1,-10,24.95,13,4,6,0,1,2,1,4,8,1,0,0,2,9,-4
2024-11-10,PHI,CHO,0,2,33.23,18,6,9,1,2,2,0,3,9,2,0,4,1,15,-2
2024-11-12,PHI,NYK,0,-12,32.12,19,10,11,7,2,2,1,10,3,3,1,4,3,29,-11
2024-11-15,PHI,ORL,1,-12,35.58,15,4,9,3,2,3,1,4,5,4,0,3,2,13,-11
2024-11-18,PHI,MIA,1,-17,32.95,13,5,7,1,7,9,0,6,5,3,0,3,3,18,-17
2024-11-20,PHI,MEM,1,-6,17.45,6,1,2,0,0,0,1,4,2,1,0,1,1,2,-10
2024-11-30,PHI,DET,1,15,26.35,12,4,2,1,2,3,1,8,5,1,0,3,3,11,30
2024-12-03,PHI,CHO,1,6,37.28,16,10,9,6,3,3,1,2,8,2,1,2,2,29,0
2024-12-06,PHI,ORL,0,8,36.92,19,8,7,2,3,4,0,4,9,1,0,2,3,21,7
2024-12-08,PHI,CHI,1,8,34.68,13,6,5,0,0,0,0,7,2,0,1,1,2,12,4
2024-12-13,PHI,IND,0,-14,35.0,12,5,5,2,3,4,0,5,2,2,2,2,1,15,-29
2024-12-16,PHI,CHO,1,13,39.78,20,13,9,6,1,2,0,5,8,2,1,4,2,33,11
2024-12-20,PHI,CHO,0,10,38.65,12,2,7,1,0,0,2,10,8,3,1,2,4,5,5
2024-12-21,PHI,CLE,1,-27,27.18,12,4,4,1,2,2,1,5,1,1,0,3,1,11,-7
2024-12-23,PHI,SAS,0,5,36.93,16,6,7,2,5,7,1,9,4,0,0,2,1,19,15
2024-12-25,PHI,BOS,1,4,33.68,15,4,7,0,4,4,0,4,4,3,1,1,0,12,-16
2024-12-28,PHI,UTA,1,3,31.65,11,4,5,2,3,5,0,3,2,5,0,1,5,13,6
2024-12-30,PHI,POR,1,22,22.83,9,4,3,1,0,0,3,6,4,1,0,4,5,9,20
2025-01-01,PHI,SAC,1,-6,36.25,20,11,7,4,4,4,1,8,5,0,1,5,6,30,-3
2025-01-02,PHI,GSW,1,-34,32.17,12,7,6,3,2,2,0,2,0,0,0,2,2,19,-26
2025-01-04,PHI,BRK,1,29,28.97,14,6,9,3,2,2,0,4,6,2,0,2,2,17,22
2025-01-06,PHI,PHO,0,-10,37.8,18,5,9,3,0,0,0,9,5,2,0,2,2,13,-8
2025-01-10,PHI,NOP,0,-8,35.25,22,10,12,5,0,0,1,11,5,2,0,3,3,25,7
2025-01-12,PHI,ORL,1,-5,37.13,20,10,8,5,0,0,0,10,6,1,0,3,6,25,11
2025-01-15,PHI,NYK,0,-6,43.45,20,9,8,3,5,5,0,3,6,3,0,3,2,26,4
2025-01-21,PHI,DEN,1,-35,28.27,11,5,3,1,0,0,1,5,9,1,1,3,1,11,-15
2025-01-24,PHI,CLE,0,3,36.2,21,11,11,6,2,3,1,5,3,1,0,6,3,30,2
2025-01-25,PHI,CHI,1,12,12.7,6,3,3,1,2,2,0,1,1,0,0,1,0,9,0
