Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-25,DET,CLE,1,-12,6.63,0,0,0,0,0,0,1,1,1,0,0,2,0,0,-12
2024-11-01,DET,NYK,0,-30,7.48,5,2,1,0,1,1,1,2,1,1,2,0,1,5,0
2024-11-06,DET,CHO,1,-1,12.3,6,6,0,0,1,2,0,2,0,2,1,1,3,13,0
2024-11-08,DET,ATL,0,1,15.1,6,2,1,1,0,0,0,1,0,1,0,2,2,5,-1
2024-11-10,DET,HOU,0,-2,14.75,2,2,0,0,2,2,2,4,1,0,1,1,6,6,-5
2024-11-13,DET,MIL,1,-7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-7
2024-11-17,DET,WAS,1,20,4.35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-5
2024-11-23,DET,ORL,1,-11,5.6,2,2,1,1,0,0,0,0,0,0,0,0,0,5,8
2024-11-27,DET,MEM,1,-20,14.97,5,1,3,1,4,4,3,7,1,1,0,0,2,7,2
2024-11-30,DET,PHI,0,-15,14.22,5,3,2,0,1,2,0,4,1,2,1,2,2,7,8
2024-12-03,DET,MIL,0,-21,6.23,1,1,1,1,3,4,0,1,0,1,0,1,0,6,3
2024-12-12,DET,BOS,1,-24,15.35,6,2,2,0,0,0,0,0,3,2,1,0,2,4,-6
2024-12-16,DET,MIA,0,1,11.57,4,2,0,0,2,2,1,2,0,0,0,0,1,6,-2
2024-12-19,DET,UTA,0,-7,17.93,9,6,0,0,0,0,4,9,1,2,2,2,0,12,11
2024-12-21,DET,PHO,1,8,13.65,4,3,1,0,0,0,2,3,2,2,1,0,1,6,0
