Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-12-05,NYK,CHO,0,24,12.25,4,1,1,0,0,2,2,4,1,0,0,2,2,2,11
2024-12-07,NYK,DET,0,-9,27.73,3,2,0,0,2,5,1,10,4,1,1,1,1,6,9
2024-12-09,NYK,TOR,1,5,16.23,7,3,0,0,1,1,2,6,0,0,2,0,1,7,5
2024-12-11,NYK,ATL,0,-8,18.58,2,1,1,0,0,0,1,5,1,2,2,1,0,2,-4
2024-12-15,NYK,ORL,1,9,17.52,3,1,1,0,2,2,1,5,0,1,0,0,2,4,-4
2024-12-19,NYK,MIN,1,26,27.8,9,6,1,1,0,0,3,10,2,1,0,1,2,13,-4
2024-12-21,NYK,NOP,1,11,11.9,4,1,0,0,0,0,5,7,1,0,1,1,2,2,-13
2024-12-23,NYK,TOR,0,14,22.15,7,2,2,1,0,0,2,7,2,1,1,1,3,5,-4
2024-12-25,NYK,SAS,0,3,20.3,5,2,3,1,0,0,4,10,1,1,1,0,0,5,14
2024-12-27,NYK,ORL,1,23,20.63,2,2,0,0,2,4,3,6,1,1,1,3,1,6,7
2024-12-28,NYK,WAS,1,4,19.0,3,1,1,0,1,1,2,7,2,0,0,2,1,3,6
2024-12-30,NYK,WAS,1,20,19.37,2,2,1,1,0,0,0,4,0,0,1,1,2,5,-2
2025-01-01,NYK,UTA,0,16,13.23,8,5,1,1,1,2,0,3,0,1,1,0,1,12,15
2025-01-03,NYK,OKC,1,-10,7.95,4,1,1,0,1,2,2,5,0,0,0,1,0,3,-3
2025-01-04,NYK,CHI,1,-13,26.85,2,2,0,0,1,2,2,5,0,1,0,1,1,5,-3
