Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-28,TOR,DEN,0,-2,28.67,21,9,6,2,0,0,1,5,3,0,0,2,5,20,-3
2024-10-30,TOR,CHO,1,-5,33.33,18,10,6,4,7,12,1,4,8,2,0,3,3,31,-6
2024-11-01,TOR,LAL,0,-6,31.8,22,14,5,3,2,2,1,5,12,0,0,4,3,33,1
2024-11-02,TOR,SAC,0,3,39.9,26,10,9,3,8,11,2,9,6,1,0,2,1,31,5
2024-11-04,TOR,DEN,1,-2,32.6,21,5,11,2,4,5,1,6,10,1,0,5,4,16,-8
2024-11-06,TOR,SAC,1,-15,32.55,19,9,5,1,4,5,0,3,3,2,0,3,2,23,-9
2024-11-09,TOR,LAC,1,-2,30.47,15,6,3,1,0,2,0,6,3,2,1,4,2,13,-11
2024-11-10,TOR,LAL,1,-20,36.42,15,5,7,1,7,9,0,7,4,0,0,4,3,18,-24
2024-11-12,TOR,MIL,1,-14,30.97,14,3,5,1,0,0,1,7,2,2,0,5,1,7,-23
2024-11-15,TOR,DET,0,-4,34.5,18,6,6,2,8,9,3,6,7,0,1,1,1,22,14
2024-11-16,TOR,BOS,1,-3,42.48,27,10,3,1,4,9,0,10,15,1,1,1,4,25,3
2024-11-18,TOR,IND,0,11,35.58,21,13,8,4,9,12,1,9,5,0,0,5,2,39,12
2024-11-21,TOR,MIN,0,5,35.03,14,10,3,1,10,12,1,7,3,3,0,4,2,31,-4
2024-11-24,TOR,CLE,1,-14,32.95,18,6,6,2,2,6,3,6,6,0,1,1,1,16,-13
2024-11-25,TOR,DET,1,-2,33.88,19,7,6,1,2,2,0,3,2,1,0,3,4,17,-16
2024-11-27,TOR,NOP,1,26,32.72,15,8,7,3,3,7,1,8,11,0,0,4,2,22,23
2024-11-29,TOR,MIA,1,-10,38.82,18,10,4,2,3,4,1,6,7,0,0,6,2,25,-9
2024-12-01,TOR,MIA,0,3,37.95,20,15,4,3,4,4,0,7,5,0,1,4,3,37,15
2024-12-03,TOR,IND,0,11,36.88,16,9,6,2,9,12,1,9,5,0,0,5,3,29,6
2024-12-05,TOR,OKC,0,-37,31.05,16,5,7,1,6,6,0,11,2,0,1,1,2,17,-15
2024-12-07,TOR,DAL,0,-7,27.38,16,8,5,2,0,0,0,4,5,1,0,1,5,18,-13
2024-12-09,TOR,NYK,0,-5,37.12,24,13,7,3,1,2,2,8,4,1,0,3,3,30,4
2024-12-12,TOR,MIA,1,-10,33.77,18,5,4,1,2,2,1,11,10,0,3,6,3,13,4
2024-12-16,TOR,CHI,0,-1,37.37,24,11,4,2,8,9,1,5,9,1,2,6,1,32,1
2024-12-23,TOR,NYK,1,-14,33.3,13,7,4,1,8,11,0,6,6,0,0,3,1,23,-1
2024-12-26,TOR,MEM,1,-29,33.83,18,10,5,2,5,7,3,9,10,0,0,2,2,27,-14
2024-12-29,TOR,ATL,0,-29,30.2,13,5,5,1,6,8,0,6,4,0,0,3,2,17,-24
2025-01-06,TOR,MIL,0,-24,32.35,18,11,5,2,1,4,3,9,5,1,0,1,0,25,-19
2025-01-08,TOR,NYK,1,-14,28.35,15,7,4,1,1,2,3,5,2,1,1,2,4,16,-18
2025-01-09,TOR,CLE,1,-6,37.83,15,8,6,2,2,3,0,5,5,2,0,4,2,20,-15
2025-01-11,TOR,DET,1,-9,32.78,16,4,8,0,2,6,1,6,3,2,0,5,4,10,-17
