Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHI,MIL,0,-15,9.0,2,1,1,1,4,4,0,1,0,0,0,1,1,7,1
2024-10-25,PHI,TOR,1,-8,4.23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
2024-10-30,PHI,DET,0,-10,6.55,2,1,1,0,0,0,0,1,0,0,0,0,0,2,1
2024-11-02,PHI,MEM,0,-17,7.85,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
2024-11-06,PHI,LAC,1,-12,9.6,4,3,2,1,0,0,0,1,0,0,0,1,1,7,7
2024-11-08,PHI,LAL,1,-10,15.17,4,0,1,0,2,2,1,3,2,0,0,0,0,2,3
2024-11-12,PHI,NYK,0,-12,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2024-11-13,PHI,CLE,0,-8,11.0,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0
2024-11-15,PHI,ORL,1,-12,1.22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2024-11-18,PHI,MIA,1,-17,8.75,3,2,1,0,0,0,0,1,0,0,0,1,0,4,-3
2024-11-20,PHI,MEM,1,-6,13.35,4,2,0,0,0,0,1,1,1,1,0,0,2,4,-12
2024-11-22,PHI,BRK,0,15,12.13,2,0,2,0,0,0,0,0,0,0,0,0,1,0,-9
2024-11-24,PHI,LAC,0,-26,18.8,10,3,6,1,2,2,0,0,1,0,0,0,1,9,13
2024-11-27,PHI,HOU,0,-7,26.68,7,5,3,2,0,0,1,10,1,1,1,1,2,12,9
2024-11-30,PHI,DET,1,15,26.65,7,5,3,1,6,7,1,5,1,1,1,0,3,17,-17
2024-12-03,PHI,CHO,1,6,10.05,2,1,1,0,0,0,0,1,2,0,0,0,1,2,-5
2024-12-04,PHI,ORL,0,-4,18.48,6,2,2,1,4,6,0,0,1,0,1,0,0,9,-14
2024-12-13,PHI,IND,0,-14,21.5,12,4,1,0,6,9,4,9,2,1,1,1,1,14,10
2024-12-16,PHI,CHO,1,13,8.6,4,1,2,0,4,4,1,1,0,1,0,1,1,6,5
2024-12-20,PHI,CHO,0,10,12.5,5,4,1,1,2,2,1,2,0,1,0,1,3,11,-7
2024-12-21,PHI,CLE,1,-27,21.47,7,2,3,1,6,6,2,5,0,1,0,1,0,11,-10
2024-12-28,PHI,UTA,1,3,10.83,3,1,1,0,1,2,0,2,0,0,1,0,1,3,0
2024-12-30,PHI,POR,1,22,13.6,2,2,1,1,2,2,0,1,0,0,0,1,3,7,-11
2025-01-01,PHI,SAC,1,-6,10.43,3,1,1,0,1,1,1,4,0,0,0,2,0,3,11
