Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHO,LAC,1,3,24.22,5,2,3,1,0,0,1,5,1,1,1,3,1,5,14
2024-10-25,PHO,LAL,1,-7,27.93,5,2,3,1,2,2,0,4,4,1,0,2,3,7,14
2024-10-26,PHO,DAL,0,12,26.52,6,2,5,1,2,2,2,9,4,0,1,0,2,7,18
2024-10-28,PHO,LAL,0,4,24.73,9,4,4,2,2,2,2,9,4,0,2,1,4,12,25
2024-10-31,PHO,LAC,1,6,28.62,8,7,6,5,2,2,1,7,1,1,1,0,3,21,-7
2024-11-02,PHO,POR,0,6,22.93,6,1,5,1,0,0,1,7,3,1,1,1,1,3,0
2024-11-04,PHO,PHI,0,2,23.67,9,6,4,3,0,0,3,5,0,1,1,0,3,15,-2
2024-11-06,PHO,MIA,0,3,22.8,6,2,4,2,0,0,3,7,2,1,1,1,2,6,-2
2024-11-08,PHO,DAL,1,1,29.12,8,7,4,4,0,1,1,5,2,0,0,0,2,18,14
2024-11-10,PHO,SAC,0,-9,28.37,14,3,7,2,0,0,2,9,2,1,1,1,4,8,-16
2024-11-12,PHO,UTA,1,8,23.67,8,2,6,2,3,4,1,3,2,1,3,1,2,9,2
2024-11-13,PHO,SAC,1,-23,21.92,12,2,6,1,0,0,1,5,4,1,0,1,2,5,-6
2024-11-15,PHO,OKC,1,-16,22.07,10,4,6,2,1,2,3,7,3,1,0,0,2,11,-19
2024-11-17,PHO,MIN,1,-3,24.88,7,3,4,1,0,0,0,4,2,2,1,1,3,7,-10
2024-11-18,PHO,ORL,0,-10,19.97,8,1,5,0,0,0,1,7,0,0,1,1,2,2,-15
2024-11-20,PHO,NYK,0,-16,32.6,12,6,10,5,0,2,1,4,2,1,0,2,3,17,-20
2024-11-26,PHO,LAL,0,27,23.72,6,3,6,3,0,0,1,9,1,1,0,1,0,9,13
2024-11-27,PHO,BRK,0,-10,28.55,5,3,4,2,0,0,0,4,2,4,0,1,4,8,-7
2024-11-30,PHO,GSW,0,8,19.42,6,4,4,3,0,0,0,2,1,0,0,0,1,11,15
2024-12-03,PHO,SAS,0,11,29.58,12,4,9,2,0,0,1,6,1,1,0,1,0,10,12
2024-12-05,PHO,NOP,1,-2,27.53,9,6,8,5,2,2,1,7,2,2,0,2,3,19,-3
2024-12-07,PHO,MIA,1,-10,31.3,15,8,8,5,2,2,3,8,3,1,0,2,2,23,-11
2024-12-08,PHO,ORL,1,-5,30.8,10,6,6,4,0,0,0,7,1,0,0,2,3,16,0
2024-12-13,PHO,UTA,1,8,28.37,11,6,9,5,0,0,0,4,5,0,0,0,2,17,8
2024-12-15,PHO,POR,0,7,32.37,9,5,6,3,0,0,0,4,2,0,0,0,1,13,-3
2024-12-19,PHO,IND,0,-9,26.33,5,3,5,3,0,0,0,6,4,1,1,2,5,9,-2
2024-12-21,PHO,DET,0,-8,34.0,6,4,5,3,0,0,0,3,1,2,0,3,3,11,-8
2024-12-23,PHO,DEN,1,-27,28.63,9,2,8,2,0,0,1,2,4,1,0,0,2,6,-10
2024-12-25,PHO,DEN,0,10,30.12,7,2,5,1,0,0,1,8,6,2,1,0,3,5,3
2024-12-27,PHO,DAL,0,-9,30.28,11,5,9,4,0,0,0,5,4,2,2,2,2,14,-11
2024-12-28,PHO,GSW,1,-4,11.82,3,0,3,0,0,0,0,1,0,0,1,0,1,0,-5
2025-01-12,PHO,CHO,0,7,21.63,7,3,6,2,1,1,0,4,1,1,1,4,3,9,25
2025-01-14,PHO,ATL,1,-5,16.43,5,1,4,0,0,0,1,4,1,1,0,1,1,2,-22
2025-01-16,PHO,WAS,1,7,21.67,6,3,6,3,0,0,0,4,2,1,0,1,3,9,-10
2025-01-18,PHO,DET,1,4,16.18,4,2,3,1,0,0,1,6,1,0,0,2,3,5,14
2025-01-20,PHO,CLE,1,-26,22.03,3,0,3,0,0,0,0,6,0,0,0,0,1,0,-14
2025-01-22,PHO,BRK,1,24,22.9,9,1,7,1,0,0,2,4,0,0,0,2,2,3,19
2025-01-25,PHO,WAS,0,10,16.67,6,1,6,1,0,0,0,4,1,0,1,0,0,3,-6
2025-01-27,PHO,LAC,0,2,25.03,9,4,8,3,0,0,0,2,0,4,0,0,0,11,-6
2025-01-29,PHO,MIN,0,-8,31.7,8,2,4,0,0,0,1,5,1,2,0,0,4,4,-10
2025-01-31,PHO,GSW,1,25,24.17,4,2,4,2,0,0,0,2,4,0,0,0,3,6,15
2025-02-01,PHO,POR,1,-19,14.27,5,2,4,1,0,0,0,3,1,0,0,0,1,5,5
2025-02-03,PHO,POR,1,-2,32.55,8,5,7,4,0,0,1,4,5,4,0,1,3,14,1
2025-02-05,PHO,OKC,1,-31,28.63,10,6,9,6,0,0,0,5,1,0,0,0,2,18,-15
2025-02-07,PHO,UTA,0,8,30.42,11,4,11,4,0,0,0,3,4,0,4,0,2,12,-7
2025-02-08,PHO,DEN,0,-17,30.47,9,3,8,3,0,0,1,2,2,0,0,0,2,9,-20
2025-02-11,PHO,MEM,0,-7,33.55,12,4,10,3,0,0,0,6,4,1,0,1,3,11,2
2025-02-12,PHO,HOU,1,-8,35.28,9,5,5,4,0,0,0,4,0,2,0,0,2,14,-20
2025-02-20,PHO,SAS,1,-11,35.77,16,10,12,6,1,2,1,6,3,3,0,4,3,27,-5
2025-02-22,PHO,CHI,1,4,23.93,7,1,5,0,0,0,1,5,2,2,0,1,0,2,8
2025-02-23,PHO,TOR,1,-18,27.87,8,2,6,1,0,0,0,4,2,2,1,1,2,5,-7
2025-02-25,PHO,MEM,1,-3,14.57,5,3,4,3,1,2,2,4,1,1,0,0,0,10,2
2025-02-27,PHO,NOP,0,-8,10.55,3,2,2,2,0,0,0,1,0,0,0,0,1,6,-8
2025-02-28,PHO,NOP,0,17,25.72,9,6,9,6,0,0,0,3,3,0,0,1,1,18,12
2025-03-02,PHO,MIN,0,-18,13.55,3,0,3,0,0,0,2,5,1,0,1,0,0,0,-15
2025-03-04,PHO,LAC,0,2,28.78,9,4,7,4,0,0,1,3,3,0,0,0,2,12,2
2025-03-07,PHO,DEN,1,-8,19.72,4,2,4,2,0,0,0,1,5,1,0,0,1,6,7
2025-03-09,PHO,DAL,1,9,29.35,4,2,4,2,0,0,1,8,3,1,0,0,2,6,6
2025-03-10,PHO,MEM,1,-2,27.52,6,3,6,3,0,0,1,4,2,2,0,1,2,9,-7
2025-03-12,PHO,HOU,1,-7,28.47,6,1,5,0,0,0,0,4,8,3,1,2,2,2,-2
