Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHO,LAC,1,3,8.73,5,1,2,0,0,0,0,2,1,0,1,0,3,2,-2
2024-10-25,PHO,LAL,1,-7,13.52,5,3,5,3,0,0,0,3,1,0,0,0,2,9,8
2024-10-26,PHO,DAL,0,12,21.17,8,5,6,3,0,0,1,1,1,0,0,1,5,13,4
2024-10-28,PHO,LAL,0,4,15.37,5,3,3,1,0,0,0,1,0,1,1,0,1,7,3
2024-10-31,PHO,LAC,1,6,34.3,12,6,9,4,0,0,1,4,0,1,0,0,5,16,11
2024-11-02,PHO,POR,0,6,13.7,4,0,3,0,0,0,1,2,2,1,0,1,1,0,5
2024-11-04,PHO,PHI,0,2,10.45,3,0,3,0,0,0,0,4,1,0,0,0,1,0,-16
2024-11-06,PHO,MIA,0,3,9.47,2,2,2,2,1,2,0,1,1,0,0,1,1,7,2
2024-11-10,PHO,SAC,0,-9,21.25,7,4,3,0,0,0,0,2,0,1,1,0,1,8,1
2024-11-12,PHO,UTA,1,8,19.87,5,3,2,2,0,0,0,3,0,0,1,0,2,8,0
2024-11-13,PHO,SAC,1,-23,27.72,11,4,7,2,0,2,2,3,1,1,2,0,4,10,-29
2024-11-15,PHO,OKC,1,-16,24.98,13,4,9,1,0,0,0,5,0,1,1,1,2,9,-19
2024-11-17,PHO,MIN,1,-3,18.47,2,1,1,0,0,2,0,0,0,1,0,3,3,2,-11
