Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,TOR,CLE,0,-30,25.85,14,3,2,0,3,4,3,6,5,0,0,2,5,9,-33
2024-10-25,TOR,PHI,0,8,36.32,11,8,2,0,11,13,2,5,4,2,1,4,2,27,-1
2024-10-26,TOR,MIN,1,-11,36.82,19,9,4,1,1,2,3,8,6,1,0,6,4,20,-13
2024-10-28,TOR,DEN,0,-2,35.3,19,9,3,1,2,4,2,12,9,5,1,4,1,21,-2
2024-11-21,TOR,MIN,0,5,27.32,11,5,5,2,5,6,0,3,6,1,0,2,2,17,-2
2024-11-24,TOR,CLE,1,-14,34.08,14,5,6,1,7,12,1,7,7,3,1,1,1,18,-9
2024-11-25,TOR,DET,1,-2,36.53,26,12,8,3,4,5,7,14,7,1,1,1,0,31,-2
2024-11-27,TOR,NOP,1,26,31.65,23,7,12,2,1,2,4,12,7,0,1,5,2,17,33
2024-11-29,TOR,MIA,1,-10,38.25,15,8,8,3,5,6,1,10,10,1,1,5,1,24,0
2024-12-01,TOR,MIA,0,3,35.13,17,9,5,2,3,5,1,10,9,0,0,4,2,23,-12
2024-12-03,TOR,IND,0,11,36.35,20,13,7,3,6,8,0,6,9,1,1,7,3,35,18
2024-12-05,TOR,OKC,0,-37,30.62,13,5,7,2,0,0,3,12,8,0,2,4,1,12,-21
2024-12-07,TOR,DAL,0,-7,37.62,17,8,7,3,0,0,2,8,14,3,1,3,1,19,10
2024-12-09,TOR,NYK,0,-5,22.83,11,5,8,3,2,2,0,5,3,0,0,2,2,15,5
2024-12-19,TOR,BRK,0,-7,36.43,11,5,6,2,4,5,0,3,6,0,2,3,4,16,1
2024-12-22,TOR,HOU,0,-4,38.88,15,2,8,0,2,4,3,10,4,3,0,2,3,6,-8
2024-12-23,TOR,NYK,1,-14,36.35,20,10,3,0,4,6,0,3,8,1,0,5,5,24,-2
2024-12-26,TOR,MEM,1,-29,35.7,20,10,5,2,4,4,1,6,8,1,0,3,4,26,-22
2024-12-29,TOR,ATL,0,-29,35.02,12,7,1,0,5,5,1,8,5,3,0,8,1,19,-34
2024-12-31,TOR,BOS,1,-54,31.17,19,7,8,1,1,1,2,13,2,2,1,6,0,16,-39
2025-01-01,TOR,BRK,0,17,38.03,18,14,4,3,2,2,0,13,5,2,1,3,3,33,14
2025-01-03,TOR,ORL,0,-9,37.43,19,9,4,2,0,2,1,9,3,1,0,1,1,20,-3
