Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MEM,UTA,1,2,21.82,6,3,2,0,0,2,1,3,7,3,1,2,3,6,5
2024-10-25,MEM,HOU,1,-20,24.18,9,4,3,2,3,4,0,3,4,0,0,1,2,13,-13
2024-10-26,MEM,ORL,0,13,22.92,7,5,1,1,0,0,2,5,12,2,1,5,5,11,6
2024-10-28,MEM,CHI,0,-3,30.68,13,6,4,2,0,0,1,4,10,1,1,1,4,14,-17
2024-10-30,MEM,BRK,0,-13,20.03,4,1,2,0,3,3,0,0,4,1,0,3,4,5,-19
2024-10-31,MEM,MIL,0,23,26.9,8,5,3,1,5,5,0,3,1,1,0,3,2,16,9
2024-11-02,MEM,PHI,1,17,29.03,9,4,2,1,3,3,0,4,13,1,0,2,3,12,9
2024-11-04,MEM,BRK,1,-2,31.05,13,6,6,2,0,0,0,4,3,0,0,2,5,14,0
2024-11-06,MEM,LAL,0,17,25.57,9,5,4,3,1,2,1,6,4,1,1,4,3,14,8
2024-11-08,MEM,WAS,0,24,27.6,8,4,2,0,3,4,1,10,11,1,0,2,3,11,21
2024-11-10,MEM,POR,1,45,20.7,8,6,3,2,3,4,0,4,2,0,1,3,2,17,17
2024-11-13,MEM,LAL,1,-5,31.62,14,6,2,1,2,2,0,3,3,3,1,2,3,15,-10
2024-11-15,MEM,GSW,1,-5,21.87,6,0,2,0,3,3,0,2,4,0,0,0,1,3,-23
2024-11-17,MEM,DEN,0,15,25.53,12,3,7,2,2,2,2,3,4,4,0,2,3,10,12
2024-11-19,MEM,DEN,0,-12,25.48,11,5,2,0,6,10,3,6,6,1,1,1,1,16,-15
2024-11-20,MEM,PHI,0,6,25.77,10,3,4,2,0,0,0,4,3,0,0,1,3,8,-1
2024-11-23,MEM,CHI,1,11,31.47,16,13,6,3,1,1,0,2,10,0,0,4,2,30,-4
2024-11-25,MEM,POR,0,25,14.08,4,1,1,0,1,2,2,4,4,1,1,0,1,3,10
2024-11-27,MEM,DET,0,20,31.07,12,9,2,1,0,1,0,7,4,3,0,2,2,19,13
2024-11-29,MEM,NOP,0,11,13.53,4,1,2,0,0,0,0,2,4,1,0,1,4,2,-11
2024-12-01,MEM,IND,0,15,11.42,7,2,4,0,0,0,1,1,2,0,0,2,1,4,-2
2024-12-03,MEM,DAL,1,-5,17.35,6,2,2,1,0,0,1,4,4,2,0,2,3,5,5
2024-12-05,MEM,SAC,0,5,14.72,9,2,4,0,0,0,0,1,3,0,0,1,1,4,10
2024-12-07,MEM,BOS,1,6,16.73,2,1,1,0,0,2,0,2,2,0,0,1,2,2,2
2024-12-08,MEM,WAS,1,28,22.32,11,6,1,0,2,3,0,3,12,2,0,4,0,14,21
2024-12-13,MEM,BRK,0,16,14.73,6,3,3,1,0,0,1,5,2,0,1,0,2,7,-6
2024-12-15,MEM,LAL,1,-6,9.02,4,1,2,0,0,0,0,2,0,0,1,3,1,2,-6
2024-12-19,MEM,GSW,0,51,16.42,8,3,3,1,1,4,0,0,5,0,0,2,3,8,24
2024-12-21,MEM,ATL,1,16,32.67,12,9,4,3,1,3,0,5,9,2,0,5,1,22,14
2024-12-23,MEM,LAC,0,-4,18.52,10,5,4,3,0,1,1,2,2,0,1,1,3,13,8
2024-12-26,MEM,TOR,0,29,20.95,12,5,5,1,4,5,1,2,3,4,0,2,2,15,1
2024-12-27,MEM,NOP,1,8,23.18,10,4,6,3,2,2,3,6,4,0,0,1,4,13,-8
2024-12-29,MEM,OKC,1,-24,23.82,7,4,2,1,1,2,2,3,6,1,1,4,1,10,-19
2024-12-31,MEM,PHO,1,5,21.53,5,0,3,0,2,2,1,2,3,1,2,3,4,2,-6
2025-01-03,MEM,SAC,1,-5,25.0,6,4,5,3,5,5,0,2,5,1,0,4,4,16,-21
2025-01-04,MEM,GSW,1,-8,26.72,9,4,4,3,1,2,4,5,1,2,1,1,2,12,-7
2025-01-06,MEM,DAL,0,15,28.22,13,6,7,3,3,4,1,5,4,5,1,1,2,18,9
2025-01-09,MEM,HOU,0,-4,13.45,0,0,0,0,0,0,0,2,2,1,0,2,3,0,-1
2025-01-11,MEM,MIN,1,2,15.65,4,2,0,0,1,2,0,3,4,3,0,0,2,5,0
2025-01-13,MEM,HOU,1,-2,11.43,3,2,1,0,0,0,0,2,1,0,0,0,2,4,-3
2025-01-15,MEM,SAS,1,14,19.17,3,1,1,0,1,4,1,4,5,1,0,0,1,3,1
2025-01-17,MEM,SAS,1,28,16.03,6,3,3,1,0,0,0,1,5,0,0,0,4,7,12
2025-01-20,MEM,MIN,0,2,14.0,4,3,1,0,0,0,1,2,3,2,0,0,4,6,-12
2025-01-22,MEM,CHO,0,12,15.73,5,0,1,0,0,0,1,3,4,2,0,1,4,0,0
2025-01-24,MEM,NOP,0,13,25.2,11,5,3,0,3,3,2,3,3,2,0,3,4,13,-7
2025-01-25,MEM,UTA,0,22,18.6,5,2,3,0,2,4,2,5,4,1,0,2,2,6,12
