Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-02,DEN,UTA,0,26,2.17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2024-11-27,DEN,UTA,1,19,1.62,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2024-12-23,DEN,PHO,0,27,4.07,1,0,1,0,0,0,0,2,0,0,0,1,1,0,2
2024-12-27,DEN,CLE,0,-14,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-01-01,DEN,ATL,0,19,3.37,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-6
2025-02-03,DEN,NOP,0,12,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-05,DEN,NOP,0,25,2.12,2,1,2,1,0,0,0,0,0,0,0,0,0,3,4
2025-02-06,DEN,ORL,0,22,4.83,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-11
2025-02-08,DEN,PHO,1,17,2.72,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-4
2025-02-10,DEN,POR,0,29,4.18,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2025-02-22,DEN,LAL,0,-23,3.27,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-6
2025-02-28,DEN,DET,1,15,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-9
2025-03-09,DEN,OKC,1,-24,1.22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
