Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,HOU,CHO,0,-5,12.88,3,1,1,0,0,0,1,2,2,2,0,0,1,2,-13
2024-10-25,HOU,MEM,0,20,16.03,7,5,4,3,0,0,2,5,0,2,1,0,2,13,8
2024-10-26,HOU,SAS,1,-3,18.32,6,3,2,0,0,0,0,2,2,3,1,1,3,6,-1
2024-10-28,HOU,SAS,1,5,21.73,5,2,2,0,2,2,2,5,2,2,0,0,4,6,3
2024-10-31,HOU,DAL,1,6,18.7,10,6,2,1,2,3,2,4,2,0,1,0,1,15,12
2024-11-02,HOU,GSW,0,-6,35.33,19,11,5,3,2,4,6,9,1,4,3,3,5,27,11
2024-11-04,HOU,NYK,0,12,24.7,7,3,2,0,1,2,2,5,1,0,1,0,3,7,9
2024-11-06,HOU,SAS,0,27,21.82,7,5,2,1,1,2,3,4,1,1,1,0,1,12,23
2024-11-08,HOU,OKC,1,-19,25.25,11,5,5,2,0,0,1,6,0,3,1,3,1,12,-11
2024-11-10,HOU,DET,1,2,27.35,12,7,4,2,2,3,4,9,1,1,1,2,3,18,7
2024-11-11,HOU,WAS,0,15,26.4,10,5,2,0,0,0,0,6,2,3,2,2,2,10,14
2024-11-13,HOU,LAC,0,8,25.98,14,8,2,0,2,2,2,10,1,1,2,1,1,18,19
2024-11-15,HOU,LAC,0,21,22.28,12,7,4,2,1,2,3,6,1,2,1,1,4,17,2
2024-11-17,HOU,CHI,1,36,18.28,8,1,4,0,2,2,1,6,0,1,0,1,5,4,-6
2024-11-18,HOU,MIL,1,-1,30.6,7,4,3,1,0,0,3,14,1,4,3,1,2,9,-6
2024-11-20,HOU,IND,0,17,23.33,8,4,2,2,1,2,2,9,1,6,0,1,5,11,15
2024-11-22,HOU,POR,0,28,21.9,14,8,5,1,5,5,1,8,2,2,0,0,1,22,33
2024-11-23,HOU,POR,0,-6,19.53,7,0,1,0,4,4,3,5,0,2,1,0,1,4,-2
2024-11-26,HOU,MIN,1,6,18.15,5,0,3,0,0,0,0,3,0,2,1,1,3,0,-18
2024-11-27,HOU,PHI,1,7,26.35,11,6,1,0,2,2,3,7,2,0,2,0,1,14,9
2024-12-01,HOU,OKC,0,3,24.35,8,2,5,1,1,2,3,5,1,2,1,2,1,6,-6
2024-12-03,HOU,SAC,1,-9,25.07,15,5,5,1,5,6,6,12,1,3,0,1,2,16,-2
2024-12-11,HOU,GSW,0,1,24.47,7,4,1,1,0,0,1,7,1,0,0,0,3,9,4
2024-12-14,HOU,OKC,1,-15,17.38,8,3,6,2,4,6,0,2,0,0,1,0,4,12,-12
2025-01-16,HOU,SAC,1,-5,24.48,10,6,4,1,3,5,1,4,0,1,0,0,3,16,1
2025-01-18,HOU,POR,1,22,23.5,10,6,0,0,6,8,3,8,4,3,0,0,1,18,-2
2025-01-20,HOU,DET,0,-11,26.6,7,2,2,1,3,4,2,4,1,5,0,3,2,8,1
2025-01-22,HOU,CLE,0,1,20.15,10,4,5,3,1,1,3,6,2,3,0,1,2,12,19
2025-01-25,HOU,CLE,1,4,21.53,3,2,1,0,0,0,1,3,0,1,1,0,5,4,1
2025-01-27,HOU,BOS,1,2,24.72,10,2,7,2,0,0,0,6,2,1,0,0,2,6,-3
2025-01-30,HOU,MEM,1,-1,29.68,12,6,3,1,0,1,4,12,0,0,0,2,1,13,-1
2025-02-01,HOU,BRK,0,-12,27.33,9,5,2,2,0,0,3,9,1,0,1,3,1,12,-3
2025-02-03,HOU,NYK,1,-6,33.68,11,5,2,1,1,1,3,6,1,1,3,1,3,12,-17
2025-02-06,HOU,MIN,1,-13,28.37,5,4,0,0,2,2,1,4,2,5,3,2,3,10,0
2025-02-08,HOU,DAL,1,-11,29.65,9,3,2,0,2,2,3,6,1,1,0,0,3,8,-12
2025-02-12,HOU,PHO,0,8,34.05,16,11,5,3,0,1,4,9,4,3,0,1,2,25,18
