Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,LAC,PHO,0,-3,27.1,6,4,1,0,0,3,1,5,4,1,0,1,6,8,7
2024-10-26,LAC,DEN,1,5,20.88,4,0,2,0,0,0,1,3,1,0,0,0,2,0,-15
2024-10-27,LAC,GSW,1,8,18.32,5,1,1,0,0,0,0,1,0,1,0,1,3,2,-10
2024-10-30,LAC,POR,0,-1,19.33,5,2,2,0,0,0,3,4,3,0,0,1,4,4,4
2024-10-31,LAC,PHO,0,-6,31.18,8,4,2,0,0,0,3,4,2,1,0,0,3,8,0
2024-11-02,LAC,OKC,0,-13,24.55,6,2,2,1,6,6,2,6,2,1,0,1,2,11,-16
2024-11-04,LAC,SAS,0,9,19.33,4,2,2,1,0,0,0,2,1,0,0,0,1,5,-20
2024-11-06,LAC,PHI,0,12,20.68,6,3,3,1,0,0,1,2,2,1,0,0,2,7,2
2024-11-08,LAC,SAC,1,9,22.2,4,0,2,0,2,2,1,5,3,0,0,0,2,2,17
2024-11-09,LAC,TOR,0,2,28.5,5,2,1,0,0,0,2,5,0,0,1,0,4,4,-4
2024-11-11,LAC,OKC,1,-6,17.68,3,1,2,1,1,2,2,4,0,0,0,2,0,4,-6
2024-11-13,LAC,HOU,1,-8,23.5,9,5,3,2,2,2,1,7,3,2,2,2,0,14,-6
2024-11-15,LAC,HOU,1,-21,12.52,4,1,1,0,0,0,0,4,0,0,0,0,2,2,1
2024-11-17,LAC,UTA,0,11,13.65,6,3,2,1,0,0,0,2,1,0,1,0,1,7,2
2024-11-18,LAC,GSW,0,3,22.82,10,4,6,2,0,0,1,5,6,2,0,0,2,10,10
2024-11-20,LAC,ORL,0,11,15.35,2,0,1,0,0,0,0,0,1,1,0,2,1,0,-9
2024-11-22,LAC,SAC,0,16,17.98,3,2,1,1,0,0,0,1,2,3,0,0,2,5,8
2024-11-24,LAC,PHI,1,26,22.03,6,5,2,1,2,4,0,1,1,1,0,1,3,13,-8
2024-11-25,LAC,BOS,1,-32,23.38,11,4,4,2,0,0,3,6,2,1,0,0,2,10,-19
2024-11-27,LAC,WAS,1,25,24.77,5,2,1,0,2,3,1,1,4,4,0,0,1,6,-1
2024-11-29,LAC,MIN,1,-1,19.87,5,1,2,0,0,0,0,0,1,3,0,0,2,2,10
2024-12-01,LAC,DEN,0,4,24.93,7,6,2,2,1,2,2,3,1,0,0,1,2,15,11
2024-12-03,LAC,POR,0,22,13.4,4,2,2,1,0,0,0,0,0,0,1,1,0,5,-6
2025-01-04,LAC,ATL,0,26,16.03,5,5,2,2,0,0,0,3,2,1,0,1,1,12,-4
2025-01-06,LAC,MIN,1,-2,9.83,2,1,2,1,0,0,0,0,1,1,0,0,0,3,6
2025-01-08,LAC,DEN,1,-23,12.45,4,1,2,1,0,0,0,0,0,1,0,2,2,3,-11
2025-01-15,LAC,BRK,0,59,8.37,3,2,1,1,0,0,1,2,0,0,1,0,2,5,4
2025-01-16,LAC,POR,1,29,22.35,8,5,3,2,2,2,0,5,1,0,0,1,1,14,4
2025-01-20,LAC,CHI,0,-13,21.82,9,6,3,0,0,0,0,2,0,0,2,1,2,12,1
2025-01-22,LAC,BOS,0,-4,45.03,11,4,3,0,3,4,1,5,7,1,1,4,2,11,-2
2025-01-23,LAC,WAS,0,17,18.6,3,0,1,0,0,0,0,4,5,1,0,0,3,0,5
2025-01-25,LAC,MIL,0,10,14.15,4,1,2,1,0,0,1,4,0,0,1,0,2,3,3
2025-01-27,LAC,PHO,1,-2,7.2,3,1,2,0,0,0,0,0,0,0,0,0,1,2,-7
2025-01-29,LAC,SAS,1,12,11.4,3,1,1,0,0,0,0,1,1,0,0,2,2,2,-8
2025-01-31,LAC,CHO,1,8,23.07,2,1,2,1,2,2,1,3,1,0,1,1,1,5,-8
2025-02-02,LAC,TOR,1,-7,25.55,6,3,2,1,0,0,4,6,0,0,0,0,2,7,-6
2025-02-04,LAC,LAL,0,-25,12.43,4,0,2,0,0,0,0,1,1,1,0,0,0,0,-9
2025-02-08,ATL,WAS,1,14,24.62,5,2,0,0,0,2,0,1,3,0,0,0,3,4,-7
2025-02-10,ATL,ORL,1,6,14.8,4,4,3,3,1,1,1,2,1,0,0,1,0,12,6
2025-02-12,ATL,NYK,1,-1,16.32,4,0,0,0,1,2,3,6,2,3,0,0,4,1,-12
2025-02-20,ATL,ORL,0,-6,21.72,5,3,3,1,0,0,0,0,3,0,0,1,2,7,-6
2025-02-23,ATL,DET,0,-5,13.72,1,1,0,0,0,2,2,3,0,0,0,0,2,2,-12
2025-02-24,ATL,MIA,0,12,26.13,9,6,5,2,1,3,1,2,2,1,0,3,2,15,6
2025-02-26,ATL,MIA,1,-22,29.03,7,4,4,2,3,4,1,4,4,1,0,1,3,13,-18
