Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-26,CHO,MIA,0,-8,8.63,1,0,1,0,0,0,0,1,0,1,0,1,1,0,-10
2024-10-30,CHO,TOR,0,5,16.17,3,1,2,0,1,2,1,3,3,1,0,0,0,3,11
2024-11-01,CHO,BOS,0,-15,19.02,5,3,5,3,0,0,1,6,1,0,0,0,0,9,2
2024-11-02,CHO,BOS,0,-10,15.75,3,0,2,0,0,0,0,1,0,0,0,0,0,0,-2
2024-11-04,CHO,MIN,1,-21,22.07,10,2,7,1,0,0,0,2,1,1,0,2,3,5,-10
2024-11-06,CHO,DET,0,1,11.97,1,1,1,1,0,0,0,1,0,0,0,0,0,3,-6
2024-11-08,CHO,IND,0,20,21.48,6,1,3,0,0,0,3,7,1,0,0,2,2,2,-11
2024-11-10,CHO,PHI,1,-2,19.22,5,1,3,0,0,0,1,9,2,0,0,2,0,2,0
2024-11-12,CHO,ORL,1,-25,20.57,6,1,3,1,0,2,2,6,1,0,0,1,2,3,-25
2024-11-16,CHO,MIL,0,1,9.53,4,1,3,1,0,0,0,1,2,0,0,0,0,3,-8
2024-11-17,CHO,CLE,1,-14,14.9,3,0,2,0,0,0,1,1,1,1,1,0,0,0,-2
2024-11-19,CHO,BRK,1,-1,14.53,2,2,1,1,6,7,0,8,1,0,2,1,3,11,17
2024-11-21,CHO,DET,0,2,13.1,4,2,2,1,2,2,0,2,0,0,0,1,1,7,-2
2024-11-23,CHO,MIL,1,-6,16.88,3,2,3,2,0,0,1,2,1,0,0,0,1,6,-15
2024-11-25,CHO,ORL,0,-11,30.02,3,0,2,0,1,2,1,7,1,0,0,2,3,1,1
