Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ATL,BRK,0,4,36.67,16,7,6,2,14,16,1,5,12,1,1,3,1,30,12
2024-10-25,ATL,CHO,0,5,41.47,24,11,14,5,11,13,3,8,10,4,0,7,1,38,9
2024-10-27,ATL,OKC,1,-24,37.05,14,7,7,2,8,8,0,1,8,0,0,10,3,24,-18
2024-10-28,ATL,WAS,0,-2,35.73,15,2,10,2,8,9,0,8,13,1,1,6,3,14,-7
2024-10-30,ATL,WAS,1,-13,40.37,28,12,13,4,7,7,2,4,15,2,0,3,2,35,-16
2024-11-01,ATL,SAC,0,-8,42.3,21,8,9,3,6,7,1,5,12,0,0,5,2,25,-11
2024-11-03,ATL,NOP,1,15,31.35,15,8,10,5,2,2,1,4,12,1,0,2,1,23,29
2024-11-04,ATL,BOS,0,-30,23.25,10,1,6,0,0,0,0,0,6,1,0,3,2,2,-28
2024-11-06,ATL,NYK,0,5,35.25,21,7,9,3,6,8,2,6,10,2,0,2,2,23,6
2024-11-08,ATL,DET,1,-1,41.0,25,11,12,6,7,8,0,2,13,2,0,3,2,35,14
2024-11-09,ATL,CHI,0,-12,37.87,16,6,6,2,0,0,1,3,16,0,0,6,2,14,-6
2024-11-15,ATL,WAS,0,12,33.13,18,5,9,4,4,4,0,2,9,0,0,6,3,18,2
2024-11-17,ATL,POR,1,-4,37.92,16,8,10,5,8,9,1,5,8,0,0,6,2,29,-4
2024-11-18,ATL,SAC,1,1,35.72,7,1,2,0,5,5,0,3,19,2,0,5,1,7,15
2024-11-20,ATL,GSW,1,-23,30.33,12,4,6,1,3,4,0,3,11,2,0,3,2,12,-19
2024-11-22,ATL,CHI,1,-14,37.52,18,8,8,1,8,8,0,1,13,4,1,4,2,25,-9
2024-11-25,ATL,DAL,0,-10,35.27,12,5,4,2,6,7,1,2,16,3,0,3,2,18,-1
2024-11-27,ATL,CLE,1,11,36.95,18,6,13,3,5,5,0,4,22,0,0,5,3,20,5
2024-11-29,ATL,CLE,0,16,34.68,12,7,5,2,5,5,0,3,11,0,0,7,4,21,10
2024-11-30,ATL,CHO,1,3,30.8,9,4,6,2,4,6,0,4,5,1,0,6,2,14,-4
2024-12-02,ATL,NOP,0,12,35.83,16,5,9,2,0,0,1,8,15,1,0,5,3,12,20
2024-12-04,ATL,MIL,1,15,35.38,19,6,9,0,5,6,0,4,7,0,0,4,3,17,8
2024-12-06,ATL,LAL,0,2,42.08,25,9,13,5,8,8,0,4,20,2,0,3,1,31,-6
2024-12-08,ATL,DEN,0,-30,35.13,13,6,7,2,1,2,1,4,10,3,0,4,1,15,-5
2024-12-11,ATL,NYK,1,8,36.4,22,8,8,2,4,4,0,5,11,1,0,3,1,22,6
2024-12-14,ATL,MIL,1,-8,39.6,18,9,5,3,14,17,2,7,10,0,1,5,4,35,-4
2024-12-19,ATL,SAS,1,-7,36.65,16,7,6,3,6,8,0,0,16,3,0,5,3,23,-7
2024-12-23,ATL,MIN,0,13,31.3,15,8,7,4,9,12,0,2,7,0,0,5,2,29,9
2024-12-26,ATL,CHI,0,8,38.73,17,8,11,4,7,7,1,2,13,2,0,2,2,27,20
2024-12-28,ATL,MIA,0,10,36.85,13,3,9,2,3,4,0,1,15,1,0,3,0,11,17
2024-12-29,ATL,TOR,1,29,32.4,21,10,13,7,7,7,0,2,10,1,2,5,2,34,39
2025-01-01,ATL,DEN,1,-19,30.27,17,8,10,4,10,12,0,4,9,2,0,4,1,30,-25
