Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,IND,DET,1,6,34.97,18,6,9,1,2,2,1,5,4,3,2,3,2,15,15
2024-10-25,IND,NYK,1,-25,25.85,8,0,7,0,0,0,0,1,5,1,0,1,2,0,-23
2024-10-27,IND,PHI,0,-4,37.3,18,8,9,4,2,5,1,4,2,0,1,3,2,22,-9
2024-10-28,IND,ORL,1,-4,35.07,15,6,9,4,3,4,3,9,10,1,0,1,1,19,3
2024-10-30,IND,BOS,0,3,39.82,19,7,10,2,1,1,0,6,12,2,0,1,5,17,9
2024-11-01,IND,NOP,1,-7,33.4,8,2,6,1,6,6,1,2,11,0,0,2,2,11,-19
2024-11-04,IND,DAL,1,7,35.53,16,10,8,2,3,6,0,4,12,2,1,2,1,25,9
2024-11-06,IND,ORL,0,7,36.65,11,6,5,3,2,2,0,3,4,1,0,1,4,17,6
2024-11-08,IND,CHO,1,-20,34.23,11,2,4,0,2,2,1,7,9,1,1,2,1,6,-21
2024-11-10,IND,NYK,0,11,35.18,18,11,10,4,9,11,0,2,14,2,0,2,1,35,12
2024-11-13,IND,ORL,1,-4,39.57,14,3,8,2,1,1,0,1,11,0,0,4,1,9,5
2024-11-15,IND,MIA,0,-13,28.65,14,7,9,4,0,0,1,2,8,1,0,1,1,18,-25
2024-11-17,IND,MIA,0,9,37.67,13,4,8,3,5,5,1,3,13,0,2,0,2,16,19
2024-11-18,IND,TOR,1,-11,38.82,18,5,9,2,4,4,2,3,4,5,2,1,4,16,-15
2024-11-20,IND,HOU,1,-17,30.02,7,1,5,1,1,1,0,1,8,0,1,2,1,4,-28
2024-11-22,IND,MIL,1,-12,33.9,14,6,10,4,2,2,0,1,9,0,0,1,0,18,-18
2024-11-24,IND,WAS,0,12,34.28,18,7,11,5,2,2,3,4,9,2,0,3,3,21,12
2024-11-25,IND,NOP,0,4,35.57,23,12,18,9,1,1,0,3,13,3,0,2,1,34,16
2024-11-27,IND,POR,0,7,38.85,15,8,10,5,7,7,2,7,10,2,0,3,2,28,17
2024-11-29,IND,DET,0,-24,29.87,13,8,8,3,0,0,0,1,5,0,0,2,0,19,-23
2024-12-01,IND,MEM,1,-15,36.88,10,3,9,2,0,0,1,2,7,1,0,2,0,8,-6
2024-12-03,IND,TOR,1,-11,39.9,16,10,9,4,6,7,1,4,6,1,0,3,2,30,-3
2024-12-04,IND,BRK,1,-9,36.97,13,5,7,1,6,7,0,3,8,2,2,3,1,17,2
2024-12-06,IND,CHI,1,9,38.15,17,9,9,5,0,0,0,4,8,2,0,2,1,23,5
2024-12-08,IND,CHO,0,-4,36.87,10,4,4,0,1,2,0,2,8,0,3,2,1,9,-3
2024-12-13,IND,PHI,1,14,34.53,23,12,15,7,1,1,1,3,11,1,1,2,1,32,21
2024-12-15,IND,NOP,0,15,34.7,14,6,8,4,5,6,0,4,10,3,1,4,1,21,9
2024-12-19,IND,PHO,1,9,37.15,9,4,9,4,1,2,1,4,12,0,1,2,1,13,14
2024-12-22,IND,SAC,1,27,30.8,10,5,9,4,0,0,1,5,8,0,0,1,0,14,15
2024-12-23,IND,GSW,1,6,38.37,11,6,7,2,2,2,0,6,12,2,0,1,0,16,28
2024-12-26,IND,OKC,0,-6,35.28,6,2,2,0,0,0,1,2,8,0,0,1,1,4,-13
2024-12-27,IND,BOS,1,-37,29.63,13,6,8,3,4,4,0,4,9,0,0,2,0,19,-27
2024-12-29,IND,BOS,1,9,36.13,19,11,6,1,8,9,0,6,7,1,0,0,0,31,13
2024-12-31,IND,MIL,0,-8,38.63,13,3,6,1,5,6,2,7,7,1,2,1,2,12,-6
2025-01-02,IND,MIA,1,13,34.68,21,13,13,6,1,3,1,5,15,2,1,0,1,33,26
2025-01-04,IND,PHO,0,18,32.83,19,8,12,5,6,7,1,5,8,2,1,0,0,27,13
2025-01-06,IND,BRK,1,14,31.92,12,5,7,4,9,9,0,2,8,1,1,3,2,23,10
2025-01-08,IND,CHI,0,16,30.2,13,7,3,2,0,0,0,3,13,2,0,1,1,16,25
2025-01-10,IND,GSW,0,12,34.92,10,8,4,2,7,7,0,2,10,3,0,5,1,25,18
2025-01-12,IND,CLE,1,15,18.5,5,1,2,0,0,0,0,1,5,1,1,1,0,2,-14
2025-01-16,IND,DET,1,11,33.95,15,7,6,2,1,1,0,4,8,1,1,0,2,17,10
2025-01-18,IND,PHI,0,13,32.48,11,4,7,1,0,0,1,5,9,0,0,5,2,9,-3
2025-01-23,IND,SAS,0,-30,30.48,11,5,7,3,0,0,0,2,7,0,0,0,0,13,-20
2025-01-25,IND,SAS,1,38,28.45,17,11,9,6,0,0,1,3,4,2,2,1,1,28,15
2025-01-29,IND,DET,0,14,32.28,17,10,9,4,6,9,1,7,8,1,0,1,0,30,15
2025-02-01,IND,ATL,0,5,34.98,12,5,6,3,4,5,0,4,9,2,1,1,2,17,5
2025-02-03,IND,UTA,1,1,34.23,15,6,10,3,3,4,1,3,6,3,2,3,1,18,-4
2025-02-04,IND,POR,1,-23,24.73,3,0,1,0,0,0,0,2,6,1,2,2,3,0,-23
2025-02-06,IND,LAC,1,7,34.12,13,5,7,2,2,2,0,3,8,4,1,1,1,14,7
2025-02-08,IND,LAL,1,-7,35.93,15,7,9,4,1,1,0,2,9,2,1,1,3,19,-9
2025-02-11,IND,NYK,0,-13,32.58,15,7,6,2,0,0,1,5,8,0,0,4,2,16,-11
2025-02-12,IND,WAS,1,4,31.78,18,8,8,4,0,0,0,2,7,1,0,2,1,20,-7
2025-02-20,IND,MEM,0,14,32.35,17,9,11,4,0,0,1,5,9,1,1,1,3,22,8
2025-02-23,IND,LAC,0,18,30.28,14,9,8,4,7,7,0,1,12,3,0,1,0,29,15
