Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-30,BRK,MEM,1,13,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-03,BRK,DET,0,-14,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-11-13,BRK,BOS,0,-25,17.12,6,2,5,2,0,0,0,0,0,0,0,1,0,6,-3
2024-11-17,BRK,NYK,1,-10,1.28,1,1,1,1,0,0,0,1,0,0,0,0,0,3,3
2024-11-25,BRK,GSW,1,8,17.83,5,1,5,1,0,0,1,6,3,1,1,1,2,3,6
2024-11-27,BRK,PHO,1,10,27.8,13,10,10,8,2,3,1,4,2,0,0,1,3,30,6
2024-11-29,BRK,ORL,0,-23,24.5,6,3,4,2,0,0,0,2,1,0,0,1,4,8,-25
2024-12-01,BRK,ORL,0,-8,7.93,1,0,0,0,0,0,0,1,2,0,1,0,0,0,3
2024-12-02,BRK,CHI,1,-26,33.17,12,5,8,3,2,2,2,5,2,2,0,0,3,15,-32
2024-12-16,BRK,CLE,0,-29,17.85,4,1,4,1,0,0,2,3,2,2,0,2,1,3,-9
2024-12-19,BRK,TOR,1,7,14.65,7,3,4,1,0,0,3,4,0,0,0,1,0,7,-4
2024-12-21,BRK,UTA,0,-11,22.43,9,3,7,1,0,0,2,4,3,0,0,0,1,7,-3
2024-12-23,BRK,MIA,1,-15,22.05,7,5,5,4,0,0,1,5,2,1,0,2,1,14,-13
2024-12-26,BRK,MIL,1,6,17.43,4,1,2,0,3,4,0,5,2,0,0,1,1,5,-4
2024-12-27,BRK,SAS,0,-9,19.02,14,6,7,1,0,0,1,6,0,1,0,2,1,13,-9
2024-12-29,BRK,ORL,1,-1,20.25,3,1,1,0,2,2,1,5,1,0,1,1,2,4,13
2025-01-01,BRK,TOR,1,-17,20.0,4,1,2,0,0,0,0,4,4,1,0,0,1,2,3
2025-01-02,BRK,MIL,1,3,14.9,2,0,1,0,0,0,0,0,3,1,0,0,1,0,16
2025-01-04,BRK,PHI,0,-29,29.23,18,6,7,1,3,4,1,5,3,0,0,0,1,16,-19
2025-01-06,BRK,IND,0,-14,30.38,12,6,3,1,2,4,3,5,1,1,0,3,0,15,-11
2025-01-08,BRK,DET,0,-15,32.6,12,4,9,4,0,2,2,10,4,1,0,4,0,12,-17
2025-01-10,BRK,DEN,1,-19,31.8,14,6,9,4,3,3,1,4,2,0,1,2,1,19,-3
2025-01-12,BRK,UTA,1,-1,35.23,13,5,6,1,0,2,3,8,3,1,1,2,2,11,3
2025-01-14,BRK,POR,1,18,19.88,5,2,3,1,0,0,0,1,3,0,0,2,1,5,6
2025-01-15,BRK,LAC,1,-59,36.93,16,3,8,2,0,0,3,4,4,1,0,4,3,8,-56
2025-01-17,BRK,LAL,1,-1,14.35,3,1,2,1,0,0,0,0,1,0,0,2,0,3,-2
2025-01-19,BRK,OKC,1,-26,24.35,12,6,7,3,0,0,1,6,2,0,0,1,0,15,-11
2025-01-21,BRK,NYK,0,-4,24.23,8,5,6,3,0,0,0,7,1,0,0,3,2,13,-11
2025-01-22,BRK,PHO,0,-24,31.4,10,1,5,0,0,0,3,7,2,0,0,2,0,2,-21
2025-01-25,BRK,MIA,0,-9,25.25,5,2,4,1,0,0,2,6,1,0,0,1,1,5,-4
2025-01-27,BRK,SAC,0,-14,24.28,7,3,4,2,0,0,1,2,1,0,0,0,1,8,0
2025-02-04,BRK,HOU,0,2,20.32,6,3,5,2,2,2,0,6,1,0,0,1,1,10,10
2025-02-05,BRK,WAS,0,-17,19.02,5,2,5,2,2,2,1,2,2,0,0,1,3,8,1
2025-02-07,BRK,MIA,0,16,20.7,5,1,4,0,0,0,0,5,1,0,0,3,2,2,9
2025-02-10,BRK,CHO,0,8,21.62,4,1,3,0,2,2,0,3,3,3,0,2,3,4,-1
2025-02-12,BRK,PHI,0,4,14.63,5,1,4,1,0,0,1,3,1,1,0,0,1,3,4
2025-02-20,BRK,CLE,0,-13,16.53,4,3,2,1,0,1,0,1,0,0,0,1,0,7,-2
2025-02-22,BRK,PHI,1,2,13.05,5,2,3,1,0,0,0,1,0,1,0,0,0,5,1
2025-02-24,BRK,WAS,1,-8,23.3,13,4,7,3,4,4,3,5,1,2,0,2,0,15,0
