Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-25,DET,CLE,1,-12,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01,DET,NYK,0,-30,5.5,1,1,0,0,0,0,0,1,1,0,0,1,0,2,0
2024-11-03,DET,BRK,1,14,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-11-13,DET,MIL,1,-7,23.02,8,4,2,1,0,0,2,4,0,1,0,1,2,9,-17
2024-11-15,DET,TOR,1,4,30.25,6,4,1,0,0,1,2,6,2,1,1,0,0,8,18
2024-11-17,DET,WAS,1,20,23.73,2,1,1,0,2,2,0,5,2,2,0,1,3,4,-4
2024-11-21,DET,CHO,1,-2,21.07,2,2,1,1,2,2,2,7,4,1,1,1,1,7,1
2024-11-23,DET,ORL,1,-11,14.52,2,2,1,1,2,2,1,2,1,1,0,2,4,7,-4
2024-11-27,DET,MEM,1,-20,21.83,4,1,2,0,2,2,0,7,2,0,1,2,1,4,-9
2024-11-30,DET,PHI,0,-15,15.58,9,4,1,0,3,3,2,3,0,0,0,0,1,11,-1
2024-12-03,DET,MIL,0,-21,6.23,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
2024-12-12,DET,BOS,1,-24,6.53,1,0,0,0,0,0,0,1,2,1,0,0,1,0,6
2024-12-28,DET,DEN,1,-13,12.0,5,2,2,0,2,2,2,5,4,0,0,0,0,6,12
2025-01-03,DET,CHO,0,4,15.13,3,0,2,0,0,0,0,0,3,2,0,0,1,0,7
2025-01-06,DET,POR,0,3,2.87,1,0,0,0,0,0,0,2,0,0,0,1,1,0,10
2025-01-08,DET,BRK,1,15,6.5,3,1,0,0,0,0,0,0,1,0,0,0,0,2,-7
2025-01-09,DET,GSW,0,-3,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2025-01-27,DET,CLE,1,-19,4.25,2,1,1,1,0,0,0,0,0,0,0,0,0,3,3
2025-01-29,DET,IND,1,-14,1.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
2025-01-31,DET,DAL,0,15,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-02-20,CHO,DEN,1,-14,12.92,4,0,1,0,0,0,1,1,0,0,0,1,1,0,-16
2025-02-22,CHO,POR,1,-53,21.62,10,4,0,0,0,1,2,2,0,0,0,0,1,8,-21
2025-02-24,CHO,SAC,1,-42,11.58,2,1,1,0,2,2,0,1,1,1,0,0,2,4,-13
2025-02-25,CHO,GSW,1,-36,28.03,8,5,4,2,0,0,5,10,0,0,0,3,2,12,-19
