Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-25,MEM,HOU,1,-20,3.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2024-10-26,MEM,ORL,0,13,2.07,2,0,2,0,0,0,0,0,0,0,0,1,0,0,-11
2024-10-30,MEM,BRK,0,-13,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31,MEM,MIL,0,23,2.92,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2024-11-02,MEM,PHI,1,17,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-11-06,MEM,LAL,0,17,1.93,1,0,0,0,2,2,0,0,0,0,0,1,0,2,-1
2024-11-08,MEM,WAS,0,24,4.65,3,1,2,1,0,0,0,2,1,0,0,1,1,3,-1
2024-11-10,MEM,POR,1,45,7.95,3,1,2,0,1,2,0,0,4,0,0,0,0,3,8
2024-11-17,MEM,DEN,0,15,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-25,MEM,POR,0,25,3.72,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2024-11-27,MEM,DET,0,20,3.23,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0
2024-12-01,MEM,IND,0,15,1.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2024-12-08,MEM,WAS,1,28,5.33,2,1,2,1,1,2,0,0,0,1,0,0,0,4,-1
2024-12-13,MEM,BRK,0,16,1.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3
2024-12-29,MEM,OKC,1,-24,11.02,5,4,3,2,0,0,0,3,3,0,0,0,1,10,5
