Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,NOP,CHI,0,12,22.77,8,5,0,0,2,2,3,7,1,1,3,1,2,12,4
2024-10-25,NOP,POR,1,2,22.28,5,2,0,0,4,6,2,6,2,0,2,0,2,8,-11
2024-10-27,NOP,POR,1,-22,20.23,4,2,0,0,1,1,3,3,2,2,2,1,3,5,-1
2024-10-29,NOP,GSW,1,-18,21.82,6,4,0,0,1,5,1,7,3,0,2,2,1,9,-4
2024-10-30,NOP,GSW,1,-15,12.03,5,0,0,0,0,0,2,3,1,0,0,0,0,0,-13
2024-11-01,NOP,IND,0,7,26.17,5,2,0,0,0,0,6,10,0,0,1,0,2,4,8
2024-11-03,NOP,ATL,0,-15,25.92,6,2,0,0,0,0,3,6,3,1,1,1,0,4,-18
2024-11-04,NOP,POR,0,-18,26.53,1,1,0,0,2,2,2,7,3,0,0,0,2,4,-7
2024-11-06,NOP,CLE,0,-9,18.78,8,4,0,0,2,3,3,4,0,0,3,1,1,10,-2
2024-11-08,NOP,ORL,1,-27,19.75,0,0,0,0,0,0,0,1,0,1,1,0,2,0,-30
2024-11-11,NOP,BRK,0,-2,29.52,8,7,0,0,3,4,3,11,2,1,1,0,1,17,-2
2024-11-13,NOP,OKC,1,-18,26.47,5,5,0,0,0,0,4,10,2,0,0,1,0,10,-9
2024-11-15,NOP,DEN,0,7,28.53,6,2,0,0,2,2,6,12,0,1,0,6,1,6,1
2024-11-16,NOP,LAL,0,-5,28.67,5,3,0,0,2,4,4,7,3,2,0,3,3,8,-2
2024-11-19,NOP,DAL,1,-41,22.95,3,1,0,0,1,2,3,9,4,1,1,2,4,3,-21
2024-11-20,NOP,CLE,1,-28,18.73,9,4,0,0,4,4,4,8,0,0,0,0,1,12,-25
2024-11-25,NOP,IND,1,-4,31.2,11,7,0,0,2,6,4,13,0,2,2,0,3,16,26
2024-11-27,NOP,TOR,0,-26,28.0,5,3,0,0,5,8,2,5,1,1,2,2,0,11,-21
2024-11-29,NOP,MEM,1,-11,31.42,13,6,0,0,4,6,6,14,1,1,3,1,4,16,-13
2024-12-01,NOP,NYK,1,-33,20.45,7,5,0,0,1,1,6,8,1,0,1,2,3,11,-8
2024-12-02,NOP,ATL,1,-12,35.23,14,11,0,0,1,4,7,12,0,1,1,4,4,23,-9
2024-12-05,NOP,PHO,0,2,25.05,9,3,0,0,3,5,6,12,0,0,0,0,3,9,0
2024-12-07,NOP,OKC,0,-10,29.05,6,3,0,0,2,2,1,7,0,1,2,0,0,8,-15
2024-12-08,NOP,SAS,1,-5,31.62,13,6,0,0,6,7,9,14,0,1,2,0,4,18,-2
2024-12-12,NOP,SAC,0,-2,30.92,4,3,0,0,1,1,5,11,1,0,1,1,5,7,-6
2024-12-15,NOP,IND,1,-15,34.03,7,4,0,0,1,2,5,14,2,1,1,0,3,9,-14
