Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-04-19,DET,ORL,0,-11,40.3,27,13,8,3,10,11,0,5,4,0,0,3,0,39,-1
2026-04-22,DET,ORL,0,15,37.4,19,11,6,1,4,8,0,6,11,1,1,7,2,27,16
2026-04-25,DET,ORL,1,-8,41.17,23,8,10,3,8,9,2,5,9,0,0,9,3,27,2
2026-04-27,DET,ORL,1,-6,38.93,23,7,11,3,8,10,0,9,6,0,2,8,5,25,-7
2026-04-29,DET,ORL,0,7,43.65,23,13,8,5,14,14,3,4,5,1,0,6,3,45,3
2026-05-01,DET,ORL,1,14,42.03,23,10,4,2,10,12,1,10,3,4,1,4,3,32,7
2026-05-03,DET,ORL,0,22,39.48,18,10,6,4,8,10,0,1,12,0,2,4,4,32,29
2026-05-05,DET,CLE,0,10,41.72,19,6,5,2,9,11,0,3,7,2,0,4,2,23,12
2026-05-07,DET,CLE,0,10,41.9,14,7,6,3,8,8,0,3,10,1,2,5,3,25,13
2026-05-09,DET,CLE,1,-7,38.63,27,10,6,2,5,6,6,10,10,1,0,8,5,27,6
2026-05-11,DET,CLE,1,-9,39.47,16,7,5,2,3,3,0,3,6,1,0,5,3,19,-23
2026-05-13,DET,CLE,0,-4,48.1,27,13,10,6,7,8,1,7,9,2,0,6,4,39,-4
2026-05-15,DET,CLE,1,21,42.02,19,7,10,5,2,2,0,2,8,0,0,7,2,21,13
2026-05-17,DET,CLE,0,-31,36.75,16,5,7,0,3,3,0,4,5,2,0,3,4,13,-32
