Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-04-19,SAS,POR,0,13,4.45,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1
2026-04-21,SAS,POR,0,-3,12.37,5,3,2,1,0,0,1,2,2,0,0,1,2,7,-13
2026-04-24,SAS,POR,1,12,22.63,5,1,4,1,0,0,4,6,4,0,3,0,4,3,17
2026-04-26,SAS,POR,1,21,5.83,3,2,3,2,0,0,1,1,1,0,0,1,1,6,-3
2026-04-28,SAS,POR,0,19,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-06,SAS,MIN,0,38,15.57,3,1,2,0,0,2,1,2,2,0,0,1,5,2,18
2026-05-08,SAS,MIN,1,7,7.65,2,2,2,2,0,0,0,0,0,0,0,0,2,6,7
2026-05-10,SAS,MIN,1,-5,11.97,2,1,1,0,0,0,0,1,0,0,0,3,3,2,-2
2026-05-12,SAS,MIN,0,29,12.47,1,1,1,1,0,0,0,4,2,0,0,1,1,3,9
2026-05-15,SAS,MIN,1,30,13.02,3,1,1,0,1,2,1,6,1,0,0,0,0,3,16
2026-05-18,SAS,OKC,1,7,13.73,2,1,2,1,0,0,0,2,1,0,0,0,2,3,10
