Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-04-19,SAS,POR,0,13,11.47,2,0,1,0,2,2,1,1,0,0,0,0,0,2,0
2026-04-21,SAS,POR,0,-3,15.22,3,1,1,0,2,2,0,1,0,0,0,0,0,4,13
2026-04-24,SAS,POR,1,12,6.42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2026-04-26,SAS,POR,1,21,10.55,2,1,1,0,0,0,1,1,1,0,0,0,1,2,8
2026-04-28,SAS,POR,0,19,13.0,3,1,2,0,1,2,1,1,0,0,0,0,1,3,0
2026-05-04,SAS,MIN,0,-2,9.88,1,1,0,0,0,0,3,4,0,0,1,0,0,2,4
2026-05-06,SAS,MIN,0,38,15.45,7,4,5,2,2,2,1,2,0,0,0,1,3,12,18
2026-05-08,SAS,MIN,1,7,6.17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
2026-05-10,SAS,MIN,1,-5,9.13,2,1,0,0,0,0,0,1,0,0,0,0,0,2,-5
2026-05-12,SAS,MIN,0,29,3.58,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2026-05-15,SAS,MIN,1,30,6.97,3,1,3,1,0,0,3,4,2,0,0,0,0,3,7
2026-05-18,SAS,OKC,1,7,5.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
2026-05-20,SAS,OKC,1,-9,12.18,2,1,2,1,2,2,1,3,0,0,0,2,1,5,-1
2026-05-22,SAS,OKC,0,-15,3.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2026-05-24,SAS,OKC,0,21,16.13,4,0,2,0,5,6,2,3,0,1,0,1,1,5,13
2026-05-26,SAS,OKC,1,-13,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2026-05-28,SAS,OKC,0,27,13.38,4,2,4,2,0,0,1,1,0,0,0,1,0,6,5
2026-05-30,SAS,OKC,1,8,3.42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-5
2026-06-03,SAS,NYK,0,-10,12.13,2,0,2,0,0,1,1,2,1,0,0,0,1,0,-2
2026-06-05,SAS,NYK,0,-1,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
