Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-04-19,SAS,POR,0,13,20.1,4,1,2,1,0,0,3,7,1,1,0,2,2,3,2
2026-04-21,SAS,POR,0,-3,17.77,7,3,3,1,0,0,0,4,1,2,0,1,3,7,7
2026-04-24,SAS,POR,1,12,20.9,7,1,1,1,2,2,1,5,3,1,1,2,2,5,4
2026-04-26,SAS,POR,1,21,17.32,5,3,2,1,2,2,0,1,1,1,0,0,1,9,-5
2026-04-28,SAS,POR,0,19,18.0,8,3,2,1,0,2,2,5,1,0,0,2,1,7,2
2026-05-04,SAS,MIN,0,-2,23.52,10,5,2,0,1,2,0,2,1,0,0,0,2,11,-13
2026-05-06,SAS,MIN,0,38,19.07,8,2,1,0,5,8,2,10,1,0,1,1,4,9,28
2026-05-08,SAS,MIN,1,7,18.82,7,3,4,2,3,4,0,2,1,1,0,0,1,11,-11
2026-05-10,SAS,MIN,1,-5,16.6,4,2,0,0,0,1,1,3,1,1,0,3,1,4,-5
2026-05-12,SAS,MIN,0,29,22.3,11,8,3,1,4,5,2,2,0,2,1,2,3,21,17
2026-05-15,SAS,MIN,1,30,10.0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,-8
2026-05-18,SAS,OKC,1,7,21.63,9,4,6,3,2,2,0,0,0,0,0,1,1,13,3
