Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-04-19,SAS,POR,0,13,32.83,21,13,6,5,4,5,0,5,1,0,2,4,2,35,4
2026-04-21,SAS,POR,0,-3,11.68,3,1,1,0,3,4,2,4,1,0,1,2,1,5,-7
2026-04-26,SAS,POR,1,21,34.32,17,9,4,1,8,8,1,12,3,4,7,4,3,27,28
2026-04-28,SAS,POR,0,19,33.6,7,5,2,1,6,6,0,14,3,0,6,1,3,17,20
2026-05-04,SAS,MIN,0,-2,39.87,17,5,8,0,1,2,2,15,5,0,12,3,3,11,5
2026-05-06,SAS,MIN,0,38,25.9,15,7,7,2,3,3,4,15,2,1,2,2,1,19,12
2026-05-08,SAS,MIN,1,7,36.97,18,13,5,3,10,12,1,15,1,1,5,1,5,39,16
2026-05-10,SAS,MIN,1,-5,12.48,5,2,1,0,0,0,1,4,1,0,0,2,3,4,-1
2026-05-12,SAS,MIN,0,29,32.63,16,9,5,2,7,9,2,17,5,0,3,4,1,27,24
2026-05-15,SAS,MIN,1,30,27.37,11,6,2,0,7,9,1,6,2,0,3,4,3,19,25
