Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,DEN,GSW,1,,38.65,21,17,11,10,6,6,0,8,2,0,1,2,1,50,-1
2025-10-25,DEN,PHO,0,22,25.2,11,5,6,1,6,6,1,2,1,3,0,0,0,17,17
2025-10-27,DEN,MIN,1,13,32.82,10,3,2,0,3,3,0,3,3,0,0,2,3,9,8
2025-10-29,DEN,NOP,0,34,22.52,5,2,4,1,4,4,0,9,3,0,0,2,2,9,19
2025-10-31,DEN,POR,1,-2,31.67,11,5,2,0,4,4,2,5,1,1,0,3,3,14,4
2025-11-03,DEN,SAC,0,6,30.25,11,6,6,3,5,6,3,7,1,1,0,1,2,20,5
2025-11-05,DEN,MIA,0,10,30.83,16,9,5,1,5,6,1,6,1,1,0,3,1,24,8
2025-11-07,DEN,GSW,0,25,23.97,12,6,5,3,3,4,0,3,1,1,0,0,0,18,4
2025-11-11,DEN,SAC,1,14,30.15,11,5,4,2,5,7,4,7,3,0,0,2,2,17,18
2025-11-12,DEN,LAC,1,14,30.78,12,6,6,2,4,4,2,5,0,1,0,1,0,18,28
2025-11-15,DEN,MIN,1,11,35.72,15,8,6,4,3,4,1,10,1,2,2,1,5,23,33
2025-11-17,DEN,CHI,0,-3,32.42,18,10,5,1,3,4,5,10,0,0,0,0,5,24,18
2025-11-21,DEN,HOU,1,3,03.35,1,0,1,0,1,2,0,2,0,0,0,1,0,1,4
2026-01-04,DEN,BRK,1,-12,21.23,15,8,2,0,4,6,3,6,2,0,0,3,2,20,1
2026-01-07,DEN,BOS,1,4,23.43,12,5,6,2,0,0,1,6,2,0,0,0,0,12,2
2026-01-09,DEN,ATL,0,-23,24.47,11,5,5,1,3,4,0,9,5,0,0,1,1,14,-19
2026-01-11,DEN,MIL,0,4,31.7,16,7,4,2,7,9,2,6,4,0,0,0,1,23,-11
2026-01-13,DEN,NOP,1,6,29.58,15,6,5,1,3,5,3,7,1,2,0,0,3,16,8
2026-01-14,DEN,DAL,1,9,29.92,12,8,5,3,3,5,1,6,3,0,1,0,2,22,3
2026-01-17,DEN,WAS,0,6,32.0,8,3,3,1,1,2,0,10,11,1,0,1,1,8,14
2026-01-20,DEN,LAL,0,-8,31.85,9,6,4,2,4,8,1,4,5,0,0,0,1,18,-8
2026-01-22,DEN,WAS,1,10,33.42,12,5,6,1,5,5,0,5,5,1,0,0,1,16,23
2026-01-23,DEN,MIL,1,2,16.1,9,4,2,1,4,5,0,6,3,2,0,1,2,13,12
2026-03-06,DEN,NYK,0,-39,21.47,7,1,3,0,1,2,2,3,3,0,0,0,0,3,-7
2026-03-09,DEN,OKC,1,-3,28.48,14,6,4,2,9,10,4,10,3,1,0,1,2,23,14
2026-03-11,DEN,HOU,0,36,22.48,3,0,2,0,0,0,1,4,1,0,1,0,0,0,17
