Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,IND,OKC,0,,26.77,7,2,3,1,0,0,0,7,0,0,0,1,6,5,-4
2025-10-25,IND,MEM,1,-25,31.17,11,5,6,4,1,2,0,1,1,0,1,0,2,15,-10
2025-10-26,IND,MIN,1,-4,35.35,17,6,12,5,1,3,4,8,2,0,0,0,1,18,7
2025-10-29,IND,DAL,1,-2,36.92,16,2,9,1,0,2,2,3,1,0,1,1,2,5,-4
2025-10-31,IND,ATL,0,-20,25.17,11,3,8,2,4,5,0,2,1,1,0,0,1,12,-17
2025-11-01,IND,GSW,0,5,35.13,19,10,11,5,6,6,1,6,1,0,0,1,2,31,13
2025-11-03,IND,MIL,0,-2,33.77,16,5,9,2,5,6,3,7,1,1,0,1,3,17,-9
2025-11-05,IND,BRK,0,-9,32.15,17,6,9,3,0,1,5,7,2,1,0,3,2,15,-6
2025-11-08,IND,DEN,1,-17,26.2,10,7,4,3,8,8,1,1,0,4,0,1,3,25,1
2025-11-11,IND,UTA,1,-24,31.88,14,5,9,4,3,3,1,4,7,1,1,0,3,17,-10
2025-11-13,IND,PHO,1,-35,20.05,9,3,3,1,3,3,0,3,1,1,0,0,2,10,-4
2025-12-27,IND,MIA,1,-26,19.2,9,3,8,3,0,0,1,5,1,0,2,1,3,9,-26
2025-12-29,IND,HOU,1,-7,23.67,8,5,6,4,0,0,1,3,3,0,1,1,1,14,-10
2025-12-31,IND,ORL,0,-2,31.6,11,3,6,2,1,2,3,10,0,3,1,0,4,9,10
2026-01-02,IND,SAS,0,-10,29.08,6,3,2,1,2,2,0,3,3,0,1,3,6,9,2
2026-01-04,IND,ORL,1,-8,34.13,16,8,11,5,4,4,0,4,8,0,2,4,4,25,-8
2026-01-06,IND,CLE,0,-4,33.1,17,5,7,3,1,2,2,8,4,1,0,2,1,14,8
2026-01-08,IND,CHO,1,2,35.22,12,5,7,3,3,3,1,5,2,1,1,2,5,16,17
2026-01-10,IND,MIA,0,24,27.22,12,4,5,1,3,4,4,9,2,0,0,1,1,12,16
2026-01-12,IND,BOS,0,2,32.38,9,2,6,2,0,0,0,5,2,0,0,1,1,6,-8
2026-01-14,IND,TOR,0,-14,30.62,12,1,8,0,4,4,3,5,2,1,1,4,2,6,-25
2026-01-16,IND,NOP,0,8,33.0,13,5,8,2,0,1,1,4,1,1,0,0,4,12,-4
2026-01-19,IND,PHI,1,-9,32.35,9,1,6,0,5,5,3,11,1,1,2,6,4,7,-10
2026-01-21,IND,BOS,1,-15,28.45,9,3,4,0,0,1,0,3,4,0,0,1,3,6,-28
2026-01-23,IND,OKC,1,3,36.12,14,7,5,3,0,0,2,5,5,0,0,2,5,17,0
2026-01-26,IND,ATL,1,-16,29.22,11,6,6,3,3,4,0,2,4,0,0,3,1,18,3
2026-01-28,IND,CHI,0,3,33.97,9,5,5,3,1,1,0,4,4,1,1,0,2,14,13
2026-01-31,IND,ATL,0,5,33.5,10,8,4,3,4,4,0,1,1,0,0,2,4,23,-1
2026-02-02,IND,HOU,0,-4,32.53,13,6,7,3,2,3,2,6,2,0,1,1,1,17,-6
2026-02-06,IND,MIL,1,-6,26.85,9,4,6,2,2,2,0,1,1,2,0,2,1,12,9
2026-02-08,IND,TOR,1,-18,23.47,4,2,2,1,2,3,0,1,1,1,0,0,1,7,-15
2026-02-10,IND,NYK,1,,36.5,10,4,3,1,2,2,2,8,0,0,2,2,5,11,0
2026-02-19,IND,WAS,1,-7,14.75,3,0,2,0,3,3,0,2,1,0,0,0,2,3,-4
2026-03-04,IND,LAC,1,-23,19.72,8,1,4,0,0,1,0,3,2,0,0,1,1,2,-19
2026-03-06,IND,LAL,1,-11,22.82,10,3,6,1,0,0,0,3,1,0,2,1,3,7,-4
2026-03-08,IND,POR,1,-20,24.73,6,4,3,1,0,0,0,1,2,1,0,1,3,9,-4
2026-03-10,IND,SAC,1,-5,34.6,22,10,7,2,7,7,2,4,3,0,1,0,2,29,6
2026-03-13,IND,NYK,0,-9,34.43,13,5,5,1,1,1,0,2,2,1,0,1,4,12,-17
2026-03-15,IND,MIL,1,-11,28.82,14,10,10,7,5,5,1,2,1,0,1,3,1,32,-7
2026-03-17,IND,NYK,1,-26,24.33,8,5,6,4,0,0,0,1,0,0,0,0,1,14,-14
2026-03-18,IND,POR,0,-8,26.33,13,6,5,1,2,2,2,3,1,1,0,1,4,15,-16
2026-03-21,IND,SAS,1,-15,24.82,7,2,3,1,0,0,0,2,0,0,0,0,5,5,-22
2026-03-23,IND,ORL,1,2,35.35,11,6,8,5,2,2,0,2,2,0,1,1,2,19,6
2026-03-25,IND,LAL,0,-7,32.12,13,6,8,2,0,2,0,3,1,1,0,3,5,14,11
2026-03-27,IND,LAC,0,-1,35.4,14,10,5,4,2,2,1,7,2,1,0,5,5,26,-11
