Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,ORL,MIA,0,4,23.32,9,3,2,1,0,0,0,3,3,0,1,0,2,7,13
2025-10-24,ORL,ATL,0,-4,21.05,4,3,0,0,2,5,0,3,2,1,0,4,4,8,2
2025-10-25,ORL,CHI,0,-12,29.73,9,6,3,1,6,6,1,5,1,1,1,5,3,19,4
2025-10-27,ORL,PHI,1,-12,29.83,10,5,3,1,3,7,1,3,2,1,1,3,2,14,-4
2025-10-29,ORL,DET,1,-19,24.02,10,3,6,1,3,4,1,4,1,1,0,2,2,10,-28
2025-10-30,ORL,CHO,1,16,30.63,13,8,6,3,1,1,1,1,2,2,2,3,1,20,8
2025-11-01,ORL,WAS,1,31,24.58,6,3,2,0,2,2,0,2,5,0,1,3,1,8,1
2025-11-04,ORL,ATL,1,-15,26.15,7,2,4,1,2,2,1,4,3,1,1,1,2,7,-12
2025-11-07,ORL,BOS,0,13,32.63,11,5,5,2,1,2,1,4,4,4,1,1,3,13,6
2025-11-09,ORL,BOS,0,-4,19.75,6,2,3,0,0,0,0,3,0,1,0,1,2,4,-25
2025-11-10,ORL,POR,0,3,32.42,8,2,3,1,3,4,0,4,2,1,0,2,5,8,-10
2025-11-12,ORL,NYK,1,17,23.15,11,7,5,3,0,0,1,3,3,2,1,2,2,17,3
2025-11-14,ORL,BRK,0,7,16.57,4,1,1,0,0,0,0,0,2,0,0,1,1,2,-11
2025-11-16,ORL,HOU,1,,35.77,14,7,5,1,3,5,0,3,4,1,1,2,5,18,2
2025-11-18,ORL,GSW,0,8,32.75,13,8,3,0,5,7,0,4,2,2,0,1,3,21,18
2025-11-20,ORL,LAC,0,28,29.32,9,4,3,1,3,4,1,4,4,4,0,2,3,12,16
2025-11-22,ORL,NYK,0,12,29.15,8,4,2,1,2,4,0,1,4,3,1,1,4,11,21
2025-11-23,ORL,BOS,1,-9,27.5,13,4,4,2,4,5,2,3,5,1,0,2,3,14,-23
2025-11-25,ORL,PHI,1,41,27.95,17,12,6,4,3,4,0,1,3,1,0,3,2,31,31
2025-11-28,ORL,DET,1,3,31.53,17,6,4,1,3,6,0,4,4,3,1,3,2,16,27
2025-12-01,ORL,CHI,0,5,33.83,15,8,5,2,4,6,2,9,3,0,2,1,0,22,25
2025-12-03,ORL,SAS,0,-2,27.58,10,2,2,0,3,4,1,7,5,0,0,2,2,7,-2
2025-12-05,ORL,MIA,0,1,31.5,9,2,2,0,9,12,1,8,6,2,0,2,2,13,4
2025-12-07,ORL,NYK,1,-6,30.48,16,6,7,1,1,1,2,11,4,0,1,4,2,14,-5
2025-12-09,ORL,MIA,0,9,34.05,15,5,2,0,0,0,1,3,7,1,1,2,3,10,-4
2025-12-13,ORL,NYK,0,-12,36.55,15,5,6,1,1,3,0,8,4,1,2,4,3,12,-3
2025-12-18,ORL,DEN,1,-11,37.42,18,8,6,2,4,6,2,2,3,2,0,3,4,22,-5
2025-12-20,ORL,UTA,1,,39.57,12,6,4,1,7,8,0,6,5,0,0,1,4,20,-3
