Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,NYK,CLE,0,8,17.75,2,1,0,0,0,0,1,5,2,0,1,1,3,2,-4
2025-10-26,NYK,MIA,1,-8,10.37,2,0,0,0,0,0,1,2,1,0,0,0,2,0,1
2025-10-28,NYK,MIL,1,-10,12.05,0,0,0,0,0,0,2,3,1,1,0,1,1,0,-8
2025-11-03,NYK,WAS,0,17,03.62,1,0,0,0,0,0,2,4,1,0,0,0,0,0,-6
2025-11-05,NYK,MIN,0,23,02.43,2,2,0,0,0,0,1,1,0,0,0,0,0,4,1
2025-11-09,NYK,BRK,0,36,08.08,1,1,0,0,0,0,0,2,0,0,1,3,3,2,-1
2025-11-12,NYK,ORL,0,-17,01.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-11-14,NYK,MIA,0,8,00.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-22,NYK,ORL,1,-12,02.73,0,0,0,0,1,2,1,2,0,0,0,0,0,1,1
2025-11-24,NYK,BRK,1,13,12.53,0,0,0,0,0,2,2,4,0,0,0,0,0,0,-7
2025-11-26,NYK,CHO,1,28,02.28,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2
2025-11-30,NYK,TOR,0,22,03.62,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2
2025-12-03,NYK,CHO,0,15,12.6,0,0,0,0,0,0,2,2,0,0,2,2,6,0,6
2025-12-05,NYK,UTA,0,34,12.0,2,2,0,0,0,0,0,4,0,0,0,0,3,4,-4
2025-12-07,NYK,ORL,0,6,22.68,2,1,0,0,4,4,2,7,2,1,3,1,3,6,2
2025-12-09,NYK,TOR,1,16,01.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-18,NYK,IND,1,1,26.93,3,1,0,0,2,4,2,5,3,1,2,0,4,4,0
2025-12-23,NYK,MIN,1,-11,11.75,3,1,0,0,0,0,3,3,0,0,0,1,3,2,-1
2025-12-25,NYK,CLE,0,2,04.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5
2025-12-29,NYK,NOP,1,5,11.67,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-5
2025-12-31,NYK,SAS,1,-2,13.7,4,3,0,0,0,0,3,6,1,1,1,1,3,6,13
2026-01-02,NYK,ATL,0,-12,28.37,4,2,0,0,4,4,6,16,4,1,4,1,2,8,2
2026-01-03,NYK,PHI,0,-11,04.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2026-01-05,NYK,DET,1,-31,08.93,3,1,1,0,0,0,0,0,1,0,0,1,0,2,-3
2026-01-07,NYK,LAC,0,12,01.3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2026-01-14,NYK,SAC,1,-11,02.57,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3
2026-01-15,NYK,GSW,1,-13,09.65,0,0,0,0,1,2,0,3,0,0,1,0,0,1,-3
2026-01-19,NYK,DAL,0,-17,02.68,0,0,0,0,1,2,0,1,0,0,0,1,0,1,1
2026-01-21,NYK,BRK,0,54,10.98,2,1,0,0,0,0,0,5,0,0,1,0,1,2,24
2026-01-24,NYK,PHI,1,3,04.1,1,1,0,0,0,0,1,3,0,0,1,0,1,2,-3
2026-01-28,NYK,TOR,1,27,07.82,0,0,0,0,2,2,2,5,0,0,0,1,2,2,11
2026-01-30,NYK,POR,0,30,04.08,1,1,0,0,0,0,1,2,0,0,0,1,2,2,1
2026-02-01,NYK,LAL,0,12,00.78,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
2026-02-03,NYK,WAS,1,31,21.62,6,5,2,1,1,1,1,9,1,0,2,2,5,12,1
2026-02-04,NYK,DEN,0,,03.67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-8
2026-02-06,NYK,DET,1,-38,22.0,4,2,0,0,2,2,2,7,1,0,0,0,0,6,-22
2026-02-08,NYK,BOS,1,22,03.82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2026-02-10,NYK,IND,0,,20.92,4,3,0,0,1,1,2,5,1,0,1,0,2,7,-7
2026-02-11,NYK,PHI,1,49,09.55,1,1,0,0,0,0,0,4,1,0,0,1,1,2,10
2026-02-22,NYK,CHI,1,6,15.1,3,1,0,0,2,2,1,5,0,2,1,0,2,4,-6
2026-02-24,NYK,CLE,1,-15,02.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-02-27,NYK,MIL,1,29,06.22,1,0,0,0,0,0,0,3,1,0,0,1,0,0,-3
2026-03-01,NYK,SAS,0,25,02.42,1,1,0,0,0,0,1,2,0,0,0,0,0,2,2
2026-03-03,NYK,TOR,1,16,00.98,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2
2026-03-04,NYK,OKC,0,-3,09.0,0,0,0,0,0,0,1,3,0,0,1,3,2,0,7
2026-03-06,NYK,DEN,1,39,06.38,1,1,0,0,0,0,0,0,0,1,0,1,1,2,13
2026-03-09,NYK,LAC,1,-8,12.42,1,0,0,0,0,0,2,3,1,0,0,0,0,0,4
2026-03-13,NYK,IND,1,9,13.52,0,0,0,0,0,0,0,1,1,0,0,0,3,0,-8
2026-03-22,NYK,WAS,0,32,03.45,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6
2026-03-31,NYK,HOU,1,-17,01.78,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2
