Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MIA,ORL,1,-4,34.2,13,4,5,1,6,7,3,12,2,0,0,4,3,15,-2
2025-10-24,MIA,MEM,1,32,28.35,19,8,8,4,4,4,1,5,4,1,0,1,2,24,25
2025-10-26,MIA,NYK,0,8,38.32,15,5,5,1,8,8,1,13,3,1,0,6,1,19,10
2025-10-28,MIA,CHO,0,27,30.27,16,10,5,3,3,4,1,6,2,0,0,1,2,26,29
2025-10-30,MIA,SAS,1,-6,37.17,27,12,13,4,3,4,1,10,3,1,1,2,2,31,7
2025-11-02,MIA,LAL,1,-10,36.33,11,6,5,1,4,4,1,8,5,3,1,0,1,17,-13
2025-11-03,MIA,LAC,1,1,30.22,18,10,4,2,3,5,0,10,4,2,0,2,1,25,2
2025-11-05,MIA,DEN,1,-10,08.2,5,1,2,0,0,0,0,1,0,0,0,0,1,2,4
2025-11-19,MIA,GSW,0,14,28.8,13,7,4,3,3,3,1,7,3,1,2,1,1,20,15
2025-11-21,MIA,CHI,1,36,29.47,11,4,5,2,8,10,1,7,5,0,3,1,3,18,24
2025-11-23,MIA,PHI,1,10,32.53,14,7,4,1,3,4,3,13,1,1,0,2,1,18,4
2025-11-24,MIA,DAL,0,4,29.33,13,5,3,0,7,11,3,6,1,1,2,2,1,17,-16
2025-11-26,MIA,MIL,0,3,28.62,16,7,5,1,2,2,0,11,2,0,1,1,0,17,-11
2025-11-29,MIA,DET,0,-3,33.2,9,5,2,1,4,6,2,10,1,2,1,3,1,15,14
2025-12-01,MIA,LAC,0,17,31.63,17,10,8,5,2,2,3,14,3,2,2,1,0,27,33
2025-12-03,MIA,DAL,1,-10,28.4,19,10,6,1,0,0,1,7,1,1,0,1,1,21,-6
2025-12-05,MIA,ORL,1,-1,39.52,15,9,4,2,4,6,2,15,3,2,2,5,2,24,3
2025-12-06,MIA,SAC,0,-16,24.58,9,4,3,0,1,2,2,7,3,0,0,0,0,9,-17
2025-12-09,MIA,ORL,1,-9,35.55,14,7,3,0,5,6,1,8,2,1,3,0,1,19,6
2025-12-15,MIA,TOR,0,-10,33.02,13,7,3,1,5,8,0,10,2,1,0,2,2,20,-5
2025-12-18,MIA,BRK,1,11,31.07,13,4,2,0,0,2,2,17,1,1,3,3,5,8,12
2025-12-19,MIA,BOS,1,-13,36.12,13,6,1,0,4,6,4,10,4,1,0,3,5,16,-15
2025-12-21,MIA,NYK,1,-7,33.57,11,4,3,0,6,7,3,9,0,0,0,3,3,14,-5
2025-12-23,MIA,TOR,0,-21,34.13,11,4,2,0,1,3,1,12,3,2,0,1,2,9,-16
2025-12-29,MIA,DEN,0,24,21.17,10,5,2,1,2,2,3,10,4,1,0,2,3,13,3
2026-01-01,MIA,DET,1,6,32.88,14,5,2,1,4,4,3,14,0,2,1,1,2,15,17
2026-01-03,MIA,MIN,0,-10,34.22,13,5,3,1,1,2,2,9,4,0,1,4,2,12,-9
2026-01-04,MIA,NOP,0,19,28.78,14,5,3,1,1,1,1,6,6,1,1,1,1,12,23
2026-01-06,MIA,MIN,1,-28,28.47,11,3,2,1,0,0,2,11,3,0,0,1,0,7,-6
2026-01-10,MIA,IND,1,-24,24.8,12,5,2,0,3,3,2,9,2,0,0,2,1,13,-23
