Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-02-12,UTA,POR,0,-16,24.75,7,4,6,3,0,0,0,1,1,0,0,1,5,11,0
2026-02-20,UTA,MEM,1,-9,16.07,6,5,3,3,0,0,1,4,0,0,0,0,1,13,-14
2026-02-26,UTA,NOP,0,-11,18.0,5,1,4,0,0,1,0,0,1,0,1,0,2,2,3
2026-02-28,UTA,NOP,0,-10,16.12,6,3,3,2,0,0,2,5,0,0,0,0,2,8,-6
2026-03-04,UTA,PHI,1,-4,19.0,6,4,5,3,0,0,0,1,0,0,0,0,1,11,1
2026-03-05,UTA,WAS,1,10,21.9,8,3,5,2,2,3,2,4,0,0,0,0,1,10,0
2026-03-07,UTA,MIL,1,-14,22.92,9,3,7,2,0,0,2,2,3,0,0,0,0,8,3
2026-03-09,UTA,GSW,0,3,27.83,9,4,9,4,0,0,0,2,1,0,0,1,4,12,-7
2026-03-15,UTA,SAC,1,-5,15.5,4,2,3,2,1,2,0,2,1,1,0,0,0,7,1
2026-03-19,UTA,MIL,0,32,20.4,9,5,7,4,0,0,1,3,1,0,0,0,4,14,24
2026-03-25,UTA,WAS,0,-23,11.07,8,6,5,4,5,6,0,0,1,0,1,0,1,21,15
2026-04-07,UTA,NOP,1,-19,11.37,7,3,5,2,2,2,0,1,3,1,0,1,0,10,14
2026-04-10,UTA,MEM,0,46,34.92,19,12,9,4,2,2,0,2,2,2,0,2,0,30,19
2026-04-12,UTA,LAL,1,-24,25.6,12,4,8,2,0,0,3,6,2,1,0,0,3,10,-8
