Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,TOR,ATL,1,20,26.87,16,7,2,0,2,3,2,9,3,2,0,5,3,16,14
2025-10-24,TOR,MIL,0,-6,37.35,20,10,7,3,6,7,1,6,3,0,1,4,1,29,-9
2025-10-26,TOR,DAL,1,-10,31.83,16,10,3,2,0,0,0,6,3,2,0,3,4,22,-15
2025-10-27,TOR,SAS,1,-18,32.17,11,5,3,0,4,4,0,3,5,0,0,0,3,14,-21
2025-10-29,TOR,HOU,0,-18,33.43,16,11,7,5,2,2,0,2,4,1,1,4,4,29,-17
2025-10-31,TOR,CLE,1,11,35.1,15,7,3,0,6,7,1,8,5,2,0,2,3,20,7
2025-11-02,TOR,MEM,0,13,32.97,15,10,3,1,5,6,0,7,4,0,1,4,3,26,4
2025-11-04,TOR,MIL,0,28,30.82,12,6,2,0,1,1,0,8,4,0,2,2,3,13,17
2025-11-07,TOR,ATL,1,12,34.73,19,7,8,2,4,4,1,6,4,1,1,2,3,20,17
2025-11-08,TOR,PHI,1,-10,37.43,17,7,3,0,7,7,2,8,5,0,0,1,3,21,-11
2025-11-11,TOR,BRK,1,10,32.7,17,8,6,1,8,9,0,5,4,1,1,0,1,25,-1
2025-11-13,TOR,CLE,1,13,35.32,15,5,6,0,1,1,0,5,4,0,1,3,1,11,5
2025-11-15,TOR,IND,1,18,29.9,12,6,2,0,7,9,1,5,2,3,0,2,1,19,15
2025-11-17,TOR,CHO,0,2,37.48,21,9,6,3,6,7,2,6,3,2,3,5,0,27,2
2025-11-19,TOR,PHI,1,9,31.15,10,7,2,2,6,7,0,0,5,0,0,4,5,22,-1
2025-11-21,TOR,WAS,0,30,29.88,12,6,3,0,12,13,0,8,6,2,1,4,1,24,25
2025-11-23,TOR,BRK,0,10,35.75,18,6,5,2,0,0,1,6,4,2,0,3,1,14,13
2025-11-24,TOR,CLE,0,11,37.23,30,15,11,5,2,5,0,7,2,1,0,4,1,37,11
2025-11-26,TOR,IND,0,2,38.2,23,11,4,1,3,5,1,8,0,2,1,3,1,26,12
2025-11-29,TOR,CHO,1,,39.92,26,10,5,1,1,2,1,6,4,0,0,3,2,22,-11
2025-11-30,TOR,NYK,1,-22,32.1,11,4,5,2,4,7,0,1,4,0,0,5,1,14,-22
