Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-24,LAL,MIN,0,18,03.23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-5
2025-10-27,LAL,POR,0,-14,19.68,2,0,0,0,0,0,1,3,3,1,1,3,3,0,-2
2025-10-29,LAL,MIN,1,1,04.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
2025-11-02,LAL,MIA,0,10,18.05,4,1,2,0,0,0,0,0,2,3,0,0,3,2,1
2025-11-03,LAL,POR,1,8,19.48,4,1,2,1,2,2,1,1,6,1,0,0,1,5,0
2025-11-05,LAL,SAS,0,2,05.17,3,1,0,0,0,0,0,1,0,0,0,0,2,2,-1
2025-11-08,LAL,ATL,1,-20,18.18,6,4,2,1,0,0,1,2,2,1,0,1,1,9,4
2025-11-12,LAL,OKC,1,-29,08.3,4,0,2,0,0,0,0,1,2,1,0,0,0,0,6
2025-11-15,LAL,MIL,1,24,09.9,2,0,2,0,0,0,1,1,1,1,0,0,0,0,-6
2025-11-18,LAL,UTA,0,14,03.55,1,1,1,1,0,0,0,0,2,0,0,3,1,3,-7
2025-11-25,LAL,LAC,0,17,01.2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1
2025-12-01,LAL,PHO,0,-17,05.73,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
2025-12-05,LAL,BOS,1,-21,06.63,3,2,2,1,0,0,0,0,1,1,0,2,0,5,2
2025-12-10,LAL,SAS,0,-13,01.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-23,LAL,PHO,1,-24,09.83,2,0,2,0,0,0,0,1,1,0,0,1,0,0,5
2025-12-25,LAL,HOU,0,-23,03.15,1,1,1,1,0,0,0,0,0,0,0,0,0,3,-1
2025-12-28,LAL,SAC,0,24,04.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2025-12-30,LAL,DET,0,-22,04.15,1,0,1,0,0,0,0,0,2,0,0,0,0,0,4
2026-01-07,LAL,SAS,1,-16,00.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-12,LAL,SAC,1,-12,01.88,2,2,2,2,0,0,0,0,0,0,0,0,0,6,4
2026-01-13,LAL,ATL,0,25,03.72,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-15,LAL,CHO,0,-18,01.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2026-01-17,LAL,POR,1,-16,07.85,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2026-01-18,LAL,TOR,0,17,02.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2026-01-28,LAL,CLE,1,-30,08.38,3,3,2,2,0,0,0,2,1,1,0,0,0,8,-1
2026-01-30,LAL,WAS,1,31,05.48,3,1,1,0,2,3,0,0,1,0,0,0,0,4,4
2026-02-03,LAL,BRK,1,16,04.6,3,2,0,0,0,0,0,0,1,1,0,0,0,4,-9
2026-02-10,LAL,SAS,0,-28,25.37,10,5,2,2,0,0,0,3,6,0,1,2,3,12,-6
2026-02-12,LAL,DAL,0,20,01.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,LAL,SAC,0,24,06.33,3,1,2,1,0,0,0,0,2,0,0,0,0,3,-5
2026-03-06,LAL,IND,0,11,04.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2026-03-10,LAL,MIN,0,14,01.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2
2026-03-25,LAL,IND,1,7,13.37,4,2,1,0,0,0,0,1,1,2,1,0,3,4,4
2026-03-27,LAL,BRK,0,17,04.43,2,1,1,1,0,0,0,0,0,0,0,0,0,3,-5
2026-03-30,LAL,WAS,0,19,25.65,10,2,5,0,2,2,0,1,1,1,0,2,2,6,4
2026-03-31,LAL,CLE,0,14,06.88,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
2026-04-02,LAL,OKC,1,-43,17.65,8,4,4,2,0,0,0,0,1,0,1,3,0,10,-8
2026-04-05,LAL,DAL,1,-6,08.75,3,2,2,1,0,0,0,0,1,0,0,0,3,5,-6
