Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-25,ATL,OKC,0,-17,02.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-10-31,ATL,IND,1,20,01.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-04,ATL,ORL,0,15,00.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-08,ATL,LAL,0,20,19.32,3,2,2,1,3,3,2,2,1,0,1,1,1,8,2
2025-11-12,ATL,SAC,1,33,08.12,5,2,4,2,0,0,1,1,1,1,0,2,3,6,-8
2025-11-18,ATL,DET,0,-8,03.38,2,0,1,0,0,0,0,0,0,0,0,0,1,0,-9
2025-11-22,ATL,NOP,1,17,02.4,1,1,1,1,0,0,0,1,0,0,0,0,0,3,-3
2025-12-03,ATL,LAC,0,-23,05.3,2,1,2,1,0,0,1,1,0,0,0,1,0,3,0
2026-01-03,ATL,TOR,1,-17,01.55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-17,ATL,BOS,0,-26,04.92,1,1,1,1,0,0,0,0,0,0,0,0,1,3,12
2026-03-01,ATL,POR,0,34,02.88,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2026-03-04,ATL,MIL,1,18,01.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2026-03-14,ATL,MIL,0,23,02.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-18,ATL,DAL,1,15,02.02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-5
2026-03-20,ATL,HOU,1,-22,03.3,1,1,0,0,0,0,0,1,0,0,0,0,0,2,-1
2026-03-23,ATL,MEM,0,39,06.63,5,2,5,2,0,0,0,0,1,1,0,0,1,6,4
2026-04-01,ATL,ORL,1,29,02.82,3,3,3,3,0,0,1,3,0,0,0,0,2,9,6
2026-04-03,ATL,BRK,1,34,04.03,1,1,0,0,0,0,0,1,1,0,0,0,0,2,4
