Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-21,OKC,HOU,0,,41.65,10,5,8,3,1,2,1,7,5,4,0,2,3,14,8
2025-10-25,OKC,ATL,1,17,25.6,7,1,3,1,0,0,1,3,3,3,1,1,3,3,21
2025-10-27,OKC,DAL,1,7,32.8,9,2,5,0,0,0,1,5,5,1,0,1,2,4,4
2025-10-28,OKC,SAC,0,6,26.55,9,3,5,2,0,0,0,1,3,1,0,2,2,8,-17
2025-10-30,OKC,WAS,0,19,27.3,7,3,4,2,4,4,1,5,3,4,2,0,2,12,14
2025-11-02,OKC,NOP,0,31,26.05,5,4,4,3,2,2,0,0,1,5,0,0,3,13,18
2025-11-04,OKC,LAC,1,19,24.92,9,5,4,2,0,0,0,3,1,1,0,1,1,12,-6
2025-11-05,OKC,POR,1,-2,36.17,4,2,3,1,0,0,4,8,5,3,0,3,5,5,5
2025-11-07,OKC,SAC,1,31,27.27,8,6,4,3,0,0,1,2,2,1,0,0,0,15,17
2025-11-09,OKC,MEM,1,14,34.2,10,2,7,1,1,1,1,4,1,2,0,0,1,6,19
2025-11-11,OKC,GSW,0,24,20.75,5,1,3,1,0,0,1,1,2,0,0,1,3,3,25
2025-11-12,OKC,LAL,0,29,24.05,6,2,3,0,2,2,0,0,1,2,1,0,4,6,24
2025-11-15,OKC,CHO,1,13,30.42,7,4,2,2,0,0,0,2,4,3,0,3,2,10,17
2025-11-17,OKC,NOP,1,17,28.28,10,3,4,1,0,0,0,2,4,3,0,3,4,7,14
2025-11-19,OKC,SAC,0,14,26.08,9,5,5,2,0,0,0,2,1,1,1,0,2,12,8
2025-11-21,OKC,UTA,1,32,26.87,6,4,4,2,0,0,0,1,0,4,0,2,2,10,4
2025-11-23,OKC,POR,0,27,26.77,9,3,5,1,0,0,2,2,1,2,0,1,1,7,11
