Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-03-09,BRK,MEM,0,11,04.9,2,2,0,0,0,0,0,1,0,1,1,0,1,4,-10
2026-03-10,BRK,DET,0,-38,22.2,3,2,1,1,0,0,0,1,1,0,0,1,3,5,-3
2026-03-12,BRK,ATL,1,-11,20.05,3,1,2,1,0,0,1,3,3,1,0,2,4,3,-4
2026-03-14,BRK,PHI,1,-7,24.23,6,0,2,0,6,8,4,10,1,3,1,0,3,6,4
2026-03-16,BRK,POR,0,-19,25.43,8,6,4,2,3,6,5,9,1,0,0,0,3,17,6
2026-03-18,BRK,OKC,0,-29,26.53,6,5,1,0,2,2,5,7,3,1,0,2,2,12,-6
2026-03-20,BRK,NYK,0,-1,24.43,6,1,5,0,2,2,1,4,6,3,2,1,4,4,3
2026-03-22,BRK,SAC,1,-4,16.47,3,1,1,1,4,4,1,3,3,0,1,1,5,7,1
2026-03-23,BRK,POR,1,-35,26.48,8,5,1,0,2,2,1,5,3,0,0,5,4,12,-28
2026-03-25,BRK,GSW,1,-3,18.55,8,5,3,1,0,0,1,1,3,1,0,1,6,11,-2
2026-03-27,BRK,LAL,1,-17,14.35,2,1,1,0,0,0,1,2,2,0,0,1,2,2,-13
2026-03-29,BRK,SAC,0,17,08.35,4,2,1,0,0,0,2,3,2,1,0,0,1,4,3
