Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,WAS,MIL,1,-13,18.03,8,4,7,3,0,0,0,1,1,0,1,1,0,11,-1
2025-10-24,WAS,DAL,1,10,21.32,5,3,3,1,0,1,0,4,4,0,0,0,3,7,5
2025-10-26,WAS,CHO,0,-26,19.85,1,0,0,0,0,0,0,1,0,1,0,0,1,0,-13
2025-10-28,WAS,PHI,0,,24.75,11,5,8,2,1,3,0,5,1,0,0,1,1,13,4
2025-10-30,WAS,OKC,1,-19,19.58,6,2,4,1,3,3,1,6,2,0,0,2,1,8,-12
2025-11-01,WAS,ORL,0,-31,14.95,5,1,3,0,0,0,0,0,0,0,0,1,2,2,-7
2025-11-03,WAS,NYK,1,-17,14.78,6,5,4,3,2,2,0,0,4,0,0,1,2,15,7
2025-11-05,WAS,BOS,1,-29,12.72,5,3,2,1,1,2,0,2,1,0,0,1,0,8,-1
2025-11-07,WAS,CLE,0,-33,20.22,8,5,4,2,4,4,1,3,4,1,0,1,2,16,-4
2025-11-08,WAS,DAL,0,-6,24.33,3,1,2,1,1,2,0,1,2,0,1,0,1,4,-4
2025-11-10,WAS,DET,1,,22.87,3,3,2,2,0,0,2,3,2,0,0,0,1,8,9
2025-11-12,WAS,HOU,1,-23,18.57,7,2,6,2,2,2,0,2,0,0,0,1,2,8,-14
2025-11-16,WAS,BRK,0,-23,15.17,4,2,2,0,0,0,0,2,0,1,0,0,1,4,-8
2025-11-19,WAS,MIN,1,-11,10.72,4,0,2,0,0,0,1,1,1,0,0,1,0,0,-12
2025-11-21,WAS,TOR,1,-30,18.83,6,3,4,2,1,2,0,3,1,1,0,0,0,9,-17
2025-11-22,WAS,CHI,1,-1,36.85,10,7,6,3,3,3,1,5,5,1,0,1,1,20,6
2025-11-25,WAS,ATL,0,19,24.48,11,6,8,4,3,5,0,3,1,3,1,0,0,19,23
2025-12-23,WAS,CHO,1,-17,13.45,8,3,4,1,2,2,0,1,3,0,0,0,2,9,3
2026-01-04,WAS,MIN,0,-26,18.32,8,4,5,2,3,3,0,1,0,0,0,3,0,13,-26
2026-01-11,ATL,GSW,1,13,13.8,4,0,3,0,2,2,0,2,3,1,0,1,1,2,2
2026-01-13,ATL,LAL,1,-25,25.63,11,6,7,3,4,6,0,0,1,0,0,2,2,19,-10
2026-01-15,ATL,POR,1,-16,13.18,5,1,4,1,0,0,1,2,0,1,0,2,0,3,-7
2026-01-17,ATL,BOS,0,-26,22.57,11,5,5,2,4,4,3,7,1,1,0,0,1,16,-9
2026-01-19,ATL,MIL,0,-2,20.03,4,1,3,0,0,0,0,1,1,1,0,1,1,2,5
2026-01-21,ATL,MEM,1,2,13.78,5,3,4,2,0,0,0,1,2,1,0,0,0,8,-11
2026-01-23,ATL,PHO,0,7,15.38,8,3,4,2,0,0,0,3,1,0,0,1,1,8,4
2026-01-26,ATL,IND,0,16,16.72,8,2,4,0,3,3,0,0,3,0,0,1,1,7,-25
2026-01-28,ATL,BOS,1,11,20.18,9,5,5,3,0,0,0,2,1,0,0,0,0,13,10
2026-01-29,ATL,HOU,0,-18,30.97,13,7,5,2,1,2,0,2,2,1,1,2,0,17,-17
2026-01-31,ATL,IND,1,-5,22.1,6,4,4,2,1,1,0,2,1,0,0,0,1,11,-6
2026-02-03,ATL,MIA,1,12,27.6,13,5,7,2,1,1,1,4,4,0,0,0,0,13,18
2026-02-05,ATL,UTA,0,2,24.57,9,7,4,2,4,4,0,2,0,0,0,0,4,20,-5
2026-02-07,ATL,CHO,0,-7,23.45,8,3,5,2,0,0,0,2,2,0,0,4,2,8,-23
2026-02-09,ATL,MIN,1,-22,31.32,12,4,7,1,3,3,2,7,4,0,1,1,2,12,-11
2026-02-11,ATL,CHO,1,-3,23.02,3,0,2,0,2,2,0,3,2,0,0,0,1,2,-2
2026-02-19,ATL,PHI,1,10,16.95,5,1,3,1,2,2,2,5,1,0,0,0,2,5,5
2026-02-20,ATL,MIA,0,-31,23.88,5,2,3,1,1,2,1,3,3,0,0,1,0,6,-14
