Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-03-19,MIL,UTA,1,-32,07.72,4,1,3,1,2,3,0,0,1,1,0,0,2,5,-2
2026-03-25,MIL,POR,1,-31,04.48,3,1,2,0,0,0,0,0,0,0,1,0,0,2,-8
2026-03-28,MIL,SAS,0,-32,07.2,2,0,1,0,0,0,1,1,0,1,0,1,2,0,1
2026-03-29,MIL,LAC,0,-14,20.37,6,4,5,3,2,2,0,0,0,1,0,1,3,13,4
2026-04-01,MIL,HOU,1,-6,38.25,14,9,7,4,3,3,2,2,4,1,0,2,4,25,0
2026-04-03,MIL,BOS,0,-32,32.78,7,2,4,2,5,5,0,1,2,0,1,2,2,11,-19
2026-04-05,MIL,MEM,0,16,29.43,8,7,4,3,4,4,1,4,3,5,0,2,1,21,19
2026-04-07,MIL,BRK,1,-6,33.72,12,5,6,3,1,2,0,5,2,0,0,2,6,14,-5
2026-04-08,MIL,DET,1,-26,24.52,9,6,6,3,1,1,0,0,0,0,1,2,2,16,-11
2026-04-10,MIL,BRK,0,17,33.97,17,10,9,5,3,3,1,5,3,1,0,3,4,28,21
