Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,CLE,NYK,1,-8,06.72,2,1,1,0,0,0,0,0,1,0,0,0,1,2,-9
2025-10-24,CLE,BRK,1,7,14.42,6,6,2,2,0,0,0,2,2,1,0,0,0,14,8
2025-10-26,CLE,MIL,0,5,16.35,5,2,3,1,0,0,1,3,1,3,0,2,1,5,4
2025-10-27,CLE,DET,1,21,23.82,4,1,2,0,2,3,3,7,3,3,0,1,0,4,18
2025-10-29,CLE,BOS,1,-20,22.25,4,2,3,2,1,2,2,2,4,0,0,1,1,7,-3
2025-10-31,CLE,TOR,0,-11,20.85,5,2,2,1,0,2,2,4,1,1,2,1,1,5,-17
2025-11-02,CLE,ATL,0,8,21.2,2,2,0,0,0,0,3,7,3,1,0,2,1,4,-6
2025-11-05,CLE,PHI,0,11,18.07,4,0,3,0,0,0,0,2,4,0,0,1,1,0,4
2025-11-07,CLE,WAS,1,33,15.92,4,1,1,0,0,0,5,5,2,0,0,1,3,2,13
2025-11-08,CLE,CHI,0,6,04.23,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-11
2025-11-10,CLE,MIA,1,,05.42,2,1,1,0,0,0,0,1,0,0,0,0,0,2,-4
2025-11-12,CLE,MIA,1,14,32.17,12,7,3,3,2,3,2,4,9,3,4,2,2,19,21
2025-11-13,CLE,TOR,0,-13,24.42,6,4,4,2,0,0,0,1,5,1,2,0,1,10,5
2025-11-15,CLE,MEM,0,8,12.98,4,1,0,0,1,2,2,3,1,1,0,1,1,3,-1
2025-11-17,CLE,MIL,0,12,20.13,6,5,2,1,0,0,0,1,0,2,0,1,0,11,8
2025-11-19,CLE,HOU,0,-10,25.78,6,4,2,1,0,0,1,7,5,0,2,1,2,9,-3
2025-11-21,CLE,IND,0,11,10.6,3,1,0,0,0,0,0,1,1,1,0,0,0,2,-5
2025-11-30,CLE,BOS,0,-2,10.77,3,2,1,0,0,0,3,4,2,1,0,1,1,4,-3
2025-12-01,CLE,IND,1,16,22.43,5,2,1,0,0,0,2,5,3,1,2,0,4,4,-4
2025-12-03,CLE,POR,0,-12,10.25,1,0,0,0,0,0,0,0,2,0,1,1,1,0,-4
2025-12-05,CLE,SAS,0,13,23.9,6,4,2,1,2,3,1,7,1,2,0,0,3,11,20
2025-12-06,CLE,GSW,0,-5,15.2,4,0,0,0,0,0,3,4,0,0,1,0,3,0,-6
2025-12-12,CLE,WAS,1,4,10.8,2,2,0,0,0,0,4,5,4,2,0,1,0,4,6
2025-12-14,CLE,CHO,0,,04.38,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-7
2025-12-17,CLE,CHI,1,-16,17.82,2,2,0,0,0,0,2,2,4,3,0,1,1,4,2
2025-12-22,CLE,CHO,0,7,02.92,1,1,0,0,0,0,0,0,0,0,0,0,1,2,-7
2025-12-23,CLE,NOP,0,23,22.28,8,4,4,2,2,2,2,8,8,2,1,1,0,12,5
2025-12-27,CLE,HOU,1,-17,17.17,5,1,1,0,0,0,0,1,3,0,0,0,0,2,11
2025-12-29,CLE,SAS,1,12,15.28,2,0,1,0,2,2,3,6,4,0,1,0,1,2,12
2025-12-31,CLE,PHO,0,16,28.53,3,1,2,0,0,0,4,9,2,1,1,0,2,2,8
2026-01-02,CLE,DEN,0,5,23.2,7,4,2,2,0,0,2,5,5,2,1,2,2,10,6
2026-01-04,CLE,DET,0,-4,22.53,3,1,1,0,0,0,2,6,1,2,1,1,0,2,1
2026-01-06,CLE,IND,1,4,27.97,6,3,2,1,1,2,2,9,9,2,3,4,4,8,7
2026-01-08,CLE,MIN,1,-9,14.95,5,2,1,0,0,0,0,1,2,0,1,0,0,4,-17
2026-01-10,CLE,MIN,0,12,25.57,4,0,2,0,0,0,3,6,8,1,0,1,1,0,-5
2026-01-12,CLE,UTA,0,-11,15.65,3,2,1,1,0,0,1,3,1,0,0,1,0,5,-10
2026-01-14,CLE,PHI,1,26,17.98,3,0,1,0,1,1,1,3,3,1,0,1,0,1,16
2026-01-16,CLE,PHI,1,2,22.15,5,1,0,0,0,2,2,3,11,0,0,1,0,2,12
2026-01-19,CLE,OKC,0,-32,21.47,9,4,3,1,0,0,1,5,3,1,1,3,4,9,-6
2026-01-21,CLE,CHO,1,7,18.18,5,2,3,2,1,2,0,1,2,0,2,2,1,7,-5
2026-01-23,CLE,SAC,0,5,21.35,5,2,3,1,0,0,1,5,3,0,0,1,1,5,-7
2026-01-24,CLE,ORL,1,14,15.27,3,2,0,0,0,1,0,0,1,0,1,1,0,4,0
2026-01-26,CLE,ORL,0,16,15.48,5,2,1,0,0,0,1,5,5,0,0,0,2,4,5
2026-01-28,CLE,LAL,0,30,15.3,5,3,3,1,0,0,1,1,3,2,0,0,1,7,16
2026-02-01,CLE,POR,1,19,27.72,5,1,1,0,1,2,0,4,12,5,2,1,2,3,2
2026-02-04,CLE,LAC,1,33,24.77,5,3,2,1,0,0,1,2,2,1,0,0,2,7,11
2026-02-07,CLE,SAC,1,6,22.8,3,1,1,0,2,4,1,3,4,2,0,0,1,4,3
