Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-24,DET,HOU,1,4,05.22,3,1,2,1,2,2,0,0,0,0,0,0,0,5,5
2025-10-26,DET,BOS,0,6,10.25,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1
2025-10-27,DET,CLE,0,-21,22.48,6,4,1,1,0,0,0,0,5,3,0,3,2,9,-4
2025-10-29,DET,ORL,0,19,03.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2025-11-07,DET,BRK,1,18,05.33,3,1,1,0,1,4,0,1,0,1,0,0,0,3,-5
2025-11-10,DET,WAS,0,,33.98,17,9,6,4,2,2,4,8,3,4,0,2,3,24,8
2025-11-12,DET,CHI,0,11,40.12,19,9,2,0,0,0,2,4,12,2,0,3,3,18,5
2025-11-14,DET,PHI,0,9,35.07,15,6,8,5,2,2,0,3,8,1,0,2,1,19,5
2025-11-17,DET,IND,0,15,33.45,21,11,5,1,3,4,2,2,8,1,0,4,4,26,23
2025-11-18,DET,ATL,1,8,29.67,10,6,4,1,1,2,0,3,7,2,0,1,1,14,8
2025-11-22,DET,MIL,1,13,13.35,3,3,1,1,0,0,0,1,3,1,0,3,1,7,3
2025-11-24,DET,IND,1,5,07.62,2,1,2,1,2,2,0,2,3,0,1,1,0,5,-1
2025-11-26,DET,BOS,1,-3,07.98,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-5
2025-11-28,DET,ORL,0,-3,08.33,2,0,1,0,0,0,0,1,1,0,0,0,0,0,-7
2025-11-29,DET,MIA,1,3,14.6,4,2,0,0,5,6,0,1,4,2,0,1,2,9,4
2025-12-01,DET,ATL,0,1,26.65,16,3,8,0,0,2,4,8,6,0,0,3,2,6,-9
2025-12-03,DET,MIL,1,-4,24.13,8,2,5,1,2,2,0,1,2,0,0,2,0,7,1
2025-12-05,DET,POR,0,6,14.37,4,1,1,0,2,2,0,1,3,1,0,0,1,4,6
2025-12-06,DET,MIL,0,12,03.57,1,1,0,0,0,0,0,0,0,0,0,1,2,2,-11
2025-12-12,DET,ATL,0,27,13.2,4,2,2,1,3,3,1,2,1,0,0,1,2,8,7
2025-12-15,DET,BOS,1,7,03.18,2,0,0,0,0,0,1,1,0,0,0,0,0,0,-2
2025-12-18,DET,DAL,1,,20.42,8,4,3,1,2,2,1,4,1,1,0,2,4,11,15
2025-12-20,DET,CHO,0,26,04.15,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2025-12-22,DET,POR,1,8,13.82,7,2,3,1,0,0,1,1,3,0,0,0,2,5,-8
2025-12-26,DET,UTA,1,-2,09.37,7,2,4,2,0,0,0,0,2,3,0,1,2,6,3
2025-12-28,DET,LAC,1,-13,02.38,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-1
2025-12-30,DET,LAL,1,22,04.15,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-4
2026-01-04,DET,CLE,1,4,25.47,10,7,7,6,5,5,0,1,5,0,0,2,1,25,11
2026-01-05,DET,NYK,0,31,22.67,10,5,4,2,0,0,0,0,4,1,2,1,1,12,16
2026-01-07,DET,CHI,0,15,28.2,8,1,3,0,0,0,2,6,15,1,0,1,1,2,20
2026-01-10,DET,LAC,0,-6,21.3,8,3,3,1,3,4,0,4,2,2,0,5,1,10,-9
2026-01-15,DET,PHO,0,3,06.18,1,1,1,1,2,2,0,0,3,1,1,0,1,5,7
2026-01-17,DET,IND,0,43,12.0,2,1,1,1,0,0,1,1,4,3,0,2,0,3,4
2026-01-21,DET,NOP,1,8,26.57,12,5,6,2,5,7,0,1,4,2,2,5,3,17,5
2026-01-23,DET,HOU,0,-7,19.35,10,4,6,2,0,0,0,2,4,1,0,1,1,10,14
2026-01-25,DET,SAC,0,23,22.67,6,4,3,2,1,2,0,1,6,1,1,0,2,11,20
2026-01-27,DET,DEN,1,2,18.87,8,0,2,0,0,0,1,1,3,0,0,0,1,0,-5
2026-01-29,DET,PHO,1,-18,22.5,8,2,3,0,2,3,1,3,5,0,0,1,2,6,-18
2026-01-30,DET,GSW,1,7,17.03,8,4,2,1,3,3,0,2,4,2,0,2,1,12,7
2026-02-01,DET,BRK,0,53,19.62,9,6,2,1,5,6,0,4,1,0,0,0,2,18,6
2026-02-03,DET,DEN,0,3,15.92,8,2,1,0,2,2,1,1,0,1,0,0,5,6,-1
2026-02-06,DET,NYK,0,38,18.03,11,7,6,3,1,1,1,4,3,0,0,1,2,18,23
2026-02-09,DET,CHO,1,6,18.78,6,2,2,0,0,0,1,3,1,2,0,1,2,4,4
2026-02-11,DET,TOR,1,18,16.77,9,3,1,0,2,3,2,3,1,0,0,2,1,8,-13
2026-02-19,DET,NYK,1,15,18.18,4,3,0,0,2,2,1,2,2,0,0,3,3,8,5
2026-02-21,DET,CHI,1,16,21.3,6,1,2,1,0,0,0,0,2,0,0,1,4,3,-12
2026-02-23,DET,SAS,0,-11,21.38,10,3,2,0,1,2,2,3,0,0,0,0,2,7,-1
2026-02-25,DET,OKC,0,8,13.15,6,2,2,0,0,0,1,3,0,0,0,0,0,4,-7
2026-02-27,DET,CLE,0,,19.2,10,2,3,1,3,3,0,1,1,0,0,1,2,8,0
2026-03-01,DET,ORL,1,14,11.13,6,1,2,0,0,0,0,0,0,3,0,1,0,2,2
2026-03-03,DET,CLE,1,-4,10.9,4,2,1,1,0,0,0,1,1,0,0,0,1,5,7
2026-03-05,DET,SAS,1,-15,14.77,6,0,2,0,0,2,0,0,1,0,0,1,0,0,-15
2026-03-07,DET,BRK,0,-2,35.45,9,4,1,0,3,6,1,1,9,2,0,3,1,11,5
2026-03-08,DET,MIA,1,-11,15.33,4,1,2,1,1,2,0,4,2,0,2,0,1,4,4
2026-03-10,DET,BRK,1,38,22.17,10,4,2,1,5,5,0,3,6,5,0,3,2,14,1
2026-03-12,DET,PHI,0,22,19.62,5,3,1,0,0,0,0,2,3,0,1,3,1,6,-5
2026-03-13,DET,MEM,0,16,21.33,4,1,2,0,2,2,0,4,7,2,0,2,2,4,-10
2026-03-17,DET,WAS,1,13,20.77,9,4,2,2,5,6,2,2,7,2,1,1,0,15,10
