Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,SAS,DAL,1,33,04.07,2,2,0,0,1,1,1,1,2,0,0,0,2,5,4
2025-10-27,SAS,TOR,0,18,02.17,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2025-11-02,SAS,PHO,1,-12,04.53,3,1,0,0,0,2,1,2,2,0,0,0,0,2,9
2025-11-18,SAS,MEM,0,10,06.92,1,1,0,0,0,0,0,1,2,0,0,0,0,2,7
2025-11-20,SAS,ATL,0,9,18.55,7,5,1,1,1,2,1,5,6,3,1,1,1,12,25
2025-11-23,SAS,PHO,1,-9,12.97,4,0,1,0,0,0,1,2,1,1,0,2,0,0,-10
2025-11-30,SAS,MIN,1,-13,01.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-12-02,SAS,MEM,0,7,01.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
2025-12-03,SAS,ORL,1,2,04.68,1,0,0,0,0,0,0,1,1,1,0,2,0,0,3
2025-12-05,SAS,CLE,1,-13,09.92,5,3,3,2,1,1,0,0,4,1,0,0,2,9,-2
2026-01-07,SAS,LAL,0,16,00.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
