Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,BRK,CHO,1,-19,14.07,7,6,2,1,1,2,1,4,0,1,2,5,5,14,-13
2025-10-24,BRK,CLE,0,-7,14.4,2,1,0,0,0,0,0,2,3,1,0,2,3,2,6
2025-10-26,BRK,SAS,1,-11,15.3,4,3,1,0,0,0,2,3,1,2,0,4,4,6,15
2025-10-27,BRK,HOU,1,-28,22.27,7,6,2,1,4,5,5,12,2,0,0,0,4,17,-10
2025-10-29,BRK,ATL,0,-5,19.4,3,1,1,0,0,0,4,6,4,1,2,2,1,2,-15
2025-11-02,BRK,PHI,0,-24,09.68,2,0,1,0,1,2,1,2,0,1,0,1,0,1,-14
2025-11-03,BRK,MIN,0,-16,19.8,1,1,0,0,1,4,5,7,0,2,1,3,2,3,-18
2025-11-05,BRK,IND,1,9,14.43,5,1,0,0,3,4,2,7,3,0,0,0,0,5,13
2025-11-07,BRK,DET,0,-18,17.28,3,2,2,1,2,4,0,4,3,0,0,3,4,7,-8
2025-11-09,BRK,NYK,1,-36,12.18,3,3,0,0,4,4,5,6,1,1,1,2,1,10,-14
2025-11-14,BRK,ORL,1,-7,14.18,4,2,1,0,0,0,2,5,3,1,0,0,3,4,3
2025-11-16,BRK,WAS,1,23,15.55,4,2,0,0,2,2,1,5,3,0,0,2,2,6,9
2025-11-18,BRK,BOS,0,-14,17.9,10,7,2,0,2,3,3,7,2,3,0,1,3,16,-4
2025-11-21,BRK,BOS,1,8,13.32,2,1,0,0,2,3,1,4,1,0,1,3,2,4,-10
2025-11-23,BRK,TOR,1,-10,16.72,2,2,0,0,1,4,1,6,1,0,0,2,2,5,-4
2025-11-24,BRK,NYK,0,-13,21.72,4,2,1,0,1,2,2,8,1,1,0,1,3,5,4
2025-11-28,BRK,PHI,0,-12,10.15,4,1,1,1,0,0,2,3,0,0,0,2,2,3,-4
2025-11-29,BRK,MIL,1,-17,23.22,6,2,2,1,2,6,1,7,2,0,1,1,1,7,9
2025-12-01,BRK,CHO,0,13,14.52,4,2,1,0,2,4,1,3,3,0,0,2,3,6,3
2025-12-03,BRK,CHI,1,10,12.55,3,1,0,0,3,3,1,7,1,2,2,0,0,5,5
2025-12-04,BRK,UTA,0,-13,18.58,7,4,1,0,2,4,4,7,2,1,1,2,1,10,6
2025-12-06,BRK,NOP,0,18,18.82,8,7,0,0,2,3,1,3,3,1,1,2,1,16,-6
2025-12-12,BRK,DAL,1,-8,13.43,3,1,0,0,4,4,2,6,3,0,1,1,2,6,-5
2025-12-14,BRK,MIL,0,45,16.87,6,4,0,0,2,2,2,8,5,4,0,0,2,10,14
2025-12-18,BRK,MIA,0,-11,13.22,4,2,2,0,0,0,3,6,2,0,0,1,1,4,1
2025-12-21,BRK,TOR,0,15,20.4,4,3,0,0,2,2,0,3,4,0,0,2,3,8,-2
2025-12-23,BRK,PHI,1,8,20.73,5,3,1,1,2,2,5,11,6,1,0,0,3,9,16
2025-12-27,BRK,MIN,1,16,17.45,5,5,0,0,0,0,0,4,4,3,0,1,4,10,21
2025-12-29,BRK,GSW,0,-13,12.28,3,1,2,0,1,2,1,5,0,0,0,1,2,3,-14
2026-01-01,BRK,HOU,0,-24,19.18,6,4,1,0,0,0,3,8,7,2,0,0,1,8,-2
2026-01-02,BRK,WAS,1,-20,29.85,12,6,1,0,2,3,4,9,3,2,2,1,2,14,-13
2026-01-04,BRK,DEN,0,12,32.1,9,6,1,0,5,8,1,6,4,3,1,1,3,17,17
2026-01-07,BRK,ORL,0,,29.9,4,2,0,0,1,2,4,7,5,2,0,5,2,5,7
2026-01-09,BRK,LAC,0,-16,17.05,6,3,2,0,0,0,4,9,1,0,0,1,3,6,-1
2026-01-11,BRK,MEM,1,-5,20.55,7,4,0,0,0,0,6,13,3,2,1,2,2,8,5
2026-01-12,BRK,DAL,1,-8,22.7,7,4,0,0,6,6,7,12,0,0,1,2,3,14,2
2026-01-14,BRK,NOP,1,-3,19.15,9,7,0,0,1,2,3,9,0,0,0,0,1,15,-5
2026-01-16,BRK,CHI,0,3,18.97,8,6,0,0,2,2,1,6,3,0,0,0,2,14,-4
2026-01-18,BRK,CHI,1,-22,19.4,3,2,0,0,1,2,3,5,4,0,0,1,2,5,-18
2026-01-21,BRK,NYK,1,-54,23.85,5,2,2,0,2,2,1,2,1,2,0,2,3,6,-36
2026-01-23,BRK,BOS,0,,19.23,3,1,0,0,3,4,4,8,2,0,0,3,3,5,-4
2026-01-25,BRK,LAC,1,-37,20.38,5,3,0,0,2,3,2,6,2,4,1,2,3,8,-7
2026-01-27,BRK,PHO,1,-4,19.32,5,3,0,0,1,2,3,7,2,3,0,0,1,7,5
2026-01-29,BRK,DEN,1,-4,16.73,5,3,0,0,1,2,5,9,1,2,0,1,3,7,-12
2026-01-30,BRK,UTA,1,10,17.82,5,4,1,1,7,9,3,9,1,0,0,2,2,16,12
2026-02-01,BRK,DET,1,-53,22.2,5,2,0,0,4,6,3,11,0,0,0,5,1,8,-12
2026-02-03,BRK,LAL,0,-16,25.72,12,9,0,0,1,1,10,14,5,3,0,1,4,19,14
2026-02-05,BRK,ORL,1,-20,13.17,4,2,0,0,0,0,2,5,0,1,0,1,4,4,-6
2026-02-07,BRK,WAS,0,14,19.63,11,9,0,0,1,1,4,9,4,2,0,3,4,19,26
2026-02-09,BRK,CHI,0,8,15.95,8,2,1,0,2,4,4,7,0,0,0,2,4,6,-9
2026-02-11,BRK,IND,0,-5,30.78,11,8,0,0,3,4,5,12,5,2,2,1,1,19,12
2026-02-19,BRK,CLE,1,-28,19.52,5,1,1,0,2,2,4,5,3,0,0,0,1,4,-28
2026-02-20,BRK,OKC,1,-19,27.08,8,6,0,0,0,2,2,8,2,2,1,2,4,12,-12
2026-02-22,BRK,ATL,1,-11,17.4,6,4,0,0,3,4,3,5,2,2,1,3,0,11,8
2026-02-24,BRK,DAL,0,-9,15.97,7,3,0,0,1,2,1,2,1,1,0,2,3,7,-15
2026-02-26,BRK,SAS,0,-16,19.22,10,6,1,0,2,2,5,11,4,1,1,3,2,14,-9
2026-02-27,BRK,BOS,1,-37,14.83,7,1,1,0,0,0,2,5,3,0,0,1,3,2,-14
2026-03-01,BRK,CLE,0,-4,28.0,5,3,1,0,1,2,0,8,3,1,1,6,5,7,-7
2026-03-03,BRK,MIA,1,-26,17.32,6,5,0,0,0,0,4,8,4,0,0,0,2,10,-6
2026-03-05,BRK,MIA,1,-16,17.68,6,3,1,0,1,2,4,5,1,0,0,2,4,7,-8
2026-03-07,BRK,DET,1,2,21.32,10,6,1,1,0,0,3,7,4,2,0,3,2,13,6
2026-03-09,BRK,MEM,0,11,17.57,11,8,1,1,2,2,3,5,2,2,1,2,3,19,16
