Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,NOP,MEM,1,-6,14.5,4,1,1,0,1,2,1,5,0,0,1,0,3,3,-11
2025-10-24,NOP,SAS,0,,34.75,11,6,1,0,3,4,1,6,1,1,2,1,6,15,5
2025-10-27,NOP,BOS,0,-32,21.68,7,3,1,0,6,6,1,3,0,1,0,1,4,12,-7
2025-10-29,NOP,DEN,1,-34,14.43,5,2,0,0,0,2,3,8,0,1,0,3,2,4,-5
2025-10-31,NOP,LAC,1,-2,12.65,5,2,0,0,2,2,2,5,0,0,1,1,3,6,2
2025-11-02,NOP,OKC,1,-31,06.85,2,1,0,0,2,2,1,2,0,0,0,0,0,4,1
2025-11-04,NOP,CHO,0,4,17.97,7,5,0,0,2,3,3,8,7,4,0,3,3,12,13
2025-11-05,NOP,DAL,1,2,25.87,8,3,0,0,5,7,1,7,2,3,0,3,3,11,-3
2025-11-08,NOP,SAS,1,-7,24.6,14,5,4,1,2,2,1,5,8,0,2,4,3,13,0
2025-11-10,NOP,PHO,1,-23,24.97,10,5,1,0,2,2,2,6,1,2,0,3,3,12,-11
2025-11-12,NOP,POR,0,-8,37.75,18,12,1,0,2,3,3,7,4,0,0,1,3,26,0
2025-11-14,NOP,LAL,0,-14,29.37,10,4,1,0,1,2,2,10,5,0,1,5,4,9,-2
2025-11-16,NOP,GSW,0,-18,24.57,4,2,0,0,5,6,0,7,6,0,2,1,2,9,-11
2025-11-17,NOP,OKC,0,-17,26.43,10,3,0,0,3,4,5,8,3,2,2,6,4,9,-7
2025-11-19,NOP,DEN,0,-7,30.42,18,12,2,1,5,8,4,9,4,2,2,4,4,30,0
2025-11-21,NOP,DAL,1,-3,32.23,17,8,2,0,4,5,2,7,11,1,0,4,2,20,1
2025-11-22,NOP,ATL,0,-17,32.32,14,6,2,0,8,8,3,9,3,2,1,2,4,20,-8
2025-11-24,NOP,CHI,0,13,16.95,9,4,0,0,0,0,2,5,4,1,1,1,4,8,-5
2025-11-26,NOP,MEM,0,,22.83,8,5,1,0,0,0,0,2,9,1,1,1,1,10,-24
2025-11-29,NOP,GSW,1,-8,15.88,3,1,0,0,0,0,0,3,0,0,0,2,2,2,-17
2025-11-30,NOP,LAL,1,-12,28.25,12,4,0,0,7,8,2,7,3,1,0,1,5,15,-22
2025-12-02,NOP,MIN,0,,38.68,15,8,0,0,5,8,2,8,6,1,0,2,5,21,-17
2025-12-04,NOP,MIN,0,-9,29.13,9,4,0,0,4,4,1,4,5,1,0,1,5,12,-4
2025-12-06,NOP,BRK,1,-18,25.75,5,2,0,0,2,2,0,9,5,1,1,3,4,6,-12
2025-12-08,NOP,SAS,0,-3,33.12,15,11,1,0,11,13,0,10,10,0,3,4,3,33,14
2025-12-11,NOP,POR,0,23,34.67,12,8,0,0,1,1,2,5,7,2,0,0,4,17,12
2025-12-14,NOP,CHI,1,10,24.77,4,2,0,0,0,0,0,8,5,0,1,5,3,4,2
2025-12-18,NOP,HOU,0,,35.35,16,7,2,0,2,3,3,12,3,0,3,3,4,16,18
2025-12-20,NOP,IND,0,19,27.17,8,8,1,1,0,0,0,10,4,1,0,2,4,17,22
2025-12-22,NOP,DAL,0,6,34.17,12,7,2,0,5,6,1,10,6,2,1,3,3,19,13
2025-12-23,NOP,CLE,1,-23,25.18,14,7,3,2,5,6,0,7,5,1,0,1,2,21,-11
2025-12-26,NOP,PHO,0,-7,19.6,9,3,1,0,1,4,3,7,2,1,0,3,0,7,-18
2025-12-27,NOP,PHO,0,-9,26.87,15,7,4,2,5,6,3,11,3,1,1,4,4,21,-1
2025-12-29,NOP,NYK,0,-5,28.5,13,3,2,0,1,2,2,9,5,1,2,2,2,7,-3
2025-12-31,NOP,CHI,1,-16,25.43,7,4,1,0,1,2,1,7,4,2,5,2,4,9,-19
