Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-26,SAC,LAL,0,-7,02.75,0,0,0,0,0,0,0,0,0,1,0,1,2,0,-6
2025-10-28,SAC,OKC,1,-6,08.85,1,1,0,0,2,2,1,1,1,2,0,1,0,4,8
2025-10-29,SAC,CHI,1,-13,12.07,3,0,2,0,0,0,1,2,1,0,1,0,1,0,6
2025-11-03,SAC,DEN,1,-6,03.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2025-11-05,SAC,GSW,0,5,04.82,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
2025-11-07,SAC,OKC,0,-31,05.35,3,0,2,0,2,2,0,1,1,1,0,0,0,2,-4
2025-11-09,SAC,MIN,0,-27,05.6,1,0,0,0,0,0,0,1,2,1,0,2,1,0,-2
2025-11-12,SAC,ATL,0,-33,21.77,12,4,6,2,1,1,1,6,3,1,0,2,4,11,5
2025-12-11,SAC,DEN,0,-31,21.1,10,5,6,3,2,2,1,1,4,0,0,2,1,15,2
2025-12-30,SAC,LAC,1,-41,07.3,5,2,3,0,0,0,0,0,0,0,1,0,0,4,-2
2026-01-02,SAC,PHO,1,-27,04.53,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-3
2026-01-09,SAC,GSW,1,-34,03.8,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-5
2026-01-25,SAC,DET,1,-23,06.87,1,0,0,0,2,2,0,2,0,0,0,0,0,2,-2
2026-01-30,SAC,BOS,1,-19,10.82,4,2,2,1,0,0,1,3,2,0,0,2,2,5,-3
2026-02-01,SAC,WAS,1,-4,15.88,4,1,0,0,2,2,1,3,2,2,0,1,1,4,2
2026-02-04,SAC,MEM,0,-4,23.83,12,5,6,0,0,0,0,6,5,1,1,1,4,10,-3
2026-02-06,SAC,LAC,0,-3,21.92,14,6,5,0,2,3,0,4,4,1,0,1,3,14,-7
2026-02-07,SAC,CLE,0,-6,27.23,13,6,5,2,4,5,2,4,4,1,1,1,3,18,-4
2026-02-09,SAC,NOP,1,-26,29.88,12,6,4,0,0,2,2,3,4,1,0,3,0,12,-22
2026-02-11,SAC,UTA,1,-28,29.8,13,4,6,1,10,12,1,5,4,0,1,3,1,19,-13
2026-02-19,SAC,ORL,0,-37,28.45,12,3,5,0,5,6,2,5,4,3,0,3,1,11,-29
2026-02-21,SAC,SAS,1,-17,05.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9
2026-02-26,SAC,DAL,1,9,32.42,13,6,3,0,3,6,4,7,5,4,0,3,2,15,10
2026-03-01,SAC,LAL,1,-24,20.72,7,2,2,0,2,2,0,2,3,0,0,1,0,6,-14
2026-03-03,SAC,PHO,0,-11,09.42,4,1,0,0,0,0,2,2,0,1,0,0,1,2,-7
2026-03-08,SAC,CHI,0,16,06.13,4,1,0,0,1,1,1,4,3,1,0,0,1,3,3
2026-03-10,SAC,IND,0,5,16.25,13,9,4,3,3,3,1,5,3,1,0,2,1,24,21
2026-03-22,SAC,BRK,0,4,27.15,12,5,4,0,6,8,1,5,3,1,0,3,2,16,-1
2026-03-24,SAC,CHO,1,-44,34.15,15,7,5,3,1,1,0,3,3,1,0,1,1,18,-36
2026-03-26,SAC,ORL,1,-4,24.88,12,5,7,3,1,2,0,3,4,1,0,5,2,14,-5
