Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-24,SAC,UTA,0,1,36.63,9,6,1,0,0,1,3,12,1,0,0,2,3,12,-15
2025-10-26,SAC,LAL,0,-7,30.5,8,4,2,1,1,2,4,14,3,3,0,2,5,10,0
2025-10-28,SAC,OKC,1,-6,35.2,15,5,2,0,0,0,6,18,3,1,1,5,4,10,-15
2025-10-29,SAC,CHI,1,-13,31.52,14,8,4,1,1,2,1,11,6,1,0,2,4,18,-21
2025-11-01,SAC,MIL,1,2,36.95,13,8,2,0,8,10,5,13,6,1,0,3,5,24,5
2025-11-03,SAC,DEN,1,-6,36.87,10,5,0,0,3,4,4,17,5,1,0,2,3,13,-14
2025-11-09,SAC,MIN,0,-27,29.83,17,5,2,0,10,12,5,13,3,1,0,3,4,20,-19
2025-11-11,SAC,DEN,0,-14,25.6,12,8,3,1,2,4,2,8,4,0,0,0,6,19,-18
2025-11-12,SAC,ATL,0,-33,26.4,9,4,1,0,4,4,0,5,2,2,0,4,2,12,-38
2025-11-14,SAC,MIN,1,-14,39.35,24,14,2,1,5,8,4,11,3,0,1,2,5,34,-17
2025-11-16,SAC,SAS,1,-13,36.18,14,7,1,0,3,4,3,13,5,3,0,3,3,17,-7
2026-01-16,SAC,WAS,0,13,21.23,6,5,1,0,3,5,0,6,5,1,1,4,2,13,14
2026-01-18,SAC,POR,0,-7,19.82,3,2,1,0,4,4,3,8,2,0,0,6,2,8,1
2026-01-20,SAC,MIA,0,-13,16.98,8,3,1,0,0,1,1,10,3,0,0,0,2,6,-4
2026-01-23,SAC,CLE,1,-5,30.72,14,9,1,1,5,5,4,16,6,1,0,4,5,24,16
2026-01-25,SAC,DET,1,-23,24.73,7,6,0,0,0,1,3,7,8,2,0,2,2,12,-11
2026-01-27,SAC,NYK,1,-16,32.77,10,5,2,0,1,2,5,12,7,0,1,3,2,11,-17
2026-01-29,SAC,PHI,1,-2,28.23,10,6,1,0,2,4,4,7,3,0,0,3,4,14,-5
2026-02-04,SAC,MEM,0,-4,24.07,18,10,0,0,4,4,7,15,3,1,0,1,3,24,-12
