Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,POR,MIN,0,-4,30.02,5,3,4,2,0,0,2,6,1,2,1,1,3,8,-2
2025-10-24,POR,GSW,0,20,21.65,6,4,2,1,5,5,4,8,2,0,1,0,4,14,2
2025-10-26,POR,LAC,1,-7,23.98,6,3,3,1,2,2,6,10,3,1,1,1,1,9,-2
2025-10-27,POR,LAL,1,14,26.27,12,8,3,0,0,0,7,14,2,1,2,2,2,16,21
2025-10-29,POR,UTA,1,2,27.67,6,2,2,0,1,2,4,7,4,1,3,0,4,5,-1
2025-10-31,POR,DEN,0,2,24.35,8,2,3,0,1,1,7,15,1,0,0,0,2,5,-4
2025-11-03,POR,LAL,0,-8,17.52,3,1,1,0,0,0,3,4,0,0,1,0,2,2,-7
2025-11-05,POR,OKC,0,2,25.13,7,2,4,1,2,2,2,8,0,2,2,1,3,7,1
2025-11-08,POR,MIA,1,-5,20.9,9,6,3,1,0,0,5,7,0,2,2,0,4,13,5
2025-11-10,POR,ORL,1,-3,29.27,5,1,2,0,0,0,2,9,0,0,0,0,3,2,-4
2025-11-12,POR,NOP,1,8,27.47,9,4,4,0,1,1,3,10,0,0,3,3,3,9,12
2025-11-14,POR,HOU,1,-24,23.98,9,4,3,0,1,1,6,8,0,0,0,1,1,9,-10
2025-11-16,POR,DAL,1,,27.9,11,6,6,2,2,2,7,11,2,0,2,0,4,16,-9
2025-11-18,POR,PHO,0,-17,23.45,8,3,0,0,3,3,7,12,2,0,5,2,1,9,-15
2025-11-19,POR,CHI,0,-1,33.55,13,7,3,1,2,3,10,21,4,1,2,0,3,17,8
2025-11-21,POR,GSW,1,4,27.12,14,9,4,1,3,4,5,10,4,2,0,0,3,22,-2
2025-11-23,POR,OKC,1,-27,19.77,5,2,4,2,2,4,2,8,2,0,2,2,5,8,2
2025-11-24,POR,MIL,1,12,27.3,8,5,4,2,2,3,2,11,4,1,1,1,1,14,14
2025-11-26,POR,SAS,0,-13,26.15,8,3,0,0,3,4,6,11,1,0,1,0,1,9,-9
