Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,CLE,NYK,1,-8,35.88,25,12,9,2,5,5,0,2,5,2,1,3,2,31,-14
2025-10-24,CLE,BRK,1,7,34.87,15,10,10,6,9,12,0,2,5,3,0,3,3,35,22
2025-10-26,CLE,MIL,0,5,33.4,20,9,8,1,5,8,0,3,4,1,0,5,0,24,2
2025-10-27,CLE,DET,1,21,29.48,18,13,4,2,7,8,0,1,2,0,0,5,0,35,38
2025-10-29,CLE,BOS,1,-20,31.93,12,5,9,5,0,2,0,4,6,0,1,3,4,15,-6
2025-11-02,CLE,ATL,0,8,35.95,21,12,15,8,5,5,0,2,5,2,1,3,5,37,9
2025-11-05,CLE,PHI,0,11,35.07,21,15,11,6,10,10,0,4,8,1,0,2,0,46,17
2025-11-07,CLE,WAS,1,33,25.62,20,8,10,4,4,4,2,5,5,4,1,2,0,24,22
2025-11-08,CLE,CHI,0,6,35.35,24,10,12,5,4,4,0,6,6,1,0,2,2,29,14
2025-11-10,CLE,MIA,1,,40.92,28,10,16,3,5,6,5,15,8,1,0,1,4,28,14
2025-11-13,CLE,TOR,0,-13,35.68,18,7,9,2,15,17,1,6,6,1,2,7,2,31,-18
2025-11-15,CLE,MEM,0,8,32.92,21,10,13,4,6,9,1,5,5,2,0,4,4,30,4
2025-11-17,CLE,MIL,0,12,35.75,22,14,8,4,5,7,0,5,7,1,0,2,4,37,7
2025-11-19,CLE,HOU,0,-10,34.1,17,8,9,3,2,2,1,3,2,2,0,4,2,21,-18
2025-11-21,CLE,IND,0,11,34.22,22,11,11,4,6,8,2,9,5,1,0,5,4,32,13
2025-11-23,CLE,LAC,0,15,32.65,22,14,9,5,4,4,2,8,6,1,0,2,2,37,26
2025-11-24,CLE,TOR,1,-11,33.77,20,6,12,3,2,2,0,1,8,1,0,2,0,17,-22
2025-11-28,CLE,ATL,1,-7,35.38,28,15,15,7,5,5,0,3,3,1,0,4,3,42,0
2025-11-30,CLE,BOS,0,-2,38.67,16,7,7,3,1,2,1,7,8,3,0,5,5,18,8
2025-12-01,CLE,IND,1,16,34.48,27,16,10,4,7,9,3,9,6,0,0,3,2,43,22
2025-12-03,CLE,POR,0,-12,34.42,26,12,13,3,6,6,1,5,5,1,0,4,4,33,-15
2025-12-05,CLE,SAS,0,13,31.75,17,9,5,1,9,11,1,2,8,3,0,5,1,28,18
2025-12-06,CLE,GSW,0,-5,37.17,26,11,14,7,0,0,2,4,3,0,1,2,2,29,8
2025-12-12,CLE,WAS,1,4,35.23,31,17,15,8,6,6,0,4,4,2,0,3,1,48,9
2025-12-14,CLE,CHO,0,,37.92,24,6,11,1,4,5,1,2,7,2,1,2,4,17,-12
2025-12-17,CLE,CHI,1,-16,32.53,23,11,9,4,6,6,0,1,5,0,0,3,2,32,-15
2025-12-22,CLE,CHO,0,7,28.72,18,10,11,6,4,4,1,4,5,0,0,3,5,30,10
2025-12-23,CLE,NOP,0,23,29.67,16,11,6,2,3,4,1,4,4,1,0,3,4,27,19
2025-12-25,CLE,NYK,1,-2,32.85,25,12,9,4,6,6,0,7,6,4,0,1,3,34,2
