Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,BRK,CHO,1,-19,07.2,1,1,0,0,0,0,0,2,0,0,0,1,4,2,-2
2025-11-02,BRK,PHI,0,-24,04.47,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1
2025-11-07,BRK,DET,0,-18,27.13,7,3,3,0,0,0,2,4,2,0,0,3,2,6,-17
2025-11-09,BRK,NYK,1,-36,22.52,8,5,3,3,2,2,0,2,3,1,1,3,3,15,-18
2025-11-11,BRK,TOR,0,-10,21.52,6,2,4,2,0,0,0,1,3,2,0,1,2,6,-18
2025-11-14,BRK,ORL,1,-7,22.33,5,3,0,0,0,0,1,3,3,1,0,0,0,6,6
2025-11-16,BRK,WAS,1,23,18.88,6,3,1,0,0,0,0,4,2,1,0,1,1,6,13
2025-11-18,BRK,BOS,0,-14,24.47,5,1,2,0,1,1,0,1,1,1,0,2,5,3,-2
2025-11-21,BRK,BOS,1,8,21.32,4,3,2,1,2,2,0,2,1,2,0,0,1,9,2
2025-11-23,BRK,TOR,1,-10,14.47,2,1,0,0,4,4,0,1,2,0,0,1,3,6,-10
2025-11-24,BRK,NYK,0,-13,23.92,10,5,6,2,3,4,1,2,4,1,0,1,1,15,-20
2025-11-28,BRK,PHI,0,-12,20.6,2,1,0,0,2,2,0,1,1,0,0,1,2,4,-4
2025-11-29,BRK,MIL,1,-17,20.73,1,0,1,0,3,3,0,2,1,0,1,1,1,3,7
2025-12-01,BRK,CHO,0,13,23.93,8,4,5,2,0,0,0,1,4,3,0,1,2,10,5
2025-12-03,BRK,CHI,1,10,13.37,5,2,3,1,0,0,0,1,2,0,0,1,0,5,8
2025-12-06,BRK,NOP,0,18,20.57,4,1,3,1,0,0,0,1,3,0,0,1,1,3,-4
2025-12-12,BRK,DAL,1,-8,02.68,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2
2025-12-14,BRK,MIL,0,45,23.33,7,4,4,2,3,3,0,4,3,1,0,3,2,13,31
2025-12-18,BRK,MIA,0,-11,03.93,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-1
2025-12-27,BRK,MIN,1,16,17.55,6,3,3,1,0,0,0,1,2,1,0,0,3,7,13
2025-12-29,BRK,GSW,0,-13,17.32,2,0,2,0,2,2,0,0,0,0,0,0,1,2,-19
2026-01-01,BRK,HOU,0,-24,25.32,9,3,4,1,1,3,0,0,1,1,0,2,2,8,-25
2026-01-02,BRK,WAS,1,-20,21.68,6,5,2,1,3,3,0,1,1,0,1,1,0,14,-17
2026-01-04,BRK,DEN,0,12,17.52,3,1,2,1,2,2,0,0,1,0,0,0,1,5,-7
2026-01-07,BRK,ORL,0,,18.7,6,1,3,0,0,0,2,3,0,0,0,1,2,2,-11
2026-01-09,BRK,LAC,0,-16,14.57,2,0,2,0,0,0,0,1,1,0,1,0,0,0,-7
2026-01-12,BRK,DAL,1,-8,25.18,10,5,4,0,0,0,0,1,0,0,0,2,2,10,-7
2026-01-14,BRK,NOP,1,-3,24.2,10,6,5,2,2,3,0,5,2,0,0,0,0,16,5
2026-01-16,BRK,CHI,0,3,24.43,7,1,4,1,0,0,0,0,3,1,0,1,0,3,1
2026-01-19,BRK,PHO,0,-9,24.78,7,4,6,3,0,0,0,1,3,0,0,1,1,11,-18
2026-01-21,BRK,NYK,1,-54,25.22,9,2,4,0,2,2,0,1,3,1,0,0,1,6,-26
