Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,SAC,PHO,1,-4,21.9,4,1,0,0,2,4,1,4,0,2,4,2,1,4,-7
2025-10-24,SAC,UTA,0,1,11.37,5,0,1,0,0,2,0,2,1,0,1,0,0,0,16
2025-10-26,SAC,LAL,0,-7,03.68,1,0,0,0,0,0,1,2,0,1,0,0,0,0,-4
2025-10-28,SAC,OKC,1,-6,12.8,0,0,0,0,0,0,1,4,0,1,1,1,0,0,9
2025-10-29,SAC,CHI,1,-13,16.48,2,2,0,0,1,2,0,3,0,0,1,0,2,5,8
2025-11-01,SAC,MIL,1,2,11.07,6,5,0,0,0,1,0,1,1,0,0,0,1,10,-3
2025-11-03,SAC,DEN,1,-6,11.13,4,4,0,0,2,3,0,2,0,0,0,2,3,10,8
2025-11-05,SAC,GSW,0,5,32.17,6,5,0,0,2,4,1,6,0,1,2,3,3,12,2
2025-11-07,SAC,OKC,0,-31,23.8,11,8,0,0,0,2,1,1,0,1,2,3,3,16,-21
2025-11-09,SAC,MIN,0,-27,13.38,4,2,0,0,2,3,1,1,1,1,1,1,0,6,-6
2025-11-11,SAC,DEN,0,-14,22.25,9,8,0,0,3,6,2,7,1,0,0,1,5,19,4
2025-11-12,SAC,ATL,0,-33,06.72,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6
2025-11-14,SAC,MIN,1,-14,06.62,1,1,0,0,3,4,1,3,0,0,0,0,0,5,5
2025-11-16,SAC,SAS,1,-13,11.82,2,1,0,0,0,0,0,1,0,0,2,0,0,2,-6
2025-11-19,SAC,OKC,1,-14,22.57,6,3,0,0,0,0,1,3,0,2,0,1,2,6,-13
2025-11-20,SAC,MEM,1,-41,25.63,6,4,1,1,0,0,0,5,0,1,1,3,4,9,-25
2025-11-22,SAC,DEN,1,5,21.63,5,3,0,0,2,2,1,3,1,1,0,0,4,8,6
2025-11-24,SAC,MIN,0,,13.28,3,1,0,0,0,0,1,2,1,0,0,1,0,2,-9
2025-11-26,SAC,PHO,0,-12,14.37,4,2,0,0,0,0,3,9,2,1,0,1,1,4,-12
2025-11-28,SAC,UTA,1,-9,12.97,3,1,0,0,0,0,2,4,0,0,1,1,0,2,3
2025-11-30,SAC,MEM,0,-8,14.55,2,2,0,0,0,0,1,2,0,0,0,1,2,4,-21
2025-12-03,SAC,HOU,1,-26,09.98,3,1,0,0,0,1,0,1,0,0,1,0,1,2,-4
2025-12-06,SAC,MIA,1,16,10.77,2,2,0,0,0,0,1,2,0,0,0,0,0,4,-4
2025-12-08,SAC,IND,1,-11,05.55,1,0,0,0,3,4,1,1,0,0,0,1,1,3,-10
2025-12-11,SAC,DEN,0,-31,03.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-12
2025-12-30,SAC,LAC,1,-41,12.93,4,3,0,0,0,0,1,3,0,0,0,1,1,6,-20
2026-01-01,SAC,BOS,0,-14,07.02,2,2,0,0,0,0,1,1,0,0,0,1,0,4,-4
2026-01-02,SAC,PHO,1,-27,09.87,2,2,0,0,4,5,1,2,0,0,0,0,1,8,-2
2026-01-04,SAC,MIL,0,-17,20.92,5,2,1,0,0,0,1,4,0,0,2,1,4,4,7
2026-01-11,SAC,HOU,0,13,08.8,6,1,1,0,0,0,1,1,0,0,0,0,1,2,2
2026-02-01,SAC,WAS,1,-4,03.98,1,1,0,0,0,0,1,1,0,0,0,0,0,2,-5
2026-02-09,SAC,NOP,1,-26,05.88,3,2,1,0,0,0,1,1,1,0,0,0,0,4,-4
2026-02-19,SAC,ORL,0,-37,11.35,2,0,0,0,0,0,1,5,1,0,0,0,2,0,-19
2026-02-21,SAC,SAS,1,-17,14.45,6,3,1,0,0,0,2,4,4,1,1,0,3,6,-5
2026-02-25,SAC,HOU,1,-31,09.47,1,0,0,0,1,2,2,5,1,0,1,0,0,1,-6
2026-02-26,SAC,DAL,1,9,09.85,6,5,0,0,1,1,1,2,0,0,0,0,2,11,0
2026-03-01,SAC,LAL,1,-24,14.22,7,4,0,0,2,2,0,2,1,1,2,2,2,10,-12
2026-03-03,SAC,PHO,0,-11,02.65,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-7
2026-03-05,SAC,NOP,0,-10,21.55,9,7,1,0,1,3,4,11,0,0,0,0,0,15,-5
2026-03-08,SAC,CHI,0,16,09.93,4,2,0,0,1,2,1,4,0,0,1,0,2,5,1
