Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,SAS,DAL,1,33,22.68,14,7,2,1,0,2,1,4,2,0,0,4,5,15,5
2025-10-24,SAS,NOP,1,,25.6,12,3,5,1,6,6,1,5,3,1,0,3,5,13,5
2025-10-26,SAS,BRK,0,11,29.32,11,8,0,0,4,4,1,6,8,2,0,0,4,20,33
2025-10-27,SAS,TOR,0,18,26.72,9,4,2,1,2,2,1,6,6,1,0,1,3,11,6
2025-10-30,SAS,MIA,0,6,24.83,10,5,5,2,1,2,0,2,4,0,0,2,1,13,6
2025-11-02,SAS,PHO,1,-12,11.02,8,5,0,0,2,2,1,1,0,0,0,1,0,12,-7
2025-11-26,SAS,POR,1,13,16.52,8,2,2,1,2,2,3,3,2,2,0,0,3,7,-5
2025-11-28,SAS,DEN,1,3,15.32,7,4,1,0,3,4,0,0,3,3,0,0,0,11,9
2025-11-30,SAS,MIN,1,-13,19.65,12,8,2,0,1,2,0,0,0,1,0,0,2,17,-15
2025-12-02,SAS,MEM,0,7,20.58,10,5,2,1,4,7,1,1,6,0,0,0,1,15,-1
2025-12-03,SAS,ORL,1,2,22.07,12,5,3,1,5,5,2,5,5,2,0,5,2,16,-5
2025-12-05,SAS,CLE,1,-13,23.25,11,1,5,0,1,4,1,4,6,0,0,2,2,3,2
2025-12-08,SAS,NOP,1,3,25.85,16,10,3,1,1,2,0,3,6,0,0,2,0,22,3
2025-12-10,SAS,LAL,1,13,20.22,12,6,1,0,1,2,1,3,3,1,0,2,5,13,-2
2025-12-13,SAS,OKC,1,2,24.9,13,3,5,1,1,2,2,4,1,1,1,3,4,8,0
2025-12-18,SAS,WAS,0,25,22.6,13,9,5,3,3,3,2,5,3,0,0,1,1,24,13
2025-12-19,SAS,ATL,1,28,18.43,6,3,0,0,0,0,0,3,4,0,0,2,1,6,21
2025-12-21,SAS,WAS,1,11,17.73,8,0,4,0,1,2,1,2,3,0,0,2,3,1,12
2025-12-23,SAS,OKC,0,20,20.28,3,2,0,0,0,0,0,3,10,5,0,0,1,4,8
2025-12-25,SAS,OKC,1,15,20.43,8,5,1,0,2,2,0,3,2,0,0,1,0,12,14
