Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-29,UTA,POR,0,-2,11.93,1,0,1,0,1,2,1,3,1,2,0,0,1,1,17
2025-10-31,UTA,PHO,1,-22,12.2,5,2,3,1,0,0,0,0,1,0,0,0,2,5,0
2025-11-03,UTA,BOS,1,2,20.77,4,1,2,0,1,1,1,1,2,1,0,3,5,3,5
2025-11-05,UTA,DET,1,-11,10.47,1,1,1,1,0,0,0,1,0,0,0,0,1,3,-9
2025-11-07,UTA,MIN,1,-40,06.53,0,0,0,0,1,2,0,1,0,0,0,0,1,1,-1
2025-11-11,UTA,IND,0,24,01.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-11-18,UTA,LAL,1,-14,02.67,0,0,0,0,4,4,0,0,1,1,0,0,0,4,5
2026-02-20,UTA,MEM,1,-9,07.43,1,1,0,0,0,1,0,2,1,0,0,1,0,2,1
2026-02-23,UTA,HOU,1,-20,14.4,3,0,2,0,0,0,0,0,4,2,0,0,1,0,9
2026-02-26,UTA,NOP,0,-11,20.55,6,3,1,0,5,6,0,3,6,4,1,2,1,11,2
2026-02-28,UTA,NOP,0,-10,28.12,9,5,4,2,2,3,1,3,5,1,0,0,3,14,8
2026-03-02,UTA,DEN,0,-3,26.92,5,0,4,0,2,2,0,0,3,2,0,0,6,2,-4
2026-03-04,UTA,PHI,1,-4,19.77,5,1,3,1,0,0,1,3,0,0,0,0,2,3,5
