Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,CLE,NYK,1,-8,35.93,18,8,8,4,2,5,0,8,3,3,1,3,3,22,0
2025-10-24,CLE,BRK,1,7,34.23,12,5,4,1,2,4,3,8,5,0,2,3,2,13,-8
2025-10-26,CLE,MIL,0,5,34.03,13,5,5,1,12,12,1,8,6,3,2,2,4,23,16
2025-10-27,CLE,DET,1,21,30.35,10,5,5,1,4,6,2,11,5,1,3,2,3,15,27
2025-10-29,CLE,BOS,1,-20,34.1,19,7,8,2,3,5,4,11,4,1,2,3,1,19,-22
2025-10-31,CLE,TOR,0,-11,35.58,17,11,5,2,5,8,3,8,3,3,1,3,2,29,-7
2025-11-02,CLE,ATL,0,8,34.57,16,6,3,1,1,2,2,8,5,3,1,3,1,14,13
2025-11-05,CLE,PHI,0,11,34.03,17,9,5,3,2,3,1,5,3,1,2,4,1,23,-2
2025-11-07,CLE,WAS,1,33,27.85,16,7,4,0,4,7,4,10,3,1,1,1,1,18,20
2025-11-08,CLE,CHI,0,6,33.62,14,9,4,1,5,7,2,8,5,0,1,1,3,24,17
2025-11-10,CLE,MIA,1,,38.72,15,8,4,3,2,7,8,10,5,0,1,2,3,21,0
2025-11-13,CLE,TOR,0,-13,34.78,7,2,3,1,2,4,3,9,3,1,0,1,2,7,-18
2025-11-15,CLE,MEM,0,8,35.32,16,7,6,3,5,8,3,13,4,0,4,4,4,22,0
2025-11-17,CLE,MIL,0,12,36.03,9,4,2,1,5,8,0,6,6,0,1,6,4,14,5
2025-11-19,CLE,HOU,0,-10,35.68,13,7,3,0,4,10,1,6,0,0,0,3,2,18,-10
2025-11-21,CLE,IND,0,11,34.83,13,7,1,1,7,11,4,12,4,0,4,2,2,22,18
2025-11-23,CLE,LAC,0,15,34.35,12,9,2,0,0,4,3,10,2,2,2,1,3,18,26
2025-11-24,CLE,TOR,1,-11,31.18,7,5,3,2,2,2,0,5,4,0,1,4,0,14,-21
2025-11-28,CLE,ATL,1,-7,33.65,17,7,6,3,3,3,4,14,7,2,2,2,2,20,-4
2025-11-30,CLE,BOS,0,-2,38.67,17,11,6,3,2,2,5,14,4,0,0,1,1,27,8
2025-12-01,CLE,IND,1,16,28.2,13,6,3,0,1,2,1,5,5,0,2,0,5,13,22
2025-12-03,CLE,POR,0,-12,34.78,14,8,7,3,4,4,2,10,5,2,5,2,3,23,2
2025-12-05,CLE,SAS,0,13,32.3,12,7,0,0,3,4,1,10,5,0,2,2,2,17,9
2025-12-06,CLE,GSW,0,-5,35.13,19,8,5,0,2,2,2,10,1,1,1,1,1,18,-3
2025-12-12,CLE,WAS,1,4,36.23,17,7,6,2,7,9,5,13,6,0,0,0,4,23,0
2025-12-25,CLE,NYK,1,-2,25.32,8,6,1,0,2,2,2,9,3,0,0,2,4,14,4
2025-12-27,CLE,HOU,1,-17,20.07,9,2,2,0,0,0,2,4,2,1,1,3,1,4,-12
2025-12-29,CLE,SAS,1,12,28.63,13,7,2,0,2,2,2,7,2,0,3,1,4,16,11
2025-12-31,CLE,PHO,0,16,28.67,10,7,1,0,2,3,2,10,5,1,5,2,3,16,15
2026-01-02,CLE,DEN,0,5,32.28,10,4,2,0,0,5,5,11,4,1,3,0,2,8,-9
2026-01-04,CLE,DET,0,-4,32.75,9,5,3,2,3,3,1,4,5,1,4,2,2,15,8
2026-01-06,CLE,IND,1,4,35.6,16,8,3,0,4,4,1,6,5,2,2,4,4,20,-1
2026-01-08,CLE,MIN,1,-9,37.52,11,8,5,3,0,1,0,4,3,0,1,3,4,19,2
2026-01-10,CLE,MIN,0,12,31.55,16,11,3,0,2,4,1,4,3,2,0,1,1,24,0
2026-01-12,CLE,UTA,0,-11,34.28,11,6,4,1,2,2,2,9,8,2,3,1,4,15,-11
2026-01-14,CLE,PHI,1,26,33.53,10,7,1,1,2,4,2,13,6,1,4,2,5,17,27
2026-01-16,CLE,PHI,1,2,36.37,11,6,4,1,2,4,3,5,4,1,4,4,1,15,-12
2026-01-19,CLE,OKC,0,-32,31.12,14,7,2,0,2,3,2,7,5,1,1,2,3,16,-11
2026-01-21,CLE,CHO,1,7,35.52,13,6,4,0,2,3,1,14,0,1,3,2,4,14,10
2026-01-23,CLE,SAC,0,5,34.77,24,13,4,0,3,5,3,13,7,0,4,0,0,29,17
2026-01-24,CLE,ORL,1,14,34.55,14,4,6,1,4,4,2,7,3,0,1,2,1,13,14
2026-01-26,CLE,ORL,0,16,35.0,16,9,3,1,1,4,2,9,2,0,2,1,4,20,5
2026-02-19,CLE,BRK,0,28,18.62,9,5,1,0,0,0,1,9,2,0,1,2,1,10,20
2026-02-22,CLE,OKC,1,-8,25.17,11,6,4,1,2,2,0,2,1,1,0,1,4,15,-3
2026-02-24,CLE,NYK,0,15,24.47,7,4,1,1,3,6,3,7,1,1,0,1,2,12,5
2026-02-27,CLE,DET,1,,37.05,15,9,8,4,1,2,0,12,1,0,4,1,2,23,-5
2026-03-01,CLE,BRK,1,4,26.88,12,6,2,0,5,10,4,13,2,0,1,2,2,17,24
2026-03-03,CLE,DET,0,4,31.63,9,5,4,2,6,8,0,5,4,2,0,0,3,18,-2
2026-03-08,CLE,BOS,0,-11,31.08,19,10,6,2,2,3,5,8,1,0,3,2,0,24,-6
2026-03-09,CLE,PHI,0,14,28.12,12,7,2,0,1,1,1,8,1,0,3,1,2,15,9
